기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-05-16 ~ 2018-05-22 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-05-16,,,,,,2018-05-17,,,,,,2018-05-18,,,,,,2018-05-19,,,,,,2018-05-20,,,,,,2018-05-21,,,,,,2018-05-22,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,데드풀 2,2018-05-16,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,어드벤처,코미디,SF",데이빗 레이치,"라이언 레놀즈,조슈 브롤린,재지 비츠,모레나 바카린,브리아나 힐데브란드","3,042,723,300","3,063,409,300","356,445","357,947","1,525","7,568","2,229,931,900","5,293,341,200","259,782","617,729","1,404","7,409","3,057,263,120","8,350,604,320","323,152","940,881","1,485","7,866","5,373,560,516","13,724,164,836","570,341","1,511,222","1,562","8,617","4,385,519,550","18,109,684,386","462,113","1,973,335","1,576","8,459","2,402,979,900","20,512,664,286","281,698","2,255,033","1,493","8,182","3,007,974,900","23,520,639,186","317,490","2,572,523","1,101","5,574","23,499,953,186","2,571,021"
2,어벤져스: 인피니티 워,2018-04-25,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF","안소니 루소,조 루소","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨,엘리자베스 올슨,안소니 마키,폴 러드,기네스 팰트로우,폴 베타니,돈 치들,베네딕트 컴버배치,톰 홀랜드,크리스 프랫,조 샐다나,카렌 길런,브래들리 쿠퍼,빈 디젤,데이브 바티스타,세바스찬 스탠,채드윅 보스만,코비 스멀더스,베니치오 델 토로,피터 딘클리지,사무엘 L. 잭슨,다네이 거라이라,베네딕트 왕","386,108,600","92,394,647,701","47,865","10,344,900",943,"3,083","335,911,000","92,730,558,701","41,149","10,386,049",690,"2,245","521,157,876","93,251,716,577","59,412","10,445,461",691,"2,255","1,139,207,892","94,390,924,469","128,719","10,574,180",742,"2,341","1,021,836,600","95,412,761,069","115,791","10,689,971",760,"2,376","725,464,300","96,138,225,369","92,626","10,782,597",734,"2,394","785,647,400","96,923,872,769","90,877","10,873,474",590,"1,562","4,915,333,668","576,439"
3,독전,2018-05-22,한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션",이해영,"조진웅,류준열,김주혁,김성령,박해준,차승원,이주영",0,"13,555,000",0,"1,544",0,0,"17,963,500","31,518,500","1,943","3,487",12,12,"6,723,000","38,241,500",747,"4,234",4,4,0,"38,241,500",0,"4,234",0,0,0,"38,241,500",0,"4,234",0,0,"25,947,000","64,188,500","2,883","7,117",12,12,"3,378,735,600","3,442,924,100","376,530","383,647","1,063","5,133","3,429,369,100","382,103"
4,버닝,2018-05-17,한국,한국,"파인하우스필름(주),나우필름(주)",CGV아트하우스,청소년관람불가,미스터리,이창동,"유아인,스티븐 연,전종서","10,000","27,942,000",1,"3,101",1,1,"446,362,600","474,304,600","54,088","57,189",728,"2,837","555,455,952","1,029,760,552","60,958","118,147",739,"2,776","785,610,246","1,815,370,798","85,021","203,168",705,"2,540","695,648,300","2,511,019,098","74,723","277,891",707,"2,449","429,046,000","2,940,065,098","51,397","329,288",703,"2,571","395,649,000","3,335,714,098","42,336","371,624",546,"1,393","3,307,782,098","368,524"
5,피터 래빗,2018-05-16,미국,"미국,영국,호주",,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,가족",윌 글럭,"도널 글리슨,로즈 번,샘 닐","28,682,100","42,255,100","4,019","5,836",384,497,"29,679,300","71,934,400","4,253","10,089",338,441,"36,643,300","108,577,700","4,790","14,879",378,489,"369,860,700","478,438,400","46,914","61,793",575,"1,013","403,996,300","882,434,700","50,693","112,486",599,"1,101","262,855,200","1,145,289,900","37,859","150,345",523,870,"626,342,000","1,771,631,900","80,134","230,479",595,"1,077","1,758,058,900","228,662"
6,레슬러,2018-05-09,한국,한국,(주)안나푸르나필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,코미디",김대웅,"유해진,김민재,이성경,나문희,성동일,진경,황우슬혜,김태훈,박규영,이한서,최유화,이예원","159,111,000","5,339,824,757","20,525","627,730",637,"2,202","140,423,900","5,480,248,657","18,316","646,046",528,"1,498","169,109,900","5,649,358,557","21,948","667,994",552,"1,549","252,636,500","5,901,995,057","29,488","697,482",541,"1,348","232,997,900","6,134,992,957","27,045","724,527",539,"1,243","163,618,500","6,298,611,457","21,710","746,237",539,"1,340","61,840,300","6,360,451,757","7,633","753,870",235,359,"1,179,738,000","146,665"
7,"안녕, 나의 소녀",2018-05-16,대만,대만,,오드,12세이상관람가,멜로/로맨스,사준의,"류이호,송운화","39,197,500","40,457,500","5,199","5,379",116,360,"48,884,500","89,342,000","6,560","11,939",126,348,"74,666,972","164,008,972","9,398","21,337",137,393,"112,108,462","276,117,434","13,880","35,217",155,441,"109,246,000","385,363,434","13,618","48,835",153,429,"79,741,000","465,104,434","11,183","60,018",149,436,"94,378,500","559,482,934","11,818","71,836",132,301,"558,222,934","71,656"
8,트루스 오어 데어,2018-05-22,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",제프 와드로,"루시 헤일,타일러 포시,바이올렛 빈,놀런 제라드 펑크,헤이든 제토,브래디 스미스,샘 러너",0,0,0,0,0,0,0,0,0,0,0,0,"2,000,000","2,000,000",200,200,1,1,0,"2,000,000",0,200,0,0,0,"2,000,000",0,200,0,0,0,"2,000,000",0,200,0,0,"479,675,300","481,675,300","54,911","55,111",530,"1,881","481,675,300","55,111"
9,챔피언,2018-05-01,한국,한국,(주)코코너,워너브러더스 코리아(주),12세이상관람가,드라마,김용완,"마동석,권율,한예리,박성일,유지연","49,681,900","9,285,118,930","6,550","1,102,713",379,807,"23,165,300","9,308,284,230","3,595","1,106,308",198,303,"26,795,900","9,335,080,130","3,814","1,110,122",175,284,"31,692,100","9,366,772,230","3,898","1,114,020",156,235,"29,195,400","9,395,967,630","3,519","1,117,539",152,229,"25,137,100","9,421,104,730","3,453","1,120,992",165,265,"10,795,200","9,431,899,930","1,437","1,122,429",64,79,"196,462,900","26,266"
