기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-01-17 ~ 2018-01-23 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-01-17,,,,,,2018-01-18,,,,,,2018-01-19,,,,,,2018-01-20,,,,,,2018-01-21,,,,,,2018-01-22,,,,,,2018-01-23,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,메이즈 러너: 데스 큐어,2018-01-17,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍","1,752,996,100","1,811,104,400","225,512","230,473",919,"3,807","1,299,525,600","3,110,630,000","166,420","396,893",979,"3,973","1,563,368,480","4,673,998,480","181,347","578,240","1,020","4,251","3,159,335,883","7,833,334,363","366,726","944,966","1,090","4,633","2,748,605,500","10,581,939,863","321,000","1,265,966","1,061","4,430","802,390,400","11,384,330,263","102,561","1,368,527",971,"4,049","721,019,000","12,105,349,263","92,064","1,460,591",969,"3,981","12,047,240,963","1,455,630"
2,그것만이 내 세상,2018-01-17,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,"이병헌,윤여정,박정민,한지민,김성령,이주영","964,523,300","1,165,416,000","126,797","149,504",825,"3,491","856,045,100","2,021,461,100","112,992","262,496",833,"3,455","1,089,467,942","3,110,929,042","129,275","391,771",825,"3,471","2,185,659,448","5,296,588,490","259,766","651,537",856,"3,490","2,183,109,200","7,479,697,690","258,839","910,376",861,"3,423","770,551,400","8,250,249,090","100,645","1,011,021",843,"3,455","787,874,300","9,038,123,390","103,234","1,114,255",862,"3,485","8,837,230,690","1,091,548"
3,코코,2018-01-11,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫","592,830,600","9,246,636,796","82,114","1,152,069",742,"2,078","612,011,200","9,858,647,996","85,272","1,237,341",753,"2,051","783,484,420","10,642,132,416","98,539","1,335,880",766,"2,185","1,890,180,317","12,532,312,733","235,545","1,571,425",927,"2,713","1,865,848,100","14,398,160,833","231,613","1,803,038",971,"2,818","500,954,400","14,899,115,233","68,326","1,871,364",788,"2,395","527,130,900","15,426,246,133","72,957","1,944,321",818,"2,385","6,772,439,937","874,366"
4,1987,2017-12-27,한국,한국,(주)우정필름,씨제이이앤엠(주),15세이상관람가,드라마,장준환,"김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤","688,826,800","49,191,167,945","90,628","6,122,923",755,"2,901","607,847,400","49,799,015,345","80,291","6,203,214",745,"2,833","778,167,200","50,577,182,545","91,395","6,294,609",745,"2,842","1,684,097,000","52,261,279,545","198,201","6,492,810",714,"2,744","1,478,376,200","53,739,655,745","175,486","6,668,296",708,"2,642","395,319,700","54,134,975,445","52,331","6,720,627",689,"2,599","371,015,000","54,505,990,445","49,512","6,770,139",688,"2,540","6,003,649,300","737,844"
5,신과함께-죄와 벌,2017-12-20,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈","530,129,300","105,265,126,937","71,181","13,110,793",619,"2,143","507,995,300","105,773,122,237","68,978","13,179,771",645,"2,126","634,859,200","106,407,981,437","76,062","13,255,833",645,"2,129","1,249,732,800","107,657,714,237","149,487","13,405,320",650,"2,127","1,143,060,400","108,800,774,637","136,973","13,542,293",634,"2,051","373,186,800","109,173,961,437","50,149","13,592,442",623,"2,034","367,788,800","109,541,750,237","49,604","13,642,046",639,"2,033","4,806,752,600","602,434"
6,쥬만지: 새로운 세계,2018-01-03,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처",제이크 캐스단,"드웨인 존슨,잭 블랙,케빈 하트,카렌 길런","106,959,100","13,092,010,691","14,390","1,616,676",388,755,"95,688,400","13,187,699,091","13,139","1,629,815",398,721,"103,889,538","13,291,588,629","12,593","1,642,408",372,675,"185,555,435","13,477,144,064","22,832","1,665,240",340,540,"159,587,800","13,636,731,864","19,430","1,684,670",325,502,"54,509,900","13,691,241,764","7,317","1,691,987",321,552,"56,780,500","13,748,022,264","7,734","1,699,721",318,536,"762,970,673","97,435"
7,위대한 쇼맨,2017-12-20,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,뮤지컬",마이클 그레이시,"휴 잭맨,잭 에프런,미쉘 윌리엄스,레베카 퍼거슨,젠다야 콜맨","50,769,300","10,206,731,800","6,509","1,246,217",108,171,"45,546,600","10,252,278,400","5,824","1,252,041",108,156,"61,479,700","10,313,758,100","7,073","1,259,114",113,182,"95,174,200","10,408,932,300","10,982","1,270,096",121,198,"90,213,100","10,499,145,400","10,385","1,280,481",121,201,"45,560,300","10,544,705,700","5,826","1,286,307",135,216,"45,317,900","10,590,023,600","5,879","1,292,186",144,225,"434,061,100","52,478"
8,원더,2017-12-27,미국,미국,,CGV아트하우스,전체관람가,드라마,스티븐 크보스키,"줄리아 로버츠,오웬 윌슨,제이콥 트렘블레이","25,969,200","1,488,784,445","3,509","188,976",67,144,"15,230,800","1,504,015,245","2,122","191,098",60,114,"23,207,100","1,527,222,345","3,202","194,300",56,112,"39,304,800","1,566,527,145","5,346","199,646",58,112,"37,560,900","1,604,088,045","5,128","204,774",54,108,"16,193,100","1,620,281,145","2,489","207,263",58,120,"19,414,100","1,639,695,245","3,000","210,263",62,118,"176,880,000","24,796"
9,젝스키스 에이틴,2018-01-18,한국,한국,(주)와이지엔터테인먼트,씨제이 씨지브이(CJ CGV)(주),전체관람가,다큐멘터리,,"은지원,이재진,장수원,김재덕,강성훈",0,"20,720,800",0,"2,292",0,0,"49,236,400","69,957,200","6,765","9,057",25,70,"31,269,700","101,226,900","4,228","13,285",25,71,"34,787,700","136,014,600","4,365","17,650",24,64,"26,122,000","162,136,600","3,400","21,050",24,62,"14,251,200","176,387,800","2,003","23,053",23,55,"13,692,600","190,080,400","1,994","25,047",23,54,"169,359,600","22,755"
