기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-05-02 ~ 2018-05-08 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-05-02,,,,,,2018-05-03,,,,,,2018-05-04,,,,,,2018-05-05,,,,,,2018-05-06,,,,,,2018-05-07,,,,,,2018-05-08,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,어벤져스: 인피니티 워,2018-04-25,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF","안소니 루소,조 루소","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨,엘리자베스 올슨,안소니 마키,폴 러드,기네스 팰트로우,폴 베타니,돈 치들,베네딕트 컴버배치,톰 홀랜드,크리스 프랫,조 샐다나,카렌 길런,브래들리 쿠퍼,빈 디젤,데이브 바티스타,세바스찬 스탠,채드윅 보스만,코비 스멀더스,베니치오 델 토로,피터 딘클리지,사무엘 L. 잭슨,다네이 거라이라,베네딕트 왕","2,454,649,900","54,596,438,631","276,967","6,254,573","2,114","10,389","2,340,404,400","56,936,843,031","265,430","6,520,003","2,138","10,192","3,916,977,653","60,853,820,684","419,443","6,939,446","2,156","10,648","7,551,540,860","68,405,361,544","820,839","7,760,285","2,224","10,842","6,910,907,600","75,316,269,144","737,625","8,497,910","2,186","10,778","4,752,880,200","80,069,149,344","516,678","9,014,588","2,122","10,160","1,130,374,300","81,199,523,644","125,615","9,140,203","2,056","9,350","29,057,734,913","3,162,597"
2,챔피언,2018-05-01,한국,한국,(주)코코너,워너브러더스 코리아(주),12세이상관람가,드라마,김용완,"마동석,권율,한예리,박성일,유지연","499,955,400","1,631,414,500","62,830","206,250",816,"3,923","431,615,800","2,063,030,300","54,305","260,555",815,"3,698","648,677,347","2,711,707,647","75,687","336,242",813,"3,702","1,479,287,840","4,190,995,487","170,126","506,368",806,"3,276","1,713,453,600","5,904,449,087","194,847","701,215",839,"3,452","1,268,328,400","7,172,777,487","147,452","848,667",874,"3,580","333,931,200","7,506,708,687","42,277","890,944",822,"3,644","6,375,249,587","747,524"
3,얼리맨,2018-05-03,영국,영국,,(주)이수C&E,전체관람가,애니메이션,닉 파크,"에디 레드메인,톰 히들스턴,메이지 윌리암스","14,708,000","44,109,000","2,101","5,848",10,10,"17,353,100","61,462,100","2,697","8,545",253,299,"36,549,900","98,012,000","5,509","14,054",324,400,"268,605,600","366,617,600","33,773","47,827",597,"1,057","170,787,900","537,405,500","21,418","69,245",516,793,"178,810,400","716,215,900","23,259","92,504",511,752,"16,792,500","733,008,400","2,486","94,990",267,315,"703,607,400","91,243"
4,커다랗고 커다랗고 커다란 배,2018-05-03,덴마크,덴마크,,예지림엔터테인먼트,전체관람가,애니메이션,"필립 립스키,요르겐 레르담","이소은,이제인,윤세웅,이규창","2,400,000","11,614,000",300,"1,473",3,3,"12,093,900","23,707,900","1,683","3,156",153,167,"18,656,100","42,364,000","2,694","5,850",190,208,"155,245,600","197,609,600","19,297","25,147",350,517,"137,991,200","335,600,800","17,035","42,182",327,474,"183,076,600","518,677,400","23,005","65,187",335,487,"10,508,400","529,185,800","1,513","66,700",173,191,"519,971,800","65,527"
5,레슬러,2018-05-09,한국,한국,(주)안나푸르나필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,코미디",김대웅,"유해진,김민재,이성경,나문희,성동일,진경,황우슬혜,김태훈,박규영,이한서,최유화,이예원","34,123,000","75,010,000","4,084","9,262",21,21,"15,735,500","90,745,500","1,898","11,160",15,15,"20,754,000","111,499,500","2,124","13,284",7,7,0,"111,499,500",0,"13,284",0,0,"176,596,500","288,096,000","19,414","32,698",151,250,"169,068,800","457,164,800","18,959","51,657",156,258,"14,297,000","471,461,800","1,951","53,608",17,17,"430,574,800","48,430"
6,매직빈,2018-05-03,중국,중국,,(주)영화사 빅,전체관람가,애니메이션,조이 주,"황창영,민아,장병관","2,839,000","11,229,000",323,"1,523",5,5,"16,359,300","27,588,300","2,185","3,708",168,189,"26,153,100","53,741,400","4,055","7,763",250,305,"167,434,800","221,176,200","20,943","28,706",534,940,"79,674,800","300,851,000","10,090","38,796",423,627,"71,341,200","372,192,200","9,142","47,938",401,548,"5,176,400","377,368,600",781,"48,719",137,148,"368,978,600","47,519"
7,레오나르도 다 빈치,2018-04-26,이탈리아,이탈리아,,(주)스마일이엔티,전체관람가,애니메이션,세르지오 맨피오,"김명준,사문영,이경태,민아,석승훈,이호산,한신","10,359,500","212,040,200","1,630","27,250",83,98,"12,385,000","224,425,200","1,823","29,073",60,63,"11,314,200","235,739,400","1,604","30,677",81,85,"108,380,600","344,120,000","13,274","43,951",207,371,"60,345,200","404,465,200","7,267","51,218",183,298,"57,283,300","461,748,500","7,194","58,412",167,247,"2,774,600","464,523,100",400,"58,812",64,71,"262,842,400","33,192"
8,"그날, 바다",2018-04-12,한국,한국,프로젝트 부,(주)엣나인필름,15세이상관람가,다큐멘터리,김지영,정우성,"31,665,900","4,126,709,500","4,178","500,424",266,426,"22,947,200","4,149,656,700","2,997","503,421",202,320,"33,130,600","4,182,787,300","4,277","507,698",209,315,"48,655,200","4,231,442,500","5,746","513,444",159,222,"51,873,200","4,283,315,700","6,076","519,520",180,253,"42,534,700","4,325,850,400","5,129","524,649",190,276,"14,504,800","4,340,355,200","1,920","526,569",228,363,"245,311,600","30,323"
9,당갈,2018-04-25,인도,인도,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"액션,드라마",니테쉬 티와리,"아미르 칸,파티마 사나 셰이크,산야 말호트라","14,664,100","415,587,900","1,924","50,770",135,180,"10,959,900","426,547,800","1,438","52,208",59,76,"12,827,700","439,375,500","1,485","53,693",62,83,"24,492,200","463,867,700","2,718","56,411",43,69,"33,725,900","497,593,600","3,781","60,192",68,102,"34,791,700","532,385,300","3,989","64,181",77,122,"15,481,500","547,866,800","1,978","66,159",106,190,"146,943,000","17,313"
