기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-03-28 ~ 2018-04-03 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-03-28,,,,,,2018-03-29,,,,,,2018-03-30,,,,,,2018-03-31,,,,,,2018-04-01,,,,,,2018-04-02,,,,,,2018-04-03,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,곤지암,2018-03-28,한국,한국,(주)하이브미디어코프,(주)쇼박스,15세이상관람가,"공포(호러),스릴러",정범식,"위하준,박지현,오아연,문예원,박성훈,이승욱,유제윤","1,256,715,400","1,789,240,700","198,365","266,448",808,"3,501","912,146,400","2,701,387,100","117,945","384,393",849,"3,714","1,545,170,863","4,246,557,963","185,811","570,204",954,"4,237","3,452,613,511","7,699,171,474","423,340","993,544","1,075","5,360","3,047,696,300","10,746,867,774","373,836","1,367,380","1,124","5,433","844,662,000","11,591,529,774","109,505","1,476,885",927,"4,797","673,013,300","12,264,543,074","87,577","1,564,462",977,"4,820","11,732,017,774","1,496,379"
2,레디 플레이어 원,2018-03-28,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF,어드벤처",스티븐 스필버그,"마크 라이런스,사이먼 페그,올리비아 쿡,타이 쉐리던,벤 멘델슨,T.J. 밀러","1,005,005,000","1,054,190,000","149,784","153,331",985,"4,057","781,518,400","1,835,708,400","91,641","244,972",965,"4,059","1,245,425,012","3,081,133,412","134,675","379,647",980,"4,188","2,917,268,417","5,998,401,829","323,881","703,528","1,079","4,594","2,538,255,250","8,536,657,079","283,181","986,709","1,058","4,460","629,486,200","9,166,143,279","74,329","1,061,038",959,"4,147","536,259,700","9,702,402,979","63,033","1,124,071",982,"4,134","9,653,217,979","1,120,524"
3,7년의 밤,2018-03-28,한국,한국,"(주)바른손,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"스릴러,드라마",추창민,"류승룡,장동건,송새벽,고경표,이레,탕준상,이상희,문정희","737,244,400","813,263,200","124,688","132,599",872,"3,361","395,519,700","1,208,782,900","52,833","185,432",836,"3,275","472,258,963","1,681,041,863","57,164","242,596",812,"3,231","798,408,161","2,479,450,024","95,491","338,087",725,"2,803","669,215,700","3,148,665,724","80,035","418,122",705,"2,580","181,766,900","3,330,432,624","24,482","442,604",608,"2,374","167,159,100","3,497,591,724","22,447","465,051",639,"2,341","3,421,572,924","457,140"
4,지금 만나러 갑니다,2018-03-14,한국,한국,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,이장훈,"소지섭,손예진,김지환,고창석,이유진,김현수,배유람,이준혁,서정연,손여은","436,023,800","16,206,567,256","76,162","2,027,893",702,"2,407","296,742,400","16,503,309,656","40,017","2,067,910",677,"2,421","442,375,225","16,945,684,881","54,151","2,122,061",708,"2,571","896,251,122","17,841,936,003","108,358","2,230,419",736,"2,682","749,560,000","18,591,496,003","90,812","2,321,231",736,"2,588","210,665,700","18,802,161,703","28,444","2,349,675",655,"2,446","190,049,400","18,992,211,103","25,784","2,375,459",681,"2,429","3,221,667,647","423,728"
5,퍼시픽 림: 업라이징,2018-03-21,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,어드벤처,SF",스티븐 S. 드나이트,"존 보예가,스콧 이스트우드,케일리 스패니,아드리아 아르조나,번 고먼,찰리 데이,경첨,키쿠치 린코","138,668,400","8,110,700,242","23,378","970,074",550,"1,672","89,778,400","8,200,478,642","11,903","981,977",521,"1,551","120,371,275","8,320,849,917","14,592","996,569",502,"1,401","247,275,178","8,568,125,095","30,357","1,026,926",486,"1,148","205,295,800","8,773,420,895","25,460","1,052,386",489,"1,092","47,685,500","8,821,106,395","6,320","1,058,706",427,"1,025","37,072,000","8,858,178,395","5,016","1,063,722",434,951,"886,146,553","117,026"
6,콜 미 바이 유어 네임,2018-03-22,이탈리아,"이탈리아,프랑스,브라질,미국",,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,"드라마,멜로/로맨스",루카 구아다니노,"티모시 샬라멧,아미 해머,마이클 스털버그,아미라 캐사,에스더 가렐","51,913,800","765,547,800","8,269","93,103",155,384,"47,934,900","813,482,700","6,197","99,300",160,382,"62,991,200","876,473,900","7,272","106,572",161,381,"86,415,500","962,889,400","9,958","116,530",156,346,"74,657,400","1,037,546,800","8,661","125,191",164,345,"38,085,800","1,075,632,600","4,860","130,051",156,388,"32,643,900","1,108,276,500","4,221","134,272",154,352,"394,642,500","49,438"
7,미니특공대X,2018-03-22,한국,한국,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,이영준,"엄상현,전태열,이소영,신용우","5,074,400","428,587,700",795,"57,164",98,118,"5,212,100","433,799,800",782,"57,946",106,124,"5,748,700","439,548,500",788,"58,734",118,134,"93,117,700","532,666,200","12,376","71,110",347,542,"91,198,500","623,864,700","12,122","83,232",347,537,"3,162,000","627,026,700",443,"83,675",96,116,"3,177,300","630,204,000",464,"84,139",93,112,"206,690,700","27,770"
8,막달라 마리아: 부활의 증인,2018-03-28,영국,영국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,가스 데이비스,"루니 마라,호아킨 피닉스,치웨텔 에지오포,아리안 라베드","20,066,000","20,696,000","3,214","3,304",99,218,"17,189,000","37,885,000","2,555","5,859",101,210,"15,544,000","53,429,000","2,117","7,976",99,206,"28,554,500","81,983,500","3,829","11,805",110,215,"31,589,800","113,573,300","4,145","15,950",111,199,"12,736,000","126,309,300","1,948","17,898",99,203,"11,167,500","137,476,800","1,703","19,601",104,200,"136,846,800","19,511"
9,리틀 포레스트,2018-02-28,한국,한국,(주)영화사수박,메가박스중앙(주)플러스엠,전체관람가,드라마,임순례,"김태리,류준열,문소리,진기주","16,493,000","11,774,943,285","2,808","1,485,529",127,171,"13,376,800","11,788,320,085","1,960","1,487,489",114,153,"17,562,900","11,805,882,985","2,407","1,489,896",124,167,"28,178,300","11,834,061,285","3,561","1,493,457",92,129,"21,765,300","11,855,826,585","2,747","1,496,204",88,126,"11,350,700","11,867,177,285","1,626","1,497,830",112,166,"9,955,600","11,877,132,885","1,423","1,499,253",105,151,"118,682,600","16,532"
