기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-08-15 ~ 2018-08-21 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-08-15,,,,,,2018-08-16,,,,,,2018-08-17,,,,,,2018-08-18,,,,,,2018-08-19,,,,,,2018-08-20,,,,,,2018-08-21,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,공작,2018-08-08,한국,한국,"(주)영화사 월광,(주)사나이픽처스",씨제이이앤엠(주),12세이상관람가,드라마,윤종빈,"황정민,이성민,조진웅,주지훈,김대현","4,212,747,700","26,571,964,286","475,931","3,098,914","1,112","4,584","1,296,150,700","27,868,114,986","160,171","3,259,085","1,028","4,337","1,483,587,136","29,351,702,122","164,476","3,423,561","1,038","4,364","2,985,769,654","32,337,471,776","329,827","3,753,388","1,050","4,333","2,596,199,100","34,933,670,876","287,067","4,040,455","1,016","4,209","743,465,900","35,677,136,776","91,225","4,131,680",959,"3,945","714,386,800","36,391,523,576","87,746","4,219,426",974,"3,920","14,032,306,990","1,596,443"
2,목격자,2018-08-15,한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,조규장,"이성민,김상호,진경,곽시양","3,195,156,400","3,408,935,200","368,981","393,061",808,"3,539","1,303,703,300","4,712,638,500","161,783","554,844",808,"3,605","1,578,674,964","6,291,313,464","177,251","732,095",868,"3,869","2,966,564,796","9,257,878,260","334,392","1,066,487","1,005","4,337","2,676,107,300","11,933,985,560","298,946","1,365,433","1,021","4,335","995,803,000","12,929,788,560","128,512","1,493,945",971,"4,246","893,602,800","13,823,391,360","109,251","1,603,196",938,"4,185","13,609,612,560","1,579,116"
3,신과함께-인과 연,2018-08-01,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준","3,635,752,500","88,022,721,349","416,751","10,538,168","1,108","4,227","1,111,612,000","89,134,333,349","140,210","10,678,378","1,031","3,948","1,250,655,564","90,384,988,913","141,629","10,820,007","1,000","3,900","2,379,345,096","92,764,334,009","268,054","11,088,061",998,"3,890","2,039,140,600","94,803,474,609","230,280","11,318,341",992,"3,726","662,716,400","95,466,191,009","82,706","11,401,047",942,"3,532","608,571,200","96,074,762,209","77,718","11,478,765",956,"3,521","11,687,793,360","1,357,348"
4,맘마미아!2,2018-08-08,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,올 파커,"아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인,콜린 퍼스,휴 스키너,스텔란 스카스가드,조쉬 딜란,줄리 월터스,알렉사 데이비스,크리스틴 바란스키,제시카 키나 윈,도미닉 쿠퍼,셰어,앤디 가르시아","1,159,794,000","10,405,139,188","130,254","1,218,344",623,"1,490","529,384,400","10,934,523,588","65,332","1,283,676",620,"1,626","648,035,547","11,582,559,135","71,732","1,355,408",648,"1,732","1,088,294,250","12,670,853,385","119,389","1,474,797",667,"1,767","974,222,300","13,645,075,685","107,622","1,582,419",683,"1,770","419,656,200","14,064,731,885","51,695","1,634,114",626,"1,838","434,282,100","14,499,013,985","53,826","1,687,940",631,"1,844","5,253,668,797","599,850"
5,메가로돈,2018-08-15,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,공포(호러),SF",존 터틀타웁,"제이슨 스타뎀,리빙빙","1,363,704,400","1,396,378,400","157,303","160,321",601,"1,979","419,675,000","1,816,053,400","52,752","213,073",595,"1,961","422,575,947","2,238,629,347","48,008","261,081",598,"1,905","721,191,150","2,959,820,497","81,822","342,903",570,"1,631","623,342,100","3,583,162,597","70,523","413,426",568,"1,588","193,320,100","3,776,482,697","24,240","437,666",544,"1,602","172,181,200","3,948,663,897","21,531","459,197",549,"1,561","3,915,989,897","456,179"
6,몬스터 호텔 3,2018-08-08,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,코미디,가족,판타지",젠디 타타코브스키,"아담 샌들러,셀레나 고메즈,앤디 샘버그,스티브 부세미,케빈 제임스,캐서린 한","877,090,100","5,373,855,100","114,447","730,932",572,"1,056","200,976,100","5,574,831,200","29,610","760,542",489,810,"207,261,800","5,782,093,000","28,321","788,863",492,819,"463,143,200","6,245,236,200","59,799","848,662",558,"1,082","435,519,900","6,680,756,100","55,321","903,983",533,"1,042","102,715,500","6,783,471,600","14,934","918,917",451,720,"109,254,800","6,892,726,400","16,277","935,194",458,719,"2,395,961,400","318,709"
7,미션 임파서블: 폴아웃,2018-07-25,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,스릴러",크리스토퍼 맥쿼리,"톰 크루즈,레베카 퍼거슨,바네사 커비,미셸 모나한,헨리 카빌,안젤라 바셋,사이먼 페그,알렉 볼드윈","459,610,700","53,427,790,359","50,394","6,309,616",358,676,"182,895,800","53,610,686,159","21,364","6,330,980",334,657,"234,079,253","53,844,765,412","24,634","6,355,614",343,670,"407,801,250","54,252,566,662","42,726","6,398,340",354,658,"335,989,900","54,588,556,562","35,393","6,433,733",355,663,"121,638,400","54,710,194,962","14,385","6,448,118",325,643,"118,181,600","54,828,376,562","13,951","6,462,069",342,655,"1,860,196,903","202,847"
8,극장판 도라에몽: 진구의 보물섬,2018-08-15,일본,일본,,(주)이수C&E,전체관람가,"애니메이션,SF,어드벤처",이마이 카즈아키,"윤아영,김정아,조현정,최낙윤,이현주,임은정,김정은,이지현,이경태,강은애,박성영,이다은,손선영,김은연,정의한,김진홍,이승행,이창민,서반석,원에스더,미즈타 와사비,오오하라 메구미,카카즈 유미,키무라 스바루,세키 토모카즈,카네모토 히사코,유키 아오이,야마시타 다이키,오리카사 후미코,오토모 류자부로,하야미 사오리,나가사와 마사미,오오이즈미 요","471,207,400","508,071,400","61,884","65,980",463,755,"91,866,300","599,937,700","13,388","79,368",422,593,"80,602,500","680,540,200","11,005","90,373",410,563,"190,858,800","871,399,000","24,801","115,174",428,652,"182,753,400","1,054,152,400","23,466","138,640",425,639,"40,973,900","1,095,126,300","6,020","144,660",363,450,"43,562,600","1,138,688,900","6,435","151,095",352,437,"1,101,824,900","146,999"
9,명탐정 코난 : 제로의 집행인,2018-08-08,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,타치카와 유즈루,"타카야마 미나미,야마자키 와카나,코야마 리키야,푸루야 토루","145,566,800","2,597,503,000","18,833","343,492",184,223,"42,411,800","2,639,914,800","5,715","349,207",169,197,"44,020,200","2,683,935,000","5,329","354,536",175,210,"90,501,100","2,774,436,100","11,195","365,731",190,241,"92,081,700","2,866,517,800","11,530","377,261",185,236,"27,938,700","2,894,456,500","3,657","380,918",172,209,"25,247,000","2,919,703,500","3,541","384,459",173,203,"467,767,300","59,800"
10,극장판 헬로카봇 : 백악기 시대,2018-08-01,한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,김진철","이지현,김용준,양정화,홍범기,엄상현,사문영,위훈,민응식,신용우,안소이,한신,이현,김상백,임정길,김두용","189,385,300","6,173,273,300","23,767","824,179",182,240,"22,024,600","6,195,297,900","3,362","827,541",122,147,"21,441,900","6,216,739,800","2,971","830,512",133,158,"94,318,000","6,311,057,800","11,967","842,479",188,254,"95,122,200","6,406,180,000","11,755","854,234",189,256,"9,769,300","6,415,949,300","1,416","855,650",100,127,"11,393,900","6,427,343,200","1,678","857,328",117,138,"443,455,200","56,916"
11,플로이,2018-08-15,아이슬란드,"아이슬란드,벨기에",,(주)스마일이엔티,전체관람가,"애니메이션,어드벤처,가족",아르니 올라푸르 아스게이르손,,"110,243,900","132,627,900","13,741","16,203",242,291,"30,490,100","163,118,000","4,385","20,588",209,226,"23,174,200","186,292,200","3,299","23,887",193,218,"40,411,600","226,703,800","4,941","28,828",204,232,"34,469,100","261,172,900","4,195","33,023",202,228,"12,939,500","274,112,400","1,974","34,997",160,171,"16,960,600","291,073,000","2,608","37,605",161,172,"268,689,000","35,143"
12,인크레더블 2,2018-07-18,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,액션,어드벤처,코미디,가족",브래드 버드,"크레이그 T. 넬슨,사무엘 L. 잭슨,홀리 헌터","46,645,200","24,384,842,988","5,710","3,011,800",45,59,"14,031,900","24,398,874,888","1,948","3,013,748",38,53,"13,412,000","24,412,286,888","1,623","3,015,371",37,53,"31,803,700","24,444,090,588","3,788","3,019,159",42,60,"27,146,500","24,471,237,088","3,302","3,022,461",42,61,"8,076,800","24,479,313,888","1,044","3,023,505",31,45,"8,617,700","24,487,931,588","1,144","3,024,649",32,44,"149,733,800","18,559"
13,어느 가족,2018-07-26,일본,일본,,(주)티캐스트,15세이상관람가,드라마,고레에다 히로카즈,"릴리 프랭키,안도 사쿠라,마츠오카 마유,키키 키린,죠 카이리,사사키 미유,이케마츠 소스케","42,669,900","1,127,646,500","4,636","133,858",50,107,"13,045,400","1,140,691,900","1,763","135,621",45,86,"15,143,800","1,155,835,700","2,001","137,622",49,82,"28,203,800","1,184,039,500","3,555","141,177",54,104,"22,774,900","1,206,814,400","2,947","144,124",52,102,"12,827,700","1,219,642,100","1,756","145,880",44,101,"12,466,600","1,232,108,700","1,744","147,624",47,103,"147,132,100","18,402"
14,너의 결혼식,2018-08-22,한국,한국,"(주)필름케이,(주)외유내강",메가박스중앙(주)플러스엠,12세이상관람가,멜로/로맨스,이석근,"박보영,김영광,강기영,장성범,고규필,서은수,차엽,안길강",0,"140,730,000",0,"15,613",0,0,"28,809,000","169,539,000","3,782","19,395",12,15,"4,288,000","173,827,000",536,"19,931",4,4,"22,505,300","196,332,300","2,279","22,210",8,8,"22,676,900","219,009,200","2,296","24,506",9,10,"30,074,000","249,083,200","3,244","27,750",17,17,"26,905,000","275,988,200","3,270","31,020",21,21,"135,258,200","15,407"
15,노인을 위한 나라는 없다,2008-02-21,미국,미국,"파라마운트 밴티지,미라맥스 필름즈","주식회사 해리슨앤컴퍼니,씨제이엔터테인먼트",청소년관람불가,"스릴러,드라마,범죄","조엘 코엔,에단 코엔","토미 리 존스,하비에르 바르뎀,조슈 브롤린","20,757,900","598,704,400","2,193","82,372",25,86,"6,878,300","605,582,700",814,"83,186",25,73,"6,411,600","611,994,300",703,"83,889",26,66,"13,250,100","625,244,400","1,395","85,284",27,74,"12,528,000","637,772,400","1,336","86,620",26,75,"3,765,100","641,537,500",452,"87,072",24,46,"3,707,000","645,244,500",435,"87,507",22,46,"67,298,000","7,328"
16,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,한국,한국,"씨제이이앤엠(주),(주)칵테일 미디어",씨제이이앤엠(주),전체관람가,"애니메이션,판타지,어드벤처",김병갑,"조현정,김영은,김채하,신용우,여민정,심규혁","22,374,000","4,966,186,500","2,871","673,449",46,48,"3,352,400","4,969,538,900",509,"673,958",24,30,"3,207,900","4,972,746,800",403,"674,361",24,31,"8,803,500","4,981,550,300","1,099","675,460",39,47,"8,172,800","4,989,723,100","1,022","676,482",37,47,"1,196,600","4,990,919,700",175,"676,657",21,23,"1,287,300","4,992,207,000",191,"676,848",21,22,"48,394,500","6,270"
17,나를 차버린 스파이,2018-08-22,미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,코미디",수잔나 포겔,"밀라 쿠니스,케이트 맥키넌",0,"37,504,000",0,"4,685",0,0,"20,472,000","57,976,000","2,559","7,244",14,14,"13,728,000","71,704,000","1,716","8,960",9,9,0,"71,704,000",0,"8,960",0,0,0,"71,704,000",0,"8,960",0,0,0,"71,704,000",0,"8,960",0,0,"10,216,000","81,920,000","1,357","10,317",15,15,"44,416,000","5,632"
18,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,미국,미국,,"(주)영화사 그램,(재)CBS",12세이상관람가,드라마,마이클 메이슨,"존 코베트,쉐인 하퍼,테드 맥긴리","2,242,600","589,705,600",305,"74,903",5,6,"7,271,700","596,977,300","1,048","75,951",45,51,"4,837,100","601,814,400",625,"76,576",41,44,"4,115,300","605,929,700",562,"77,138",28,29,"6,083,700","612,013,400",808,"77,946",36,37,"2,833,000","614,846,400",360,"78,306",38,40,"3,186,100","618,032,500",456,"78,762",40,42,"30,569,500","4,164"
19,델마,2018-08-15,노르웨이,"노르웨이,덴마크,스웨덴,프랑스",,그린나래미디어(주),15세이상관람가,"멜로/로맨스,미스터리,스릴러,SF",요아킴 트리에,"에일리 하보,카야 윌킨스,엘렌 도리트 페테르센,헨릭 라파엘센,이사벨 크리스틴 안드레슨","2,796,900","12,680,600",304,"1,255",19,22,"2,953,500","15,634,100",382,"1,637",33,38,"3,329,400","18,963,500",388,"2,025",37,43,"10,275,600","29,239,100",896,"2,921",33,37,"5,143,800","34,382,900",587,"3,508",33,37,"2,722,300","37,105,200",350,"3,858",31,41,"3,778,700","40,883,900",490,"4,348",34,42,"31,000,200","3,397"
20,카운터스,2018-08-15,한국,한국,exposed film,㈜인디스토리,15세이상관람가,"다큐멘터리,액션",이일하,,"3,890,100","7,159,100",463,969,41,50,"2,801,700","9,960,800",360,"1,329",51,87,"3,060,100","13,020,900",391,"1,720",43,73,"2,682,200","15,703,100",337,"2,057",47,59,"2,942,500","18,645,600",361,"2,418",34,42,"3,094,900","21,740,500",396,"2,814",46,75,"2,637,200","24,377,700",351,"3,165",46,78,"21,108,700","2,659"
21,더 스퀘어,2018-08-02,스웨덴,"스웨덴,독일,프랑스,덴마크",,아이 엠,15세이상관람가,코미디,루벤 외스틀룬드,"클라에스 방,엘리자베스 모스,도미닉 웨스트","6,972,700","107,073,900",887,"13,038",26,31,"1,363,000","108,436,900",179,"13,217",11,11,"1,838,100","110,275,000",230,"13,447",17,18,"3,020,000","113,295,000",359,"13,806",17,19,"2,090,000","115,385,000",249,"14,055",17,18,"1,622,500","117,007,500",219,"14,274",13,13,"1,389,000","118,396,500",185,"14,459",13,13,"18,295,300","2,308"
22,아이 엠 러브,2011-01-20,이탈리아,이탈리아,,"(주)영화사 진진,(주)영화사 조제",청소년관람불가,"드라마,멜로/로맨스",루카 구아다그니노,"플라비오 파렌티,틸다 스윈튼,에도아르도 가브리엘리니,알바 로흐와쳐","5,546,500","411,323,361",714,"52,076",20,24,"1,341,000","412,664,361",172,"52,248",10,11,"2,275,000","414,939,361",291,"52,539",13,16,"3,281,500","418,220,861",373,"52,912",10,14,"2,974,500","421,195,361",322,"53,234",11,13,"1,317,000","422,512,361",165,"53,399",11,12,"1,544,500","424,056,861",204,"53,603",13,14,"18,280,000","2,241"
23,러브 오브 시베리아,2000-10-14,러시아,"러시아,이탈리아,체코,프랑스",,,15세관람가,"멜로/로맨스,드라마,사극",니키타 미할코프,"줄리아 오몬드,리차드 해리스,올렉 멘시코프",0,"715,000",0,237,0,0,0,"715,000",0,237,0,0,"876,000","1,591,000",438,675,1,3,"1,138,000","2,729,000",564,"1,239",1,3,"1,068,000","3,797,000",529,"1,768",1,3,"744,000","4,541,000",372,"2,140",1,3,0,"4,541,000",0,"2,140",0,0,"3,826,000","1,903"
