기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-05-23 ~ 2018-05-29 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-05-23,,,,,,2018-05-24,,,,,,2018-05-25,,,,,,2018-05-26,,,,,,2018-05-27,,,,,,2018-05-28,,,,,,2018-05-29,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,독전,2018-05-22,한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션",이해영,"조진웅,류준열,김주혁,김성령,박해준,차승원,이주영","1,318,718,300","4,761,642,400","161,146","544,793","1,071","5,241","1,293,767,500","6,055,409,900","158,565","703,358","1,078","5,100","1,967,322,200","8,022,732,100","219,564","922,922","1,188","5,623","4,172,910,461","12,195,642,561","459,752","1,382,674","1,357","6,562","3,915,544,100","16,111,186,661","430,064","1,812,738","1,345","6,487","1,294,167,100","17,405,353,761","157,099","1,969,837","1,216","6,045","1,124,277,400","18,529,631,161","137,551","2,107,388","1,219","6,074","15,086,707,061","1,723,741"
2,데드풀 2,2018-05-16,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,어드벤처,코미디,SF",데이빗 레이치,"라이언 레놀즈,조슈 브롤린,재지 비츠,모레나 바카린,브리아나 힐데브란드","792,140,200","24,312,779,386","91,779","2,664,302","1,027","5,143","636,255,500","24,949,034,886","75,447","2,739,749",938,"4,330","888,130,400","25,837,165,286","95,108","2,834,857",928,"4,385","1,747,585,539","27,584,750,825","186,003","3,020,860",933,"4,438","1,363,628,400","28,948,379,225","144,836","3,165,696",925,"4,312","439,364,300","29,387,743,525","52,592","3,218,288",887,"4,165","368,524,200","29,756,267,725","44,281","3,262,569",881,"4,077","6,235,628,539","690,046"
3,어벤져스: 인피니티 워,2018-04-25,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF","안소니 루소,조 루소","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨,엘리자베스 올슨,안소니 마키,폴 러드,기네스 팰트로우,폴 베타니,돈 치들,베네딕트 컴버배치,톰 홀랜드,크리스 프랫,조 샐다나,카렌 길런,브래들리 쿠퍼,빈 디젤,데이브 바티스타,세바스찬 스탠,채드윅 보스만,코비 스멀더스,베니치오 델 토로,피터 딘클리지,사무엘 L. 잭슨,다네이 거라이라,베네딕트 왕","148,602,400","97,072,475,169","18,213","10,891,687",532,"1,416","116,521,500","97,188,996,669","14,346","10,906,033",491,"1,102","172,229,900","97,361,226,569","19,045","10,925,078",511,"1,157","416,923,600","97,778,150,169","46,992","10,972,070",541,"1,241","372,314,900","98,150,465,069","42,144","11,014,214",546,"1,223","103,996,500","98,254,461,569","12,833","11,027,047",492,"1,178","89,898,900","98,344,360,469","11,182","11,038,229",509,"1,149","1,420,487,700","164,755"
4,트루스 오어 데어,2018-05-22,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",제프 와드로,"루시 헤일,타일러 포시,바이올렛 빈,놀런 제라드 펑크,헤이든 제토,브래디 스미스,샘 러너","141,613,400","623,288,700","17,299","72,410",518,"1,761","123,502,900","746,791,600","14,919","87,329",501,"1,530","201,610,000","948,401,600","23,005","110,334",501,"1,510","341,005,300","1,289,406,900","38,602","148,936",520,"1,290","314,979,300","1,604,386,200","35,621","184,557",511,"1,264","104,202,400","1,708,588,600","12,489","197,046",491,"1,259","89,702,800","1,798,291,400","10,794","207,840",476,"1,224","1,316,616,100","152,729"
5,한 솔로: 스타워즈 스토리,2018-05-24,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF",론 하워드,"엘든 이렌리치,에밀리아 클라크,폴 베타니,워윅 데이비스,우디 해럴슨,탠디 뉴튼,클린트 하워드","5,400,000","14,136,000",450,"1,074",1,1,"184,755,200","198,891,200","19,176","20,250",546,"1,891","199,559,100","398,450,300","20,312","40,562",556,"1,822","423,926,239","822,376,539","44,133","84,695",569,"1,656","379,672,400","1,202,048,939","40,328","125,023",556,"1,562","90,643,800","1,292,692,739","10,165","135,188",503,"1,473","84,684,100","1,377,376,839","9,738","144,926",512,"1,434","1,368,640,839","144,302"
6,버닝,2018-05-17,한국,한국,"파인하우스필름(주),나우필름(주)",CGV아트하우스,청소년관람불가,미스터리,이창동,"유아인,스티븐 연,전종서","143,731,000","3,479,445,098","16,417","388,041",537,"1,447","98,939,300","3,578,384,398","11,934","399,975",457,"1,112","125,787,900","3,704,172,298","13,680","413,655",469,"1,057","175,217,600","3,879,389,898","18,629","432,284",431,814,"155,803,600","4,035,193,498","16,568","448,852",417,773,"69,750,600","4,104,944,098","8,382","457,234",435,936,"78,768,900","4,183,712,998","9,295","466,529",429,936,"847,998,900","94,905"
7,피터 래빗,2018-05-16,미국,"미국,영국,호주",,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,가족",윌 글럭,"도널 글리슨,로즈 번,샘 닐","20,517,500","1,792,149,400","2,907","233,386",296,388,"13,333,700","1,805,483,100","1,854","235,240",212,260,"20,457,500","1,825,940,600","2,602","237,842",237,296,"271,748,000","2,097,688,600","34,278","272,120",542,"1,088","301,185,100","2,398,873,700","37,804","309,924",540,"1,102","11,733,600","2,410,607,300","1,589","311,513",233,294,"13,387,300","2,423,994,600","1,937","313,450",227,285,"652,362,700","82,971"
8,"안녕, 나의 소녀",2018-05-16,대만,대만,,오드,12세이상관람가,멜로/로맨스,사준의,"류이호,송운화","30,446,500","589,929,434","3,876","75,712",117,276,"20,047,500","609,976,934","2,710","78,422",100,229,"28,414,000","638,390,934","3,422","81,844",113,249,"43,293,000","681,683,934","5,312","87,156",114,259,"38,610,500","720,294,434","4,688","91,844",115,247,"12,666,500","732,960,934","1,667","93,511",109,223,"12,393,500","745,354,434","1,622","95,133",99,217,"185,871,500","23,297"
9,레슬러,2018-05-09,한국,한국,(주)안나푸르나필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,코미디",김대웅,"유해진,김민재,이성경,나문희,성동일,진경,황우슬혜,김태훈,박규영,이한서,최유화,이예원","12,732,700","6,373,184,457","1,802","755,672",179,261,"35,829,800","6,409,014,257","5,058","760,730",158,200,"10,487,400","6,419,501,657","1,573","762,303",149,191,"13,968,700","6,433,470,357","1,884","764,187",118,156,"11,728,600","6,445,198,957","1,549","765,736",111,145,"3,925,700","6,449,124,657",569,"766,305",89,120,"7,177,000","6,456,301,657","1,063","767,368",105,137,"95,849,900","13,498"
