기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2017-04-12 ~ 2017-04-18 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2017-04-12,,,,,,2017-04-13,,,,,,2017-04-14,,,,,,2017-04-15,,,,,,2017-04-16,,,,,,2017-04-17,,,,,,2017-04-18,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,분노의 질주: 더 익스트림,2017-04-12,미국,"미국,일본,프랑스,캐나다",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드,커트 러셀,미셸 로드리게즈,엘자 패터키,에바 멘데스,헬렌 미렌,조다나 브루스터,루카스 블랙,타이레스 깁슨,루다크리스","1,620,818,400","1,626,454,400","208,481","208,984","1,238","6,040","1,255,361,100","2,881,815,500","162,386","371,370","1,295","6,189","1,950,147,738","4,831,963,238","227,537","598,907","1,337","6,505","3,791,412,254","8,623,375,492","437,834","1,036,741","1,469","7,330","3,389,522,800","12,012,898,292","391,851","1,428,592","1,457","7,141","1,127,874,400","13,140,772,692","147,098","1,575,690","1,294","6,346","873,006,200","14,013,778,892","113,803","1,689,493","1,330","6,294","14,008,142,892","1,688,990"
2,아빠는 딸,2017-04-12,한국,한국,영화사김치(주),메가박스중앙(주)플러스엠,12세이상관람가,코미디,김형협,"윤제문,정소민,이일화,신구,이미도,강기영,박혁권,허가윤,도희,박희진,정유동,윤진영,이정수,이유진","244,461,600","305,306,600","33,396","40,824",460,"2,092","234,205,600","539,512,200","31,745","72,569",464,"2,131","361,455,162","900,967,362","44,942","117,511",478,"2,170","684,514,546","1,585,481,908","83,474","200,985",501,"2,171","637,588,450","2,223,070,358","77,429","278,414",520,"2,151","215,300,600","2,438,370,958","29,353","307,767",476,"2,165","184,595,400","2,622,966,358","25,263","333,030",500,"2,146","2,562,121,358","325,602"
3,미녀와 야수,2017-03-16,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"멜로/로맨스,판타지,뮤지컬",빌 콘돈,"엠마 왓슨,댄 스티븐스,루크 에반스,이완 맥그리거,이안 맥켈런,엠마 톰슨,구구 바샤-로,케빈 클라인,스탠리 투치","146,019,500","38,551,571,779","19,461","4,694,235",500,"1,599","127,748,400","38,679,320,179","16,951","4,711,186",476,"1,495","224,104,900","38,903,425,079","26,570","4,737,756",506,"1,606","579,015,800","39,482,440,879","68,987","4,806,743",652,"2,047","484,431,100","39,966,871,979","57,978","4,864,721",653,"2,002","116,009,600","40,082,881,579","15,468","4,880,189",487,"1,499","100,256,700","40,183,138,279","13,367","4,893,556",480,"1,470","1,777,586,000","218,782"
4,프리즌,2017-03-23,한국,한국,(주)큐로홀딩스,(주)쇼박스,청소년관람불가,"범죄,액션",나현,"한석규,김래원,정웅인,조재윤,신성록,곽민호,박영준,임경욱,장한승,신영진,지동주,유정호,윤세현,천재성,이상민,이수민,이용직,이재수,이정수,이정훈,홍도성,김성종,연송하,이재균,차엽","132,616,200","22,356,564,487","17,603","2,756,432",451,"1,573","112,757,400","22,469,321,887","14,899","2,771,331",445,"1,497","174,922,600","22,644,244,487","20,584","2,791,915",472,"1,555","275,359,500","22,919,603,987","32,038","2,823,953",494,"1,310","226,336,700","23,145,940,687","26,181","2,850,134",494,"1,258","109,731,400","23,255,672,087","14,531","2,864,665",449,"1,370","81,076,700","23,336,748,787","10,861","2,875,526",447,"1,322","1,112,800,500","136,697"
5,라이프,2017-04-05,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"SF,스릴러",다니엘 에스피노사,"제이크 질렌할,레베카 퍼거슨,라이언 레놀즈,사나다 히로유키,앨리욘 버케어,올가 디호비치나야","69,900,800","3,206,168,618","9,312","387,291",460,"1,091","56,112,000","3,262,280,618","7,526","394,817",425,958,"95,545,038","3,357,825,656","11,584","406,401",457,998,"136,043,954","3,493,869,610","15,973","422,374",429,803,"108,426,700","3,602,296,310","12,784","435,158",416,760,"44,464,000","3,646,760,310","6,018","441,176",419,840,"37,019,100","3,683,779,410","5,030","446,206",405,802,"547,511,592","68,227"
6,어느날,2017-04-05,한국,한국,(주)인벤트스톤,"오퍼스픽쳐스,CGV아트하우스",15세이상관람가,멜로/로맨스,이윤기,"김남길,천우희,박윤호,박태영,배유리,전유림,신영진,정태인,유경훈,이미소,이상원,이승연,황혜인,남영선,남영선","41,295,000","1,565,181,882","5,737","198,408",324,672,"30,511,400","1,595,693,282","4,092","202,500",290,543,"43,002,200","1,638,695,482","5,249","207,749",302,563,"60,173,600","1,698,869,082","7,129","214,878",275,463,"49,193,800","1,748,062,882","5,829","220,707",280,439,"23,167,000","1,771,229,882","3,263","223,970",286,494,"19,877,500","1,791,107,382","2,781","226,751",283,483,"267,220,500","34,080"
7,히든 피겨스,2017-03-23,미국,미국,,이십세기폭스코리아(주),12세이상관람가,드라마,데오도르 멜피,"타라지 P. 헨슨,옥타비아 스펜서,케빈 코스트너,커스틴 던스트,짐 파슨스","27,194,100","3,032,314,033","3,697","380,912",164,269,"24,536,500","3,056,850,533","3,334","384,246",160,245,"46,254,200","3,103,104,733","5,519","389,765",168,265,"64,924,400","3,168,029,133","7,544","397,309",166,240,"53,479,000","3,221,508,133","6,236","403,545",157,236,"23,414,200","3,244,922,333","3,237","406,782",156,266,"22,011,600","3,266,933,933","3,019","409,801",163,276,"261,814,000","32,586"
8,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,2017-04-13,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,어드벤처,가족,판타지,뮤지컬",제이미 미첼,"아리엘 윈터,아이미 카레로,제인 폰다,사라 라미레즈,다시 로즈 번즈,타일러 머나,트래비스 윌링엄,바바라 디릭슨,제나 오르테가,크리스티앙 란스,김미랑,이재현,안경진,윤소라,서지연,연정흠,박조호,홍수정,여민정,이장원","20,000","20,000",4,4,1,1,"3,401,000","3,421,000",530,534,75,87,"5,097,000","8,518,000",747,"1,281",81,97,"54,129,000","62,647,000","7,713","8,994",141,229,"54,732,500","117,379,500","7,820","16,814",149,242,"3,925,500","121,305,000",600,"17,414",80,99,"3,448,500","124,753,500",548,"17,962",78,92,"124,753,500","17,962"
9,지니어스,2017-04-13,영국,"영국,미국",,(주)라이크 콘텐츠,12세이상관람가,드라마,마이클 그랜다지,"콜린 퍼스,주드 로,니콜 키드먼,로라 린니,가이 피어스,도미닉 웨스트,바네사 커비,마크 아놀드","3,073,400","18,637,400",350,"2,264",3,4,"21,148,400","39,785,800","2,955","5,219",167,293,"19,401,200","59,187,000","2,401","7,620",172,294,"26,138,100","85,325,100","3,197","10,817",163,249,"23,290,500","108,615,600","2,842","13,659",151,225,"12,885,300","121,500,900","1,840","15,499",152,243,"13,400,000","134,900,900","1,885","17,384",152,255,"119,336,900","15,470"
10,패션 오브 크라이스트,2004-04-02,미국,미국,아이콘프로덕션,"(주)이수C&E,이십세기폭스필름코퍼레이션",15세관람가,드라마,멜 깁슨,"제임스 카비젤,모니카 벨루치,마이아 모겐스턴","10,126,900","5,384,599,800","1,392","847,265",113,194,"14,628,700","5,399,228,500","2,113","849,378",126,209,"16,176,800","5,415,405,300","2,093","851,471",126,209,"26,970,900","5,442,376,200","3,372","854,843",128,200,"24,723,800","5,467,100,000","3,059","857,902",125,206,"9,968,500","5,477,068,500","1,435","859,337",122,202,"6,721,500","5,483,790,000",954,"860,291",110,179,"109,317,100","14,418"
11,흑집사 -북 오브 더 아틀란틱-,2017-04-13,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,판타지,드라마,액션",아베 노리유키,"오노 다이스케,사카모토 마아야",0,0,0,0,0,0,"22,089,000","22,089,000","3,011","3,011",80,144,"18,059,000","40,148,000","2,211","5,222",82,140,"30,071,500","70,219,500","3,852","9,074",94,156,"22,973,000","93,192,500","2,966","12,040",93,146,"4,730,000","97,922,500",635,"12,675",74,116,"4,055,500","101,978,000",556,"13,231",70,109,"101,978,000","13,231"
12,극장판 어드벤처 타임: 비밀의 아일랜드,2017-04-13,미국,미국,,(주)팝엔터테인먼트,전체관람가,애니메이션,엘리자베스 이토,,0,"10,000,000",0,"1,000",0,0,"2,439,000","12,439,000",314,"1,314",53,57,"3,273,800","15,712,800",414,"1,728",60,62,"42,994,200","58,707,000","5,214","6,942",124,161,"46,436,200","105,143,200","5,607","12,549",125,167,"2,053,000","107,196,200",270,"12,819",51,55,"2,222,500","109,418,700",296,"13,115",51,56,"99,418,700","12,115"
13,시간위의 집,2017-04-05,한국,한국,"리드미컬그린(주),자이온 이엔티(주),브릿지웍스 엔터테인먼트(주),라이브(주)","(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",15세이상관람가,"미스터리,스릴러",임대웅,"김윤진,옥택연,조재윤,이한위,박준면,백도빈,유인영,서민수,정용욱,이동규,이재우","16,135,700","946,116,800","2,188","119,274",152,242,"11,292,500","957,409,300","1,586","120,860",128,189,"12,847,500","970,256,800","1,561","122,421",119,193,"14,922,500","985,179,300","1,879","124,300",105,153,"11,497,500","996,676,800","1,402","125,702",93,139,"6,287,500","1,002,964,300",868,"126,570",104,164,"5,319,800","1,008,284,100",736,"127,306",100,159,"78,303,000","10,220"
14,로즈,2017-04-12,아일랜드,아일랜드,,(주)박수엔터테인먼트,15세이상관람가,"멜로/로맨스,드라마",짐 쉐리단,"루니 마라,테오 제임스,에릭 바나,바네사 레드그레이브,잭 레이너,수잔 린치,폴린 맥린","7,232,000","18,183,500","1,037","2,347",106,174,"10,505,900","28,689,400","1,482","3,829",125,199,"9,707,670","38,397,070","1,248","5,077",119,186,"17,127,471","55,524,541","2,024","7,101",122,163,"12,012,500","67,537,041","1,466","8,567",108,145,"8,050,500","75,587,541","1,162","9,729",108,159,"7,545,500","83,133,041","1,095","10,824",111,165,"72,181,541","9,514"
15,십계: 구원의 길,2017-04-13,브라질,브라질,,씨네그루(주)키다리이엔티,전체관람가,드라마,알렉상드르 아반치니,"길례르미 윈터,세르지오 마로네,카밀라 로드리게즈,지젤 이티에",0,"552,000",0,92,0,0,"10,638,000","11,190,000","1,588","1,680",93,162,"8,408,000","19,598,000","1,206","2,886",92,154,"13,197,000","32,795,000","1,818","4,704",94,154,"17,370,000","50,165,000","2,613","7,317",97,141,"7,621,500","57,786,500","1,157","8,474",85,147,"6,248,500","64,035,000",964,"9,438",86,143,"63,483,000","9,346"
16,공각기동대 : 고스트 인 더 쉘,2017-03-29,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"SF,범죄,액션",루퍼트 샌더스,"스칼렛 요한슨,마이클 피트,마이클 윈코트,요한 필리프 아스베크,기타노 다케시","11,088,400","6,187,635,784","1,533","751,579",151,242,"7,181,500","6,194,817,284",969,"752,548",136,183,"11,809,100","6,206,626,384","1,405","753,953",135,192,"16,921,000","6,223,547,384","1,952","755,905",119,157,"14,387,500","6,237,934,884","1,689","757,594",114,154,"6,343,500","6,244,278,384",901,"758,495",120,162,"4,629,000","6,248,907,384",637,"759,132",109,144,"72,360,000","9,086"
17,원라인,2017-03-29,한국,한국,"(주)미인픽쳐스,(주)곽픽쳐스",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,범죄,양경모,"임시완,진구,박병은,이동휘,김선영,박종환,왕지원,박유환,안세하,조우진,박형수,박건도,박지홍,안지현,유요한,이도현,최창국,이석호,한민철,이영호,홍성호,김말구,김태준,김근영,임지환,김대현","7,248,000","3,260,760,433","1,007","426,026",100,153,"8,647,000","3,269,407,433","1,431","427,457",88,129,"5,703,000","3,275,110,433",731,"428,188",80,120,"8,361,000","3,283,471,433","1,019","429,207",69,99,"7,406,500","3,290,877,933",909,"430,116",62,90,"3,242,500","3,294,120,433",465,"430,581",69,103,"7,851,000","3,301,971,433","1,488","432,069",84,114,"48,459,000","7,050"
18,댄서,2017-04-13,영국,"영국,러시아,우크라이나,미국",,(주)엣나인필름,15세이상관람가,다큐멘터리,스티븐 캔터,세르게이 폴루닌,0,"4,978,000",0,722,0,0,"6,972,200","11,950,200",902,"1,624",43,61,"7,271,000","19,221,200",886,"2,510",37,57,"11,204,500","30,425,700","1,326","3,836",38,55,"11,834,100","42,259,800","1,436","5,272",39,56,"8,176,500","50,436,300","1,038","6,310",36,61,"7,829,500","58,265,800","1,086","7,396",43,64,"53,287,800","6,674"
19,분노,2017-03-30,일본,일본,,메가박스중앙(주)플러스엠,청소년관람불가,스릴러,이상일,"와타나베 켄,모리야마 미라이,마츠야마 켄이치,히로세 스즈,미야자키 아오이,츠마부키 사토시,미우라 타카히로,타카하타 미츠키,이케와키 치즈루,하라 히데코","6,241,400","162,410,937",788,"20,257",31,53,"4,562,700","166,973,637",600,"20,857",32,51,"6,997,100","173,970,737",802,"21,659",32,51,"11,968,900","185,939,637","1,391","23,050",34,55,"10,431,000","196,370,637","1,186","24,236",32,52,"3,779,000","200,149,637",503,"24,739",30,49,"3,470,200","203,619,837",461,"25,200",31,50,"47,450,300","5,731"
20,미스 슬로운,2017-03-29,미국,"미국,프랑스",,(주)메인타이틀픽쳐스,15세이상관람가,"드라마,스릴러",존 매든,"제시카 차스테인,구구 바샤-로,알리슨 필,마크 스트롱,제이크 레이시,마이클 스털버그,더글라스 스미스,존 리스고우,샘 워터스톤","3,639,500","301,140,900",478,"38,306",27,35,"5,196,500","306,337,400",676,"38,982",42,56,"7,636,400","313,973,800",870,"39,852",42,56,"11,751,200","325,725,000","1,316","41,168",33,43,"9,591,600","335,316,600","1,087","42,255",34,44,"5,121,000","340,437,600",667,"42,922",43,57,"3,770,000","344,207,600",488,"43,410",38,51,"46,706,200","5,582"
21,임금님의 사건수첩,2017-04-26,한국,한국,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,"코미디,어드벤처,액션",문현성,"이선균,안재홍,김희원,주진모,장영남,경수진,정해인,조영진,박용균,박정민,박진욱,박형수,서병철,심상용,안용우,조제웅,유하나,윤기현,이상원,이승일,이승훈,이영호,이웅희,이재현,이재환,이정민,이주원,최용훈,김종훈","2,856,000","4,812,000",357,683,1,2,0,"4,812,000",0,683,0,0,0,"4,812,000",0,683,0,0,0,"4,812,000",0,683,0,0,0,"4,812,000",0,683,0,0,"30,394,000","35,206,000","4,118","4,801",8,20,"6,984,000","42,190,000",863,"5,664",5,5,"40,234,000","5,338"
22,슈퍼 버드,2017-04-06,멕시코,멕시코,,와이드 릴리즈(주),전체관람가,애니메이션,"리카르도 아나이즈,마이크 컨켈,라울 가르시아","에드워드 제임스 올모스,치치 마린,케이트 델 카스틸로","2,001,000","142,962,000",350,"19,345",53,56,"1,147,000","144,109,000",198,"19,543",20,21,"2,583,000","146,692,000",473,"20,016",26,26,"12,126,100","158,818,100","1,795","21,811",95,118,"9,952,000","168,770,100","1,472","23,283",96,117,"240,500","169,010,600",38,"23,321",12,12,"1,567,000","170,577,600",302,"23,623",21,21,"29,616,600","4,628"
23,패트리어트 데이,2017-04-06,미국,미국,,(주)이수C&E,15세이상관람가,"드라마,스릴러",피터 버그,"마크 월버그,존 굿맨,케빈 베이컨,J.K. 시몬스,미셸 모나한","8,348,500","553,383,618","1,133","69,886",132,183,"10,988,500","564,372,118","1,305","71,191",52,63,"4,354,000","568,726,118",541,"71,732",46,61,"3,807,500","572,533,618",455,"72,187",35,47,"3,651,500","576,185,118",429,"72,616",33,45,"2,115,500","578,300,618",298,"72,914",43,58,"2,136,500","580,437,118",299,"73,213",47,59,"35,402,000","4,460"
24,라라랜드,2016-12-07,미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",다미엔 차젤레,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗","3,492,000","29,172,335,633",456,"3,492,641",22,28,"2,226,500","29,174,562,133",305,"3,492,946",16,19,"3,208,500","29,177,770,633",370,"3,493,316",17,21,"4,902,500","29,182,673,133",565,"3,493,881",23,27,"5,190,100","29,187,863,233",590,"3,494,471",20,24,"3,077,500","29,190,940,733",393,"3,494,864",21,29,"3,009,000","29,193,949,733",387,"3,495,251",21,28,"25,106,100","3,066"
25,밤의 해변에서 혼자,2017-03-23,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다",청소년관람불가,드라마,홍상수,"김민희,정재영,서영화,권해효,송선미,문성근,안재홍,박예주,박홍열,신선,공민정,안선영","3,899,200","386,768,500",534,"50,268",47,65,"2,538,700","389,307,200",343,"50,611",26,37,"3,439,000","392,746,200",425,"51,036",28,39,"4,504,500","397,250,700",533,"51,569",27,34,"4,284,100","401,534,800",500,"52,069",24,31,"2,612,500","404,147,300",352,"52,421",23,35,"2,442,000","406,589,300",320,"52,741",21,33,"23,720,000","3,007"
26,랜드 오브 마인,2017-04-06,덴마크,"덴마크,독일",,"(주)싸이더스,아이 엠",15세이상관람가,"드라마,전쟁",마틴 잔드블리엣,"미켈 보엘 폴스라르,루이스 호프만,조엘 바스만","3,485,000","72,462,300",504,"9,476",57,78,"1,531,500","73,993,800",217,"9,693",37,47,"3,751,000","77,744,800",531,"10,224",37,48,"2,673,100","80,417,900",334,"10,558",28,39,"3,959,000","84,376,900",511,"11,069",31,40,"1,849,500","86,226,400",273,"11,342",31,41,"1,963,000","88,189,400",282,"11,624",35,48,"19,212,100","2,652"
27,특별시민,2017-04-26,한국,한국,(주)팔레트픽처스,(주)쇼박스,15세이상관람가,드라마,박인제,"최민식,곽도원,심은경,문소리,라미란,류혜영,이기홍,진선규,권용덕,이주연,이준범,박지연,정병욱,정병진,신동필,정성호,신중혁,정연서,이상구,이상준,이수경,이영민,이윤희,이재현,홍윤기,마동석,서이숙,정재윤,강기영",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,770,600","20,770,600","2,274","2,274",21,21,"20,770,600","2,274"
