기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2017-06-07 ~ 2017-06-13 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2017-06-07,,,,,,2017-06-08,,,,,,2017-06-09,,,,,,2017-06-10,,,,,,2017-06-11,,,,,,2017-06-12,,,,,,2017-06-13,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,미이라,2017-06-06,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,어드벤처,판타지",알렉스 커츠먼,"톰 크루즈,소피아 부텔라,애나벨 월리스,러셀 크로우,하비에르 보텟,제이크 존슨,코트니 B. 반스,딜란 스미스","1,639,926,800","9,043,442,200","214,604","1,088,274","1,126","6,496","1,286,215,600","10,329,657,800","167,531","1,255,805","1,120","6,238","1,877,265,986","12,206,923,786","222,022","1,477,827","1,170","6,612","4,169,729,015","16,376,652,801","483,476","1,961,303","1,254","7,519","3,626,338,200","20,002,991,001","422,898","2,384,201","1,251","7,316","812,419,200","20,815,410,201","106,244","2,490,445","1,086","6,146","682,481,000","21,497,891,201","89,712","2,580,157","1,094","6,106","14,094,375,801","1,706,487"
2,악녀,2017-06-08,한국,한국,(주)앞에있다,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,액션,정병길,"김옥빈,신하균,성준,김서형,조은지,이승주,정해균,박철민,손민지,민예지,김연우,주문수,임도현,박지훈,박현민,백동현,장현기,정성윤,신중혁,신진철,정태수,차미진,윤인제,윤진영,이강우,이동희,이상진,이상철,이승철,이주현,홍준선,황성호,문지현","2,608,000","34,586,000",326,"4,413",1,1,"543,427,900","578,013,900","73,305","77,718",563,"2,506","662,090,414","1,240,104,314","80,452","158,170",590,"2,595","1,256,538,235","2,496,642,549","149,219","307,389",671,"2,724","1,288,823,000","3,785,465,549","151,449","458,838",679,"2,688","472,364,500","4,257,830,049","62,732","521,570",660,"2,840","429,041,400","4,686,871,449","57,342","578,912",678,"2,857","4,654,893,449","574,825"
3,원더 우먼,2017-05-31,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",팻티 젠킨스,"갤 가돗,로빈 라이트,크리스 파인,데이빗 듈리스,코니 닐슨,엘레나 아나야","314,878,400","12,837,859,198","42,680","1,587,714",731,"2,907","234,560,300","13,072,419,498","31,667","1,619,381",598,"2,249","371,818,514","13,444,238,012","45,025","1,664,406",607,"2,267","858,554,735","14,302,792,747","103,585","1,767,991",611,"2,062","758,943,500","15,061,736,247","91,939","1,859,930",604,"2,001","192,160,600","15,253,896,847","25,772","1,885,702",548,"2,002","171,278,900","15,425,175,747","23,181","1,908,883",557,"1,982","2,902,194,949","363,849"
4,노무현입니다,2017-05-25,한국,한국,영화사 풀,"CGV아트하우스,영화사 풀",12세이상관람가,다큐멘터리,이창재,"노무현,이상호","237,138,900","11,073,208,812","33,176","1,405,549",533,"1,910","180,708,600","11,253,917,412","24,994","1,430,543",494,"1,431","227,095,600","11,481,013,012","28,285","1,458,828",513,"1,489","455,729,800","11,936,742,812","55,330","1,514,158",509,"1,440","438,584,200","12,375,327,012","53,664","1,567,822",530,"1,427","127,987,100","12,503,314,112","17,701","1,585,523",513,"1,510","119,798,900","12,623,113,012","16,682","1,602,205",518,"1,504","1,787,043,100","229,832"
5,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,코미디","요아킴 뢰닝,에스펜 샌버그","조니 뎁,카야 스코델라리오,올랜도 블룸,하비에르 바르뎀,브렌튼 스웨이츠,제프리 러쉬,데이빗 웬햄,골시프테 파라하니,스티븐 그레이엄,케빈 맥널리,폴 매카트니,마틴 클레바,로드니 아피프","193,571,000","22,222,143,422","25,871","2,712,372",508,"2,003","147,942,600","22,370,086,022","19,365","2,731,737",461,"1,509","234,391,000","22,604,477,022","28,206","2,759,943",483,"1,537","532,428,000","23,136,905,022","63,514","2,823,457",512,"1,427","485,136,600","23,622,041,622","57,959","2,881,416",506,"1,405","115,628,900","23,737,670,522","15,309","2,896,725",450,"1,379","99,904,400","23,837,574,922","13,317","2,910,042",434,"1,324","1,809,002,500","223,541"
6,대립군,2017-05-31,한국,한국,"리얼라이즈픽쳐스(주),이십세기폭스 인터내셔널 프로덕션,(주)베르디미디어,(주)블러썸픽쳐스",이십세기폭스코리아(주),15세이상관람가,"드라마,사극",정윤철,"이정재,여진구,김무열,이솜,박원상,배수빈,김명곤,박해준,이한성,박정환,박지환,박지훈,손승훈,손영진,정연수,지경현,유명환,윤성민,이가경,이경수,이경재,이상현,이승철,이승훈,이주영,박호산,김원진,김재록","122,084,000","5,661,656,002","17,446","746,802",513,"1,543","72,813,000","5,734,469,002","10,589","757,391",436,930,"76,302,300","5,810,771,302","10,115","767,506",442,931,"105,799,300","5,916,570,602","13,284","780,790",388,669,"94,842,200","6,011,412,802","11,850","792,640",364,629,"39,503,300","6,050,916,102","5,785","798,425",390,745,"36,607,500","6,087,523,602","5,550","803,975",379,706,"547,951,600","74,619"
7,겟 아웃,2017-05-17,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),미스터리,스릴러,드라마",조던 필레,"다니엘 칼루야,앨리슨 윌리암스,브래들리 휘트포드,캐서린 키너","54,123,400","16,967,531,975","7,052","2,079,924",280,642,"28,446,400","16,995,978,375","3,700","2,083,624",180,326,"39,739,700","17,035,718,075","4,780","2,088,404",180,316,"84,076,400","17,119,794,475","9,887","2,098,291",180,314,"64,500,600","17,184,295,075","7,578","2,105,869",174,306,"20,142,900","17,204,437,975","2,649","2,108,518",164,298,"17,815,500","17,222,253,475","2,334","2,110,852",167,293,"308,844,900","37,980"
8,심야식당 2,2017-06-08,일본,일본,,(주)디스테이션,12세이상관람가,드라마,마츠오카 조지,"코바야시 카오루,오다기리 죠","1,264,000","11,858,000",158,"1,556",1,1,"24,197,300","36,055,300","3,355","4,911",229,462,"35,399,600","71,454,900","4,351","9,262",235,459,"54,995,300","126,450,200","6,620","15,882",219,365,"44,313,700","170,763,900","5,352","21,234",222,360,"23,849,100","194,613,000","3,284","24,518",213,403,"20,391,500","215,004,500","2,831","27,349",216,393,"204,410,500","25,951"
9,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,야마구치 켄타로,"김현지,한신,김보영,이호산,김영은","3,502,000","626,284,100",485,"83,395",63,84,"2,432,500","628,716,600",365,"83,760",39,43,"2,185,700","630,902,300",275,"84,035",40,46,"69,682,800","700,585,100","9,000","93,035",158,254,"78,852,800","779,437,900","10,100","103,135",161,257,"1,366,000","780,803,900",187,"103,322",39,41,"1,273,000","782,076,900",179,"103,501",30,32,"159,294,800","20,591"
