기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2017-12-20 ~ 2017-12-26 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2017-12-20,,,,,,2017-12-21,,,,,,2017-12-22,,,,,,2017-12-23,,,,,,2017-12-24,,,,,,2017-12-25,,,,,,2017-12-26,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,신과함께-죄와 벌,2017-12-20,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈","2,984,150,800","3,111,183,000","406,365","422,564","1,538","6,818","2,974,413,400","6,085,596,400","401,449","824,013","1,582","6,955","4,062,412,398","10,148,008,798","497,810","1,321,823","1,653","7,458","8,037,759,271","18,185,768,069","968,372","2,290,195","1,818","8,426","10,584,623,400","28,770,391,469","1,268,537","3,558,732","1,887","8,801","10,020,464,250","38,790,855,719","1,212,822","4,771,554","1,912","8,641","3,195,369,100","41,986,224,819","430,026","5,201,580","1,662","7,816","41,859,192,619","5,185,381"
2,강철비,2017-12-14,한국,한국,"(주)와이웍스엔터테인먼트,(주)모팩앤알프레드",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,드라마",양우석,"정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희","1,055,543,000","17,829,970,766","142,017","2,253,052",988,"3,643","902,201,700","18,732,172,466","122,170","2,375,222",944,"3,477","1,195,700,446","19,927,872,912","146,049","2,521,271","1,005","3,689","2,279,807,110","22,207,680,022","273,400","2,794,671",970,"3,564","3,032,771,600","25,240,451,622","362,188","3,156,859",925,"3,399","2,715,803,400","27,956,255,022","329,396","3,486,255",901,"3,197","767,703,000","28,723,958,022","103,605","3,589,860",909,"3,388","11,949,530,256","1,478,825"
3,위대한 쇼맨,2017-12-20,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,뮤지컬",마이클 그레이시,"휴 잭맨,잭 에프런,미쉘 윌리엄스,레베카 퍼거슨,젠다야 콜맨","306,750,400","337,383,400","40,995","44,578",649,"2,736","337,364,700","674,748,100","44,826","89,404",661,"2,642","470,051,302","1,144,799,402","56,303","145,707",702,"2,578","832,596,629","1,977,396,031","98,073","243,780",658,"2,123","1,271,313,300","3,248,709,331","148,266","392,046",642,"2,072","1,310,888,800","4,559,598,131","155,795","547,841",638,"1,991","405,082,000","4,964,680,131","53,836","601,677",658,"2,206","4,934,047,131","598,094"
4,극장판 포켓몬스터 너로 정했다!,2017-12-21,일본,일본,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,가족",유야마 쿠니히코,,"141,000","10,121,000",23,"1,194",4,4,"101,868,900","111,989,900","14,583","15,777",424,561,"69,883,800","181,873,700","9,022","24,799",407,545,"569,684,600","751,558,300","76,102","100,901",610,"1,104","679,069,000","1,430,627,300","88,873","189,774",626,"1,165","766,630,200","2,197,257,500","100,877","290,651",614,"1,153","90,279,100","2,287,536,600","13,017","303,668",464,749,"2,277,556,600","302,497"
5,몬스터 패밀리,2017-12-21,독일,독일,,씨네그루(주)키다리이엔티,전체관람가,애니메이션,호거 태프,"에밀리 왓슨,닉 프로스트","585,000","34,484,000",117,"4,155",4,4,"74,273,100","108,757,100","12,201","16,356",381,488,"70,970,600","179,727,700","11,143","27,499",389,483,"381,002,100","560,729,800","50,409","77,908",564,953,"565,349,700","1,126,079,500","73,773","151,681",583,996,"708,942,900","1,835,022,400","93,375","245,056",617,"1,058","69,200,700","1,904,223,100","10,335","255,391",430,603,"1,870,324,100","251,353"
6,스타워즈: 라스트 제다이,2017-12-14,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF",라이언 존슨,"마크 해밀,캐리 피셔,아담 드라이버,데이지 리들리,존 보예가,오스카 아이삭,루피타 뇽오,앤디 서키스,도널 글리슨,안소니 다니엘,그웬돌린 크리스티,켈리 마리 트란,로라 던,베니치오 델 토로","179,067,100","6,534,732,686","20,752","746,910",523,"1,319","163,034,800","6,697,767,486","18,681","765,591",496,"1,125","236,496,156","6,934,263,642","24,765","790,356",482,"1,053","395,822,319","7,330,085,961","39,258","829,614",384,720,"456,354,800","7,786,440,761","44,653","874,267",346,622,"386,224,600","8,172,665,361","37,388","911,655",323,556,"139,721,700","8,312,387,061","14,971","926,626",398,770,"1,956,721,475","200,468"
7,뽀로로 극장판 공룡섬 대모험,2017-12-07,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"김현호,윤제완","이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현","48,746,000","4,407,807,100","7,618","583,232",316,412,"29,827,000","4,437,634,100","5,002","588,234",181,202,"34,777,000","4,472,411,100","5,215","593,449",190,218,"214,307,000","4,686,718,100","27,816","621,265",338,494,"304,385,500","4,991,103,600","38,929","660,194",379,554,"370,828,700","5,361,932,300","47,552","707,746",389,574,"82,894,800","5,444,827,100","11,994","719,740",234,312,"1,085,766,000","144,126"
8,더 크리스마스,2017-12-21,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,어드벤처",티모시 렉카트,"스티븐 연,지나 로드리게즈,재커리 레비,오프라 윈프리","315,000","4,316,000",63,598,1,1,"25,972,100","30,288,100","4,525","5,123",114,132,"26,422,100","56,710,200","4,258","9,381",121,137,"71,130,300","127,840,500","9,129","18,510",158,230,"103,353,400","231,193,900","12,958","31,468",152,229,"139,161,400","370,355,300","17,669","49,137",152,234,"18,927,100","389,282,400","3,024","52,161",118,140,"385,281,400","51,626"
9,메리와 마녀의 꽃,2017-12-07,일본,일본,,CGV아트하우스,전체관람가,"애니메이션,어드벤처",요네바야시 히로마사,"스기사키 하나,카미키 류노스케","23,663,500","3,907,300,339","3,800","513,906",171,211,"15,186,800","3,922,487,139","2,284","516,190",78,87,"11,942,000","3,934,429,139","1,821","518,011",71,82,"29,633,100","3,964,062,239","3,809","521,820",101,113,"40,919,300","4,004,981,539","5,195","527,015",97,105,"41,427,200","4,046,408,739","5,449","532,464",91,95,"7,119,500","4,053,528,239","1,135","533,599",66,75,"169,891,400","23,493"
