기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-03-02 ~ 2016-03-08 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-03-02,,,,,,2016-03-03,,,,,,2016-03-04,,,,,,2016-03-05,,,,,,2016-03-06,,,,,,2016-03-07,,,,,,2016-03-08,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,귀향,2016-02-24,한국,한국,주식회사 제이오엔터테인먼트코리아,(주)와우픽쳐스,15세이상관람가,드라마,조정래,"손숙,강하나,서미지,최리,정인기,오지혜,김시은,이채현,임성철,임혜영,박주현,박지희,박진경,장현익,정광윤,정부경,정승현,안재성,이경훈,이민영,이선희,이수현,이승현,이여원,김완기,김은나,정무지,류신","801,281,600","14,357,144,204","110,506","1,907,746",763,"3,573","702,926,000","15,060,070,204","96,453","2,004,199",750,"3,444","930,341,000","15,990,411,204","117,486","2,121,685",771,"3,612","2,041,924,732","18,032,335,936","251,892","2,373,577",861,"4,088","1,868,625,900","19,900,961,836","232,051","2,605,628",846,"3,916","527,713,400","20,428,675,236","72,612","2,678,240",757,"3,495","476,968,000","20,905,643,236","66,751","2,744,991",773,"3,491","7,349,780,632","947,751"
2,갓 오브 이집트,2016-03-03,미국,미국,,"(주)시네마서비스,(주)나이너스엔터테인먼트",12세이상관람가,"어드벤처,판타지",알렉스 프로야스,"제라드 버틀러,니콜라이 코스터 왈도,코트니 이튼,브렌튼 스웨이츠,애비 리","15,063,000","25,882,000","1,774","2,930",7,7,"455,245,100","481,127,100","56,814","59,744",485,"2,255","613,496,444","1,094,623,544","70,897","130,641",505,"2,329","1,646,415,542","2,741,039,086","192,593","323,234",608,"2,589","1,520,800,200","4,261,839,286","179,053","502,287",618,"2,591","313,645,000","4,575,484,286","39,986","542,273",543,"2,461","274,819,800","4,850,304,086","34,926","577,199",550,"2,418","4,839,485,086","576,043"
3,주토피아,2016-02-17,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,어드벤처","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라","297,576,000","11,771,230,000","39,188","1,574,413",559,"1,733","199,105,400","11,970,335,400","25,191","1,599,604",457,"1,342","282,015,900","12,252,351,300","32,621","1,632,225",463,"1,388","1,068,042,468","13,320,393,768","130,367","1,762,592",630,"2,082","1,089,023,700","14,409,417,468","133,495","1,896,087",641,"2,068","198,519,800","14,607,937,268","25,057","1,921,144",459,"1,411","207,110,300","14,815,047,568","26,264","1,947,408",463,"1,408","3,341,393,568","412,183"
4,데드풀,2016-02-17,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,SF",팀 밀러,"라이언 레놀즈,모레나 바카린,에드 스크레인,지나 카라노,T.J. 밀러,브리아나 힐데브란드","273,453,000","24,310,259,788","34,958","2,928,909",546,"2,362","202,428,400","24,512,688,188","25,458","2,954,367",415,"1,528","310,334,356","24,823,022,544","35,665","2,990,032",440,"1,589","646,495,558","25,469,518,102","73,850","3,063,882",465,"1,545","546,370,100","26,015,888,202","62,129","3,126,011",465,"1,486","172,693,700","26,188,581,902","21,849","3,147,860",424,"1,516","142,536,400","26,331,118,302","18,166","3,166,026",429,"1,462","2,294,311,514","272,075"
5,동주,2016-02-17,한국,한국,(주) 루스이소니도스,메가박스중앙(주)플러스엠,12세이상관람가,드라마,이준익,"강하늘,박정민,김인우,최홍일,김정석,최희서,신윤주,문성근,최종률,전재형,정운봉,이선주,허욱진,최정헌,윤정일","153,858,900","5,997,061,557","20,777","794,952",431,"1,495","108,813,800","6,105,875,357","14,787","809,739",360,926,"155,818,300","6,261,693,657","19,248","828,987",375,983,"394,078,232","6,655,771,889","48,322","877,309",385,"1,042","363,048,300","7,018,820,189","45,253","922,562",382,"1,010","114,382,000","7,133,202,189","15,604","938,166",382,"1,032","106,108,400","7,239,310,589","14,643","952,809",390,"1,027","1,396,107,932","178,634"
6,13시간,2016-03-03,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,드라마,스릴러",마이클 베이,"존 크랜신스키,파블로 쉬레이버,토비 스티븐스",0,"9,611,000",0,"1,125",0,0,"90,357,100","99,968,100","11,943","13,068",364,"1,162","141,704,556","241,672,656","17,242","30,310",363,"1,164","293,835,558","535,508,214","35,658","65,968",380,"1,009","252,720,100","788,228,314","30,916","96,884",380,971,"73,991,200","862,219,514","9,801","106,685",359,"1,016","66,115,600","928,335,114","8,823","115,508",357,972,"918,724,114","114,383"
7,검사외전,2016-02-03,한국,한국,"(주)영화사 월광,(주)사나이픽처스",(주)쇼박스,15세이상관람가,"범죄,코미디",이일형,"황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승민,이승우,이승준,이승훈,이승훈,최현준,김영","120,515,400","76,419,965,764","15,903","9,595,701",430,"1,198","73,711,200","76,493,676,964","10,262","9,605,963",322,644,"91,354,300","76,585,031,264","10,889","9,616,852",319,656,"214,628,800","76,799,660,064","25,219","9,642,071",318,649,"193,410,400","76,993,070,464","22,728","9,664,799",312,624,"58,999,900","77,052,070,364","7,813","9,672,612",308,634,"52,854,900","77,104,925,264","7,021","9,679,633",312,621,"805,474,900","99,835"
8,스포트라이트,2016-02-24,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,"드라마,스릴러",토마스 맥카시,"마이클 키튼,마크 러팔로,레이첼 맥아담스","89,092,100","1,253,224,687","11,726","162,007",313,775,"64,206,200","1,317,430,887","8,281","170,288",238,485,"92,716,100","1,410,146,987","10,742","181,030",253,538,"219,115,200","1,629,262,187","24,838","205,868",254,542,"181,386,600","1,810,648,787","20,883","226,751",255,521,"54,503,000","1,865,151,787","7,102","233,853",237,506,"47,190,800","1,912,342,587","6,155","240,008",239,497,"748,210,000","89,727"
9,룸,2016-03-03,아일랜드,"아일랜드,캐나다",,(주)영화사 빅,15세이상관람가,드라마,레니 에이브러햄슨,"브리 라슨,제이콥 트렘블레이","5,043,000","83,061,000",591,"9,790",2,3,"56,321,500","139,382,500","7,423","17,213",316,943,"72,060,000","211,442,500","8,759","25,972",323,969,"124,259,700","335,702,200","14,916","40,888",333,804,"100,765,500","436,467,700","12,169","53,057",317,735,"38,627,200","475,094,900","5,230","58,287",299,711,"40,272,700","515,367,600","5,449","63,736",296,720,"437,349,600","54,537"
