기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-05-18 ~ 2016-05-24 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-05-18,,,,,,2016-05-19,,,,,,2016-05-20,,,,,,2016-05-21,,,,,,2016-05-22,,,,,,2016-05-23,,,,,,2016-05-24,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,곡성,2016-05-12,한국,한국,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),15세이상관람가,"미스터리,스릴러,드라마",나홍진,"곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경,백승철","1,554,131,100","24,453,459,182","202,851","3,024,092","1,406","6,054","1,445,057,500","25,898,516,682","188,303","3,212,395","1,272","5,433","2,371,501,801","28,270,018,483","280,280","3,492,675","1,325","5,707","4,833,266,903","33,103,285,386","568,317","4,060,992","1,396","6,287","4,150,516,320","37,253,801,706","487,706","4,548,698","1,380","6,037","1,083,584,900","38,337,386,606","141,173","4,689,871","1,252","5,500","1,034,315,300","39,371,701,906","136,608","4,826,479","1,249","5,460","16,472,373,824","2,005,238"
2,앵그리버드 더 무비,2016-05-19,미국,"미국,핀란드",,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"퍼갈 레일리,클레이 케이티스",,"3,800,000","14,542,000",420,"1,517",2,2,"74,724,100","89,266,100","10,198","11,715",419,986,"106,053,423","195,319,523","13,306","25,021",421,"1,022","825,818,821","1,021,138,344","107,482","132,503",608,"1,592","986,456,200","2,007,594,544","127,610","260,113",661,"1,692","57,306,800","2,064,901,344","7,850","267,963",412,890,"53,478,600","2,118,379,944","7,525","275,488",397,834,"2,107,637,944","274,391"
3,캡틴 아메리카: 시빌 워,2016-04-27,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,SF,스릴러","안소니 루소,조 루소","크리스 에반스,로버트 다우니 주니어,스칼렛 요한슨,세바스찬 스탠,안소니 마키,돈 치들,제레미 레너,톰 홀랜드","257,718,160","70,058,310,327","32,729","8,355,440",699,"2,668","168,064,300","70,226,374,627","21,987","8,377,427",463,"1,363","276,781,100","70,503,155,727","33,048","8,410,475",479,"1,394","660,608,500","71,163,764,227","78,634","8,489,109",505,"1,437","596,414,300","71,760,178,527","71,125","8,560,234",518,"1,410","139,142,800","71,899,321,327","18,187","8,578,421",446,"1,325","132,390,500","72,031,711,827","17,380","8,595,801",443,"1,310","2,231,119,660","273,090"
4,계춘할망,2016-05-19,한국,한국,"지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스",(주)콘텐츠 난다긴다,15세이상관람가,"가족,드라마",창,"윤여정,김고은,김희원,신은정,최민호,류준열,양익준,박민지,남태부,강경탁,안지혜,이상화,이슬비,이윤혁","7,582,000","118,655,000",947,"15,115",5,5,"206,218,900","324,873,900","28,793","43,908",483,"1,813","310,113,124","634,987,024","39,794","83,702",515,"1,848","529,505,824","1,164,492,848","66,163","149,865",526,"1,649","503,450,300","1,667,943,148","62,830","212,695",524,"1,595","179,986,600","1,847,929,748","24,821","237,516",480,"1,785","206,361,900","2,054,291,648","29,011","266,527",499,"1,794","1,943,218,648","252,359"
5,싱 스트리트,2016-05-19,아일랜드,"아일랜드,영국,미국",,(주)이수C&E,15세이상관람가,"드라마,멜로/로맨스",존 카니,"퍼디아 월시-필로,루시 보인턴,잭 레이너","11,676,000","78,406,000","1,826","11,405",10,10,"178,996,800","257,402,800","23,170","34,575",465,"1,881","278,707,876","536,110,676","32,788","67,363",487,"1,904","468,159,776","1,004,270,452","54,090","121,453",494,"1,637","434,089,300","1,438,359,752","49,906","171,359",476,"1,557","169,824,900","1,608,184,652","22,093","193,452",443,"1,663","180,816,000","1,789,000,652","23,781","217,233",440,"1,656","1,722,270,652","207,654"
6,탐정 홍길동: 사라진 마을,2016-05-04,한국,한국,(주)영화사비단길,씨제이이앤엠(주),15세이상관람가,"드라마,액션",조성희,"이제훈,김성균,박근형,정성화,고아라,노정의,김하나,유승목,박정원,박지훈,오현암,유정래,윤상훈,이민아,이민지,이상희,정준용,김하나","179,383,200","10,391,872,545","24,174","1,287,089",489,"1,608","93,292,200","10,485,164,745","12,901","1,299,990",345,735,"146,457,900","10,631,622,645","18,396","1,318,386",358,769,"279,803,400","10,911,426,045","34,193","1,352,579",375,727,"254,610,100","11,166,036,145","30,856","1,383,435",372,696,"75,784,500","11,241,820,645","10,054","1,393,489",364,805,"76,295,200","11,318,115,845","10,254","1,403,743",374,797,"1,105,626,500","140,828"
7,나의 소녀시대,2016-05-12,대만,대만,,오드,15세이상관람가,"멜로/로맨스,드라마",프랭키 첸,"송운화,왕대륙","104,860,800","695,583,600","13,261","85,864",176,451,"99,778,900","795,362,500","12,595","98,459",166,413,"177,672,300","973,034,800","20,360","118,819",187,475,"278,442,000","1,251,476,800","32,132","150,951",201,500,"261,236,100","1,512,712,900","30,192","181,143",198,496,"106,297,800","1,619,010,700","13,249","194,392",197,553,"105,836,700","1,724,847,400","13,261","207,653",199,569,"1,134,124,600","135,050"
8,하드코어 헨리,2016-05-19,미국,"미국,러시아",,"㈜코리아스크린,와이드 릴리즈(주)",청소년관람불가,"액션,어드벤처,SF",일리야 나이슐러,"샬토 코플리,해일리 베넷,팀 로스",0,"19,228,000",0,"2,158",0,0,"101,933,500","121,161,500","12,773","14,931",239,530,"73,788,177","194,949,677","8,038","22,969",226,500,"78,792,579","273,742,256","8,537","31,506",235,462,"57,811,500","331,553,756","6,321","37,827",210,408,"24,822,500","356,376,256","3,100","40,927",222,464,"23,297,000","379,673,256","2,953","43,880",221,470,"360,445,256","41,722"
9,동급생,2016-05-19,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,드라마",나카무라 쇼코,"카미야 히로시,노지마 켄지,이시카와 히데오",0,0,0,0,0,0,"22,970,000","22,970,000","3,188","3,188",93,139,"15,020,500","37,990,500","1,963","5,151",95,136,"20,142,500","58,133,000","2,726","7,877",96,140,"21,699,000","79,832,000","2,944","10,821",100,140,"6,697,000","86,529,000",933,"11,754",86,125,"6,016,000","92,545,000",831,"12,585",83,121,"92,545,000","12,585"
