기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-01-06 ~ 2016-01-12 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-01-06,,,,,,2016-01-07,,,,,,2016-01-08,,,,,,2016-01-09,,,,,,2016-01-10,,,,,,2016-01-11,,,,,,2016-01-12,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,굿 다이노,2016-01-07,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,어드벤처,코미디",피터 손,,0,"10,462,000",0,"1,270",0,0,"523,650,100","534,112,100","74,492","75,762",585,"1,668","543,830,700","1,077,942,800","74,320","150,082",630,"1,753","1,511,039,900","2,588,982,700","197,495","347,577",803,"2,392","1,558,207,700","4,147,190,400","202,619","550,196",814,"2,424","336,968,600","4,484,159,000","47,179","597,375",638,"1,882","369,091,800","4,853,250,800","52,850","650,225",652,"1,899","4,842,788,800","648,955"
2,히말라야,2015-12-16,한국,한국,(주)제이케이필름,씨제이이앤엠(주),12세이상관람가,드라마,이석훈,"황정민,정우,조성하,김인권,라미란,김원해,이해영,전배수,정유미,유선,한명환,김재준,박민우,배상민,이춘우,이혜진,최종률","586,057,000","51,537,934,315","79,260","6,640,735",762,"3,428","502,194,600","52,040,128,915","68,185","6,708,920",614,"2,571","562,133,800","52,602,262,715","71,250","6,780,170",628,"2,598","1,215,516,500","53,817,779,215","151,692","6,931,862",672,"2,719","1,228,145,100","55,045,924,315","152,776","7,084,638",654,"2,634","422,644,900","55,468,569,215","57,070","7,141,708",624,"2,512","410,479,400","55,879,048,615","56,235","7,197,943",643,"2,511","4,927,171,300","636,468"
3,내부자들: 디 오리지널,2015-12-31,한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"신지수,이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,박진우,남일우,김의성,손종학,조덕제,유재명","585,938,800","8,826,970,824","75,721","1,081,288",786,"2,306","500,164,400","9,327,135,224","64,349","1,145,637",730,"2,099","648,261,322","9,975,396,546","77,646","1,223,283",755,"2,170","1,395,004,729","11,370,401,275","165,024","1,388,307",811,"2,321","1,189,763,200","12,560,164,475","141,795","1,530,102",807,"2,262","374,741,100","12,934,905,575","48,417","1,578,519",781,"2,193","342,774,700","13,277,680,275","44,627","1,623,146",792,"2,187","5,036,648,251","617,579"
4,셜록: 유령신부,2016-01-02,영국,영국,,메가박스중앙(주)플러스엠,12세이상관람가,"범죄,드라마",더글라스 맥키넌,"베네딕트 컴버배치,마틴 프리먼","463,892,500","7,001,503,700","62,132","897,327",712,"3,006","345,019,900","7,346,523,600","46,128","943,455",563,"2,296","399,974,678","7,746,498,278","49,794","993,249",575,"2,276","757,411,471","8,503,909,749","93,663","1,086,912",566,"2,083","593,285,200","9,097,194,949","74,291","1,161,203",534,"1,945","169,872,300","9,267,067,249","22,602","1,183,805",513,"1,789","158,303,400","9,425,370,649","21,212","1,205,017",498,"1,745","2,887,759,449","369,822"
5,나를 잊지 말아요,2016-01-07,한국,한국,(주)더블유 팩토리,씨제이이앤엠(주),15세이상관람가,멜로/로맨스,이윤정,"정우성,김하늘,배성우,장영남,조이진,임주은,허진,이준혁,온주완,권해효,김봉근,윤다경,임태호,박지원,이상훈,이승원,이우주,이은이,최준환","6,507,000","65,074,000",806,"7,350",4,4,"482,064,700","547,138,700","63,347","70,697",503,"2,317","454,390,900","1,001,529,600","55,628","126,325",524,"2,314","781,831,500","1,783,361,100","94,370","220,695",559,"2,354","670,432,300","2,453,793,400","81,261","301,956",529,"2,193","227,150,100","2,680,943,500","30,127","332,083",519,"2,117","209,592,500","2,890,536,000","27,801","359,884",512,"2,053","2,831,969,000","353,340"
6,포인트 브레이크,2016-01-07,미국,미국,,"(주)시네마서비스,(주)나이너스엔터테인먼트",15세이상관람가,"범죄,액션",에릭슨 코어,"루크 브레이시,에드가 라미레즈,테레사 팔머",0,"12,272,000",0,"1,534",0,0,"250,267,000","262,539,000","32,809","34,343",352,"1,137","266,341,222","528,880,222","33,138","67,481",375,"1,184","509,224,529","1,038,104,751","62,760","130,241",395,"1,110","458,957,000","1,497,061,751","57,234","187,475",407,"1,116","151,339,600","1,648,401,351","20,011","207,486",402,"1,207","138,732,900","1,787,134,251","18,408","225,894",409,"1,200","1,774,862,251","224,360"
7,몬스터 호텔 2,2015-12-24,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,젠디 타타코브스키,"아담 샌들러,셀레나 고메즈,케빈 제임스,스티브 부세미","201,621,100","10,083,854,276","29,401","1,376,297",465,"1,092","106,933,300","10,190,787,576","15,391","1,391,688",296,485,"98,801,800","10,289,589,376","13,882","1,405,570",304,493,"183,241,700","10,472,831,076","24,597","1,430,167",344,556,"176,338,200","10,649,169,276","23,282","1,453,449",339,548,"45,578,700","10,694,747,976","6,380","1,459,829",295,455,"55,164,100","10,749,912,076","7,958","1,467,787",297,454,"867,678,900","120,891"
8,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,하시모토 마사카즈,,0,"15,586,000",0,"1,771",0,0,"119,600,100","135,186,100","17,073","18,844",300,423,"96,997,500","232,183,600","13,253","32,097",315,453,"252,027,900","484,211,500","34,435","66,532",343,564,"255,057,300","739,268,800","34,451","100,983",350,565,"60,110,300","799,379,100","8,541","109,524",318,484,"60,567,000","859,946,100","8,683","118,207",321,485,"844,360,100","116,436"
9,스타워즈: 깨어난 포스,2015-12-17,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",J.J. 에이브럼스,"해리슨 포드,마크 해밀,캐리 피셔,사이먼 페그,오스카 아이삭,막스 본 시도우,도널 글리슨","156,784,100","27,535,433,631","17,420","3,176,351",444,"1,283","62,943,600","27,598,377,231","8,051","3,184,402",238,449,"80,835,300","27,679,212,531","9,680","3,194,082",233,444,"171,653,100","27,850,865,631","19,991","3,214,073",254,441,"160,014,200","28,010,879,831","18,724","3,232,797",261,441,"48,587,800","28,059,467,631","5,779","3,238,576",237,423,"51,585,200","28,111,052,831","6,265","3,244,841",231,407,"732,403,300","85,910"
