기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-10-19 ~ 2016-10-25 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-10-19,,,,,,2016-10-20,,,,,,2016-10-21,,,,,,2016-10-22,,,,,,2016-10-23,,,,,,2016-10-24,,,,,,2016-10-25,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,럭키,2016-10-13,한국,한국,(주)용필름,(주)쇼박스,15세이상관람가,코미디,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식,김기정,고준,차엽","1,538,191,800","21,876,097,048","204,977","2,685,607",965,"4,949","1,452,485,900","23,328,582,948","193,799","2,879,406",968,"4,961","2,453,406,666","25,781,989,614","297,299","3,176,705","1,077","5,503","5,109,474,059","30,891,463,673","601,815","3,778,520","1,234","6,865","4,783,895,600","35,675,359,273","562,801","4,341,321","1,231","6,705","1,147,600,900","36,822,960,173","152,423","4,493,744","1,060","5,703","1,072,401,300","37,895,361,473","144,680","4,638,424","1,188","5,055","17,557,456,225","2,157,794"
2,인페르노,2016-10-19,미국,"미국,일본,터키,헝가리",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"미스터리,스릴러",론 하워드,"톰 행크스,펠리시티 존스,벤 포스터,이르판 칸,오마 사이,시드 바벳 크누센,안나 울라루","464,795,500","506,563,500","60,052","65,083",731,"3,448","447,149,200","953,712,700","58,337","123,420",746,"3,436","673,738,534","1,627,451,234","79,265","202,685",745,"3,456","1,232,490,941","2,859,942,175","140,757","343,442",754,"3,389","1,131,744,600","3,991,686,775","129,610","473,052",727,"3,260","278,344,600","4,270,031,375","36,447","509,499",700,"3,153","209,406,300","4,479,437,675","28,335","537,834",736,"2,449","4,437,669,675","532,803"
3,미스 페레그린과 이상한 아이들의 집,2016-09-28,미국,"미국,벨기에,영국",,이십세기폭스코리아(주),12세이상관람가,"미스터리,판타지",팀 버튼,"에바 그린,사무엘 L. 잭슨,아사 버터필드,앨리슨 제니,킴 디킨스,주디 덴치,크리스 오다우드","96,841,700","20,458,897,986","13,522","2,544,470",409,"1,152","90,326,400","20,549,224,386","12,166","2,556,636",403,993,"170,085,300","20,719,309,686","21,674","2,578,310",432,"1,073","369,971,600","21,089,281,286","45,005","2,623,315",468,"1,203","357,015,500","21,446,296,786","43,262","2,666,577",461,"1,153","70,741,000","21,517,037,786","9,370","2,675,947",402,"1,038","48,453,800","21,565,491,586","6,555","2,682,502",396,829,"1,203,435,300","151,554"
4,닥터 스트레인지,2016-10-26,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",스콧 데릭슨,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포,스콧 앳킨스,마이클 스털버그,베네딕트 왕",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,759,000","7,759,000",629,629,2,2,"1,033,096,200","1,040,855,200","117,917","118,546","1,173","2,753","1,040,855,200","118,546"
5,맨 인 더 다크,2016-10-05,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,스릴러,페드 알바레즈,"제인 레비,딜런 미네트,스티븐 랭,다니엘 조바토","60,201,500","7,876,837,972","7,640","933,246",330,764,"62,740,800","7,939,578,772","7,945","941,191",296,676,"100,901,100","8,040,479,872","11,485","952,676",325,718,"162,311,300","8,202,791,172","18,287","970,963",333,713,"139,646,100","8,342,437,272","15,369","986,332",330,696,"46,148,500","8,388,585,772","5,846","992,178",308,656,"29,667,200","8,418,252,972","3,812","995,990",275,483,"601,616,500","70,384"
6,걷기왕,2016-10-20,한국,한국,㈜인디스토리,CGV아트하우스,12세이상관람가,드라마,백승화,"심은경,박주희,김새벽,허정도,윤지원,안승균,김광규,김정영,이재진,이준용,박민준,장현진,방범석,정규환,오은비,조주형,이규진,이동혁,이수아,최봉석,최효주,황수진,김신동,이주영,안재홍","24,556,600","87,416,600","3,232","10,913",366,863,"66,440,400","153,857,000","9,130","20,043",437,"1,687","82,080,534","235,937,534","10,572","30,615",446,"1,656","130,506,041","366,443,575","16,525","47,140",460,"1,270","120,495,800","486,939,375","15,066","62,206",462,"1,163","38,004,700","524,944,075","5,490","67,696",390,"1,094","32,824,800","557,768,875","4,732","72,428",402,907,"494,908,875","64,747"
7,노트북,2004-11-26,미국,미국,뉴라인 시네마,"글뫼 주식회사,씨제이엔터테인먼트","15세관람가,15세이상관람가",멜로/로맨스,닉 카사베츠,"레이첼 맥아덤즈,라이언 고슬링","42,413,500","2,797,234,500","5,563","432,025",129,564,"44,109,000","2,841,343,500","5,820","437,845",131,582,"69,501,200","2,910,844,700","7,897","445,742",137,599,"102,696,000","3,013,540,700","11,507","457,249",141,569,"114,735,000","3,128,275,700","12,768","470,017",142,551,"44,336,500","3,172,612,200","5,840","475,857",132,568,"39,134,000","3,211,746,200","5,256","481,113",148,496,"456,925,200","54,651"
8,브리짓 존스의 베이비,2016-09-28,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,멜로/로맨스",샤론 맥과이어,"르네 젤위거,콜린 퍼스,패트릭 뎀시","29,919,000","6,351,881,174","4,026","781,019",180,318,"28,756,300","6,380,637,474","3,913","784,932",132,246,"42,965,300","6,423,602,774","5,035","789,967",134,254,"63,125,300","6,486,728,074","7,060","797,027",132,241,"61,154,600","6,547,882,674","6,901","803,928",137,248,"23,088,500","6,570,971,174","3,079","807,007",134,282,"23,326,500","6,594,297,674","3,241","810,248",140,243,"272,335,500","33,255"
9,자백,2016-10-13,한국,한국,한국탐사저널리즘센터,(주)엣나인필름,15세이상관람가,다큐멘터리,최승호,최승호,"28,554,400","563,641,500","3,849","72,186",134,302,"22,490,800","586,132,300","3,106","75,292",84,203,"30,314,800","616,447,100","3,648","78,940",87,215,"49,406,500","665,853,600","5,726","84,666",77,213,"49,242,300","715,095,900","5,807","90,473",85,216,"22,648,500","737,744,400","3,057","93,530",86,228,"21,376,000","759,120,400","2,868","96,398",80,205,"224,033,300","28,061"
