기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-12-21 ~ 2016-12-27 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-12-21,,,,,,2016-12-22,,,,,,2016-12-23,,,,,,2016-12-24,,,,,,2016-12-25,,,,,,2016-12-26,,,,,,2016-12-27,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,마스터,2016-12-21,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"액션,범죄",조의석,"이병헌,강동원,김우빈,엄지원,오달수,박해수,진경,김정우,장한별,이승용,김대현","2,944,795,900","3,158,169,100","392,856","416,300","1,448","6,617","2,616,224,500","5,774,393,600","347,324","763,624","1,441","6,615","3,495,241,400","9,269,635,000","417,071","1,180,695","1,450","7,026","7,874,891,609","17,144,526,609","918,759","2,099,454","1,501","7,383","7,685,360,800","24,829,887,409","902,734","3,002,188","1,495","7,145","2,069,763,000","26,899,650,409","273,151","3,275,339","1,390","6,634","1,872,795,600","28,772,446,009","250,253","3,525,592","1,425","6,601","28,559,072,809","3,502,148"
2,씽,2016-12-21,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,뮤지컬",가스 제닝스,"매튜 매커너히,리즈 위더스푼,스칼렛 요한슨,태런 에저튼,세스 맥팔레인","220,602,700","265,932,700","30,628","36,525",555,"1,724","232,089,100","498,021,800","32,889","69,414",566,"1,745","343,544,621","841,566,421","43,413","112,827",564,"1,696","1,747,662,968","2,589,229,389","214,990","327,817",771,"2,367","1,943,887,300","4,533,116,689","239,197","567,014",795,"2,396","383,893,600","4,917,010,289","52,504","619,518",597,"1,820","441,869,700","5,358,879,989","61,927","681,445",644,"1,871","5,313,549,989","675,548"
3,판도라,2016-12-07,한국,한국,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,스릴러",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성,공정환","446,356,000","27,213,681,962","62,014","3,443,787",705,"2,346","454,805,100","27,668,487,062","62,801","3,506,588",704,"2,328","623,073,379","28,291,560,441","78,269","3,584,857",701,"2,330","1,458,537,223","29,750,097,664","177,961","3,762,818",654,"2,108","1,411,422,700","31,161,520,364","173,095","3,935,913",655,"2,030","407,037,500","31,568,557,864","55,796","3,991,709",663,"2,159","397,729,800","31,966,287,664","55,262","4,046,971",668,"2,172","5,198,961,702","665,198"
4,라라랜드,2016-12-07,미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",다미엔 차젤레,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗","394,923,600","12,766,772,278","51,360","1,509,356",490,"1,405","430,737,500","13,197,509,778","55,850","1,565,206",514,"1,420","640,158,821","13,837,668,599","74,341","1,639,547",570,"1,607","1,399,457,777","15,237,126,376","157,182","1,796,729",671,"1,863","1,305,106,800","16,542,233,176","148,148","1,944,877",681,"1,803","474,229,800","17,016,462,976","60,955","2,005,832",616,"1,846","473,557,300","17,490,020,276","61,309","2,067,141",616,"1,851","5,118,171,598","609,145"
5,"당신, 거기 있어줄래요",2016-12-14,한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",홍지영,"김윤석,변요한,채서진,김상호,안세하,박혜수,김호정,한한나,이유미,윤진영","242,740,000","6,221,235,648","33,333","784,933",640,"1,787","217,245,200","6,438,480,848","29,017","813,950",614,"1,757","278,263,100","6,716,743,948","33,454","847,404",647,"1,923","636,678,200","7,353,422,148","72,152","919,556",588,"1,811","665,678,900","8,019,101,048","75,596","995,152",574,"1,687","182,997,400","8,202,098,448","24,341","1,019,493",550,"1,597","197,659,400","8,399,757,848","26,997","1,046,490",560,"1,557","2,421,262,200","294,890"
6,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,일본,일본,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,판타지,가족",유야마 쿠니히코,,"44,000","14,202,000",6,"1,892",2,2,"61,641,700","75,843,700","8,494","10,386",303,357,"54,787,100","130,630,800","6,670","17,056",306,360,"478,824,500","609,455,300","62,479","79,535",454,773,"504,544,300","1,113,999,600","64,665","144,200",480,830,"63,012,200","1,177,011,800","8,845","153,045",343,496,"75,142,200","1,252,154,000","10,622","163,667",358,511,"1,237,996,000","161,781"
7,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-21,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,야쿠와 신노스케,"채민지,김정아,최낙윤,이현주,조현정,곽규미,김현욱,김민정","20,592,100","30,015,100","2,763","3,810",195,210,"6,842,500","36,857,600","1,018","4,828",177,184,"9,689,600","46,547,200","1,316","6,144",178,193,"133,863,500","180,410,700","17,150","23,294",282,372,"157,471,200","337,881,900","19,935","43,229",282,374,"22,424,700","360,306,600","3,194","46,423",226,256,"26,967,400","387,274,000","3,830","50,253",232,261,"377,851,000","49,206"
8,신비한 동물사전,2016-11-16,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,가족,판타지",데이빗 예이츠,"에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,젠 머레이","17,289,500","39,088,221,458","2,388","4,636,348",63,89,"13,289,300","39,101,510,758","1,748","4,638,096",41,62,"22,054,200","39,123,564,958","2,605","4,640,701",45,64,"49,823,900","39,173,388,858","5,867","4,646,568",62,88,"51,184,400","39,224,573,258","6,058","4,652,626",58,83,"18,201,100","39,242,774,358","2,421","4,655,047",52,78,"19,726,200","39,262,500,558","2,554","4,657,601",53,81,"191,568,600","23,641"
9,아기배달부 스토크,2016-12-07,미국,미국,,워너브러더스 코리아(주),전체관람가,애니메이션,"니콜라스 스톨러,더그 스윗랜드","앤디 샘버그,켈시 그래머,제니퍼 애니스턴,티 버렐","12,150,600","2,275,144,600","2,264","300,307",86,89,"9,329,100","2,284,473,700","1,732","302,039",46,51,"10,959,500","2,295,433,200","1,977","304,016",57,60,"55,568,000","2,351,001,200","7,087","311,103",135,159,"66,356,700","2,417,357,900","8,370","319,473",136,168,"5,595,500","2,422,953,400",809,"320,282",40,45,"8,956,100","2,431,909,500","1,358","321,640",44,49,"168,915,500","23,597"
