기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-10-12 ~ 2016-10-18 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-10-12,,,,,,2016-10-13,,,,,,2016-10-14,,,,,,2016-10-15,,,,,,2016-10-16,,,,,,2016-10-17,,,,,,2016-10-18,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,럭키,2016-10-13,한국,한국,(주)용필름,(주)쇼박스,15세이상관람가,코미디,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식,김기정,고준,차엽",0,"1,265,452,400",0,"146,036",0,0,"1,595,475,900","2,860,928,300","214,065","360,101",889,"4,520","2,594,401,888","5,455,330,188","315,620","675,721",956,"4,832","5,377,730,260","10,833,060,448","632,885","1,308,606","1,080","5,784","5,895,612,500","16,728,672,948","694,091","2,002,697","1,158","5,881","1,913,154,900","18,641,827,848","252,102","2,254,799",987,"5,309","1,696,077,400","20,337,905,248","225,831","2,480,630","1,034","5,362","19,072,452,848","2,334,594"
2,미스 페레그린과 이상한 아이들의 집,2016-09-28,미국,"미국,벨기에,영국",,이십세기폭스코리아(주),12세이상관람가,"미스터리,판타지",팀 버튼,"에바 그린,사무엘 L. 잭슨,아사 버터필드,앨리슨 제니,킴 디킨스,주디 덴치,크리스 오다우드","401,634,000","17,550,851,264","62,371","2,184,784",795,"3,458","259,926,000","17,810,777,264","34,616","2,219,400",597,"2,421","453,639,572","18,264,416,836","56,681","2,276,081",623,"2,556","947,852,300","19,212,269,136","113,149","2,389,230",649,"2,811","855,459,050","20,067,728,186","102,417","2,491,647",623,"2,671","149,868,100","20,217,596,286","19,801","2,511,448",544,"2,200","144,460,000","20,362,056,286","19,500","2,530,948",556,"2,154","3,212,839,022","408,535"
3,맨 인 더 다크,2016-10-05,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,스릴러,페드 알바레즈,"제인 레비,딜런 미네트,스티븐 랭,다니엘 조바토","307,042,500","5,944,336,672","45,728","708,515",544,"2,843","227,346,200","6,171,682,872","28,953","737,468",444,"1,944","332,039,100","6,503,721,972","37,872","775,340",454,"1,987","581,792,400","7,085,514,372","65,246","840,586",487,"2,077","485,536,600","7,571,050,972","53,693","894,279",477,"1,962","130,398,500","7,701,449,472","16,609","910,888",427,"1,799","115,187,000","7,816,636,472","14,718","925,606",434,"1,778","2,179,342,300","262,819"
4,브리짓 존스의 베이비,2016-09-28,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,멜로/로맨스",샤론 맥과이어,"르네 젤위거,콜린 퍼스,패트릭 뎀시","156,108,500","5,618,682,074","24,664","692,909",415,"1,348","81,234,200","5,699,916,274","10,864","703,773",289,625,"118,717,400","5,818,633,674","13,939","717,712",302,660,"206,185,500","6,024,819,174","23,280","740,992",335,718,"175,400,200","6,200,219,374","19,812","760,804",325,692,"59,253,000","6,259,472,374","7,820","768,624",302,718,"62,489,800","6,321,962,174","8,369","776,993",306,725,"859,388,600","108,748"
5,바스티유 데이,2016-10-13,미국,"미국,프랑스",,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,제임스 왓킨스,"이드리스 엘바,리처드 매든,샬롯 르 본,호세 가르시아,켈리 라일리","1,664,000","24,016,000",208,"3,002",1,1,"93,436,700","117,452,700","12,687","15,689",388,"1,524","111,343,700","228,796,400","13,790","29,479",412,"1,551","163,462,400","392,258,800","19,450","48,929",422,"1,341","176,572,200","568,831,000","21,105","70,034",421,"1,283","53,286,200","622,117,200","7,279","77,313",389,"1,244","53,812,800","675,930,000","7,287","84,600",397,"1,215","653,578,000","81,806"
6,아수라,2016-09-28,한국,한국,(주)사나이픽처스,씨제이이앤엠(주),청소년관람불가,"범죄,액션",김성수,"정우성,김현빈,황정민,주지훈,곽도원,정만식,김원해,김종수,김해곤,윤지혜,오연아,윤제문,이종성,장근영,박지환,손영진,양영일,유정호,윤성민,이가경,이광기,이상민,채성원,김남조,노남석,박갑진","140,314,000","20,176,763,162","21,994","2,543,479",623,"2,385","48,322,900","20,225,086,062","6,462","2,549,941",376,827,"55,775,100","20,280,861,162","6,736","2,556,677",370,822,"90,192,800","20,371,053,962","10,556","2,567,233",376,744,"86,605,700","20,457,659,662","9,939","2,577,172",356,680,"35,332,400","20,492,992,062","4,660","2,581,832",355,727,"30,444,100","20,523,436,162","4,385","2,586,217",343,682,"486,987,000","64,732"
7,어카운턴트,2016-10-13,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"액션,스릴러",개빈 오코너,"벤 애플렉,안나 켄드릭,J.K. 시몬스,존 번탈","1,712,000","3,418,000",214,428,1,1,"65,802,000","69,220,000","9,069","9,497",365,"1,170","83,881,628","153,101,628","10,410","19,907",365,"1,153","123,770,000","276,871,628","14,717","34,624",372,925,"117,834,600","394,706,228","14,091","48,715",375,860,"44,561,200","439,267,428","6,198","54,913",360,943,"44,989,000","484,256,428","6,216","61,129",358,914,"482,550,428","60,915"
8,설리: 허드슨강의 기적,2016-09-28,미국,미국,,워너브러더스 코리아(주),12세이상관람가,드라마,클린트 이스트우드,"톰 행크스,아론 에크하트,로라 린니","118,095,500","4,877,195,254","18,077","580,281",450,"1,190","31,341,400","4,908,536,654","4,400","584,681",214,401,"46,213,500","4,954,750,154","6,066","590,747",234,412,"67,960,200","5,022,710,354","8,173","598,920",222,376,"73,843,300","5,096,553,654","8,921","607,841",214,361,"23,080,900","5,119,634,554","3,149","610,990",198,374,"23,946,200","5,143,580,754","3,375","614,365",209,386,"384,481,000","52,161"
9,자백,2016-10-13,한국,한국,한국탐사저널리즘센터,(주)엣나인필름,15세이상관람가,다큐멘터리,최승호,최승호,"2,976,000","134,546,000",412,"19,662",2,3,"60,128,300","194,674,300","7,812","27,474",125,330,"68,658,600","263,332,900","7,879","35,353",137,353,"93,945,000","357,277,900","10,903","46,256",152,409,"103,421,200","460,699,100","11,988","58,244",149,386,"36,000,500","496,699,600","4,920","63,164",136,419,"38,387,500","535,087,100","5,173","68,337",143,418,"403,517,100","49,087"
10,죽여주는 여자,2016-10-06,한국,한국,"한국영화아카데미,주식회사 뭉클픽쳐스",CGV아트하우스,청소년관람불가,드라마,이재용,"윤여정,김한나,전무송,윤계상,박성진,윤효진,예수정","54,270,200","498,740,400","9,193","68,004",310,728,"22,819,000","521,559,400","3,228","71,232",115,211,"25,661,400","547,220,800","3,312","74,544",116,210,"37,852,800","585,073,600","4,656","79,200",117,219,"38,865,400","623,939,000","4,737","83,937",121,223,"22,742,200","646,681,200","3,226","87,163",129,262,"23,269,900","669,951,100","3,392","90,555",133,260,"225,480,900","31,744"
11,밀정,2016-09-07,한국,한국,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",워너브러더스 코리아(주),15세이상관람가,액션,김지운,"송강호,공유,한지민,츠루미 신고,엄태구,신성록,서영주,박민우,이진한,이진한,임서영,임서영,전수빈,정유안,조권수,조윤담,이동진,이상희,이수광,이승진,하민,노준표,김정우,김태준,고준,오하늬,원진아","47,953,500","61,138,947,531","7,984","7,483,039",358,843,"15,714,500","61,154,662,031","2,214","7,485,253",168,268,"20,266,000","61,174,928,031","2,597","7,487,850",166,263,"26,785,400","61,201,713,431","3,214","7,491,064",165,242,"27,666,000","61,229,379,431","3,243","7,494,307",157,235,"9,900,000","61,239,279,431","1,406","7,495,713",161,244,"9,528,600","61,248,808,031","1,353","7,497,066",165,235,"157,814,000","22,011"
12,토마스와 친구들: 용감한 기관차와 괴물소동,2016-10-13,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,롭 실베스트리,,0,"2,145,000",0,195,0,0,"7,669,500","9,814,500","1,377","1,572",150,158,"6,177,300","15,991,800",861,"2,433",153,164,"42,741,900","58,733,700","5,526","7,959",285,455,"57,068,800","115,802,500","7,282","15,241",291,454,"6,022,000","121,824,500","1,018","16,259",141,158,"5,801,200","127,625,700",952,"17,211",152,164,"125,480,700","17,016"
13,극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016-10-13,한국,한국,동우에이앤이(주),(주)박수엔터테인먼트,전체관람가,애니메이션,히시다 마사카즈,,0,"48,100,400",0,"5,627",0,0,"10,182,500","58,282,900","1,390","7,017",73,82,"7,401,900","65,684,800",892,"7,909",71,77,"50,719,300","116,404,100","6,041","13,950",155,231,"59,647,600","176,051,700","6,984","20,934",157,240,"2,852,200","178,903,900",388,"21,322",66,73,"3,566,400","182,470,300",457,"21,779",62,64,"134,369,900","16,152"
14,피터와 드래곤,2016-09-28,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"어드벤처,가족,판타지",데이빗 로워리,"브라이스 달라스 하워드,오크스 페글리,웨스 벤틀리,칼 어번,로버트 레드포드,크레이그 홀,이시아 휘틀록 주니어","3,029,000","719,815,600",534,"90,058",83,130,"1,690,000","721,505,600",262,"90,320",46,51,"5,735,000","727,240,600",728,"91,048",51,57,"33,281,500","760,522,100","4,306","95,354",100,162,"39,265,000","799,787,100","5,072","100,426",97,156,"2,261,500","802,048,600",314,"100,740",52,66,"1,341,500","803,390,100",196,"100,936",44,50,"86,603,500","11,412"
15,그물,2016-10-06,한국,한국,(주)김기덕 필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,김기덕,"류승범,이원근,김영민,최귀화,박준형,정지은,안지혜,이상현,이승현,이은우,김순모,이상진","35,315,000","390,324,300","5,794","51,588",344,781,"2,260,000","392,584,300",325,"51,913",50,65,"4,476,500","397,060,800",679,"52,592",54,66,"5,871,500","402,932,300",807,"53,399",52,67,"6,449,500","409,381,800",840,"54,239",57,75,"2,678,500","412,060,300",400,"54,639",55,69,"2,486,500","414,546,800",358,"54,997",55,71,"59,537,500","9,203"
