기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-08-10 ~ 2016-08-16 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-08-10,,,,,,2016-08-11,,,,,,2016-08-12,,,,,,2016-08-13,,,,,,2016-08-14,,,,,,2016-08-15,,,,,,2016-08-16,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,터널,2016-08-10,한국,한국,"(주)어나더썬데이,(주)비에이엔터테인먼트",(주)쇼박스,12세이상관람가,드라마,김성훈,"하정우,배두나,오달수,김종수,임한빈,정민희,송민석,윤성민,이동진,이상희,최춘범,권승구,진용욱,이한서,예수정","2,833,570,300","3,010,413,400","379,079","399,933",820,"3,900","2,705,343,520","5,715,756,920","360,239","760,172",854,"3,962","3,405,936,688","9,121,693,608","408,520","1,168,692",919,"4,268","5,653,148,919","14,774,842,527","675,023","1,843,715","1,061","4,956","6,236,394,140","21,011,236,667","738,317","2,582,032","1,095","5,117","5,688,135,600","26,699,372,267","681,454","3,263,486","1,105","5,047","2,030,681,300","28,730,053,567","269,940","3,533,426",956,"4,545","28,553,210,467","3,512,572"
2,덕혜옹주,2016-08-03,한국,한국,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"사극,드라마",허진호,"손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규,김기정,차지원","1,397,670,900","18,900,625,679","189,829","2,398,837",748,"3,174","1,348,073,900","20,248,699,579","183,554","2,582,391",784,"3,270","1,697,824,816","21,946,524,395","206,964","2,789,355",803,"3,410","2,985,522,899","24,932,047,294","356,839","3,146,194",827,"3,521","3,415,241,760","28,347,289,054","404,130","3,550,324",814,"3,515","3,363,548,420","31,710,837,474","408,342","3,958,666",849,"3,512","1,060,989,100","32,771,826,574","147,020","4,105,686",750,"3,310","15,268,871,795","1,896,678"
3,인천상륙작전,2016-07-27,한국,한국,(주)태원엔터테인먼트,씨제이이앤엠(주),12세이상관람가,"전쟁,드라마",이재한,"김정철,이정재,이범수,리암 니슨,진세연,정준호,박철민,김병옥,김선아,김영애,박성웅,추성훈,황석하,이창세,박정원,박현선,션 리차드,이유진,한비,김희진,진용욱","751,866,100","44,183,423,838","103,963","5,669,373",567,"2,217","689,709,200","44,873,133,038","94,775","5,764,148",549,"2,199","823,443,516","45,696,576,554","101,838","5,865,986",577,"2,221","1,424,011,399","47,120,587,953","171,009","6,036,995",588,"2,104","1,630,780,300","48,751,368,253","193,124","6,230,119",581,"2,079","1,560,713,900","50,312,082,153","189,850","6,419,969",586,"2,064","451,309,100","50,763,391,253","62,998","6,482,967",546,"2,018","7,331,833,515","917,557"
4,마이펫의 이중생활,2016-08-03,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,코미디,가족",크리스 리노드,"스티브 쿠건,엘리 켐퍼,레이크 벨,데이너 카비,케빈 하트","533,131,800","9,727,327,770","74,937","1,275,932",505,"1,315","541,998,000","10,269,325,770","76,362","1,352,294",533,"1,353","604,636,400","10,873,962,170","77,099","1,429,393",538,"1,392","1,157,433,500","12,031,395,670","144,481","1,573,874",607,"1,562","1,196,116,200","13,227,511,870","147,216","1,721,090",617,"1,575","1,353,804,200","14,581,316,070","170,524","1,891,614",613,"1,563","379,901,700","14,961,217,770","52,925","1,944,539",513,"1,348","5,767,021,800","743,544"
5,부산행,2016-07-20,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,스릴러",연상호,"공유,김정희,정유미,김율호,마동석,최우식,안소희,김의성,김수안,박민우,박민혁,임종훈,박종관,장문성,박혜진,손지훈,손지훈,연상호,조춘호,지동현,윤미중,이동하,이윤상,최창수,편준의,허성우,황유경,최용훈,김근영,이주실,예수정,김대현","564,702,600","83,457,759,608","75,390","10,371,044",479,"1,397","561,692,100","84,019,451,708","74,831","10,445,875",492,"1,444","685,987,100","84,705,438,808","81,460","10,527,335",523,"1,498","1,050,308,700","85,755,747,508","125,119","10,652,454",562,"1,488","1,185,062,600","86,940,810,108","139,865","10,792,319",558,"1,495","1,051,740,400","87,992,550,508","125,893","10,918,212",538,"1,482","391,477,600","88,384,028,108","52,165","10,970,377",473,"1,432","5,490,971,100","674,723"
6,국가대표 2,2016-08-10,한국,한국,케이엠컬쳐㈜,메가박스중앙(주)플러스엠,12세이상관람가,드라마,김종현,"수애,오달수,오연서,하재숙,김슬기,김예원,진지희,임진영,박진하,전송이,방추성,백상훈,서은정,조규영,안승호,조수지,조희윤,이경선,이민지,이선미,이영화","446,883,400","682,059,300","61,508","90,356",562,"2,516","388,249,800","1,070,309,100","53,531","143,887",551,"2,326","473,423,224","1,543,732,324","59,772","203,659",541,"2,169","795,600,718","2,339,333,042","99,196","302,855",533,"1,734","846,706,400","3,186,039,442","104,208","407,063",521,"1,626","827,888,200","4,013,927,642","103,809","510,872",517,"1,551","259,788,100","4,273,715,742","35,892","546,764",488,"1,649","4,038,539,842","517,916"
7,수어사이드 스쿼드,2016-08-03,미국,미국,,워너브러더스 코리아(주),15세이상관람가,액션,데이비드 에이어,"윌 스미스,자레드 레토,마고 로비,스콧 이스트우드,카라 델러비인,제이 코트니,조엘 킨나만,비올라 데이비스,제이 헤르난데즈,애덤 비치,카렌 후쿠하라,커먼,벤 애플렉","278,752,400","13,768,093,530","36,461","1,644,839",410,904,"251,031,900","14,019,125,430","32,700","1,677,539",412,893,"293,661,376","14,312,786,806","34,381","1,711,920",414,861,"346,618,182","14,659,404,988","40,244","1,752,164",354,636,"360,860,500","15,020,265,488","41,776","1,793,940",357,624,"294,883,800","15,315,149,288","34,753","1,828,693",348,627,"150,354,000","15,465,503,288","19,491","1,848,184",367,726,"1,976,162,158","239,806"
8,제이슨 본,2016-07-27,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",폴 그린그래스,"맷 데이먼,줄리아 스타일즈,토미 리 존스,뱅상 카셀,알리시아 비칸데르","115,338,300","20,037,178,343","14,948","2,466,123",180,364,"109,513,100","20,146,691,443","14,225","2,480,348",178,363,"139,386,600","20,286,078,043","16,216","2,496,564",176,348,"172,224,100","20,458,302,143","19,748","2,516,312",150,281,"199,522,420","20,657,824,563","22,958","2,539,270",163,284,"168,312,500","20,826,137,063","19,574","2,558,844",157,284,"74,189,200","20,900,326,263","9,650","2,568,494",165,341,"978,486,220","117,319"
9,명탐정 코난: 순흑의 악몽,2016-08-03,일본,일본,,씨제이이앤엠(주),12세이상관람가,"애니메이션,미스터리,어드벤처",시즈노 코분,,"77,110,400","2,926,689,800","10,902","398,209",180,235,"76,307,000","3,002,996,800","10,913","409,122",173,231,"82,263,100","3,085,259,900","10,397","419,519",177,231,"151,216,000","3,236,475,900","19,551","439,070",203,277,"157,494,000","3,393,969,900","20,140","459,210",207,287,"186,859,000","3,580,828,900","24,217","483,427",203,280,"56,223,200","3,637,052,100","7,845","491,272",175,235,"787,472,700","103,965"
