기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-07-06 ~ 2016-07-12 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-07-06,,,,,,2016-07-07,,,,,,2016-07-08,,,,,,2016-07-09,,,,,,2016-07-10,,,,,,2016-07-11,,,,,,2016-07-12,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,봉이 김선달,2016-07-06,한국,한국,"(주)엠픽처스,(주)에스엔케이픽처스",씨제이이앤엠(주),12세이상관람가,사극,박대민,"유승호,조재현,고창석,라미란,시우민,연우진,전석호,서예지,주영호,박예슬,박상현,박진성,유일한,이선희","1,023,319,200","1,127,542,200","136,701","149,094",747,"3,393","890,382,380","2,017,924,580","120,196","269,290",760,"3,403","1,272,010,279","3,289,934,859","155,593","424,883",816,"3,587","2,667,855,883","5,957,790,742","321,539","746,422",928,"3,813","2,504,123,200","8,461,913,942","302,093","1,048,515",942,"3,746","737,575,500","9,199,489,442","98,696","1,147,211",800,"3,701","727,123,800","9,926,613,242","99,986","1,247,197",859,"3,493","9,822,390,242","1,234,804"
2,도리를 찾아서,2016-07-06,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,어드벤처,코미디",앤드류 스탠튼,"엘렌 드제너스,알버트 브룩스,다이안 키튼","617,720,600","641,605,600","76,938","79,592",728,"3,446","654,424,400","1,296,030,000","83,316","162,908",753,"3,448","929,034,121","2,225,064,121","107,468","270,376",810,"3,607","3,134,468,377","5,359,532,498","375,803","646,179","1,063","4,590","3,072,768,800","8,432,301,298","368,823","1,015,002","1,091","4,572","486,432,400","8,918,733,698","61,643","1,076,645",748,"3,409","456,514,900","9,375,248,598","60,030","1,136,675",804,"3,054","9,351,363,598","1,134,021"
3,굿바이 싱글,2016-06-29,한국,한국,"호두앤유 엔터테인먼트(주),(주)영화사람",(주)쇼박스,15세이상관람가,"코미디,드라마",김태곤,"김혜수,마동석,김현수,김용건,서현진,곽시양,전석호,이미도,이성민,황미영,이형미,박지영,정준화,유성진,윤환,이수경,최문석,홍민희,김근영,안재홍,황승언,김고은,목규리","695,455,000","9,865,498,015","91,414","1,242,417",651,"2,758","612,381,960","10,477,879,975","81,060","1,323,477",649,"2,727","822,637,300","11,300,517,275","97,512","1,420,989",703,"2,849","1,389,770,100","12,690,287,375","162,131","1,583,120",771,"2,857","1,288,093,900","13,978,381,275","149,563","1,732,683",743,"2,717","425,382,500","14,403,763,775","56,228","1,788,911",662,"2,829","393,206,000","14,796,969,775","52,860","1,841,771",672,"2,548","5,626,926,760","690,768"
4,나우 유 씨 미 2,2016-07-13,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"범죄,액션",존 추,"제시 아이젠버그,마크 러팔로,우디 해럴슨,데이브 프랑코,다니엘 래드클리프,리지 캐플란,주걸륜,마이클 케인,모건 프리먼",0,"7,592,000",0,949,0,0,"268,000","7,860,000",34,983,1,1,"22,263,000","30,123,000","2,231","3,214",12,12,"806,479,200","836,602,200","92,948","96,162",412,885,"886,229,100","1,722,831,300","101,807","197,969",407,880,"5,031,000","1,727,862,300",559,"198,528",3,3,"824,802,200","2,552,664,500","104,597","303,125",653,"1,648","2,545,072,500","302,176"
5,레전드 오브 타잔,2016-06-29,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처",데이빗 예이츠,"알렉산더 스카스가드,마고 로비,크리스토프 왈츠,사무엘 L. 잭슨,디몬 하운수,존 허트,짐 브로드벤트","194,060,700","5,661,108,717","25,328","672,498",427,"1,457","162,796,100","5,823,904,817","21,042","693,540",435,"1,307","236,017,500","6,059,922,317","27,798","721,338",458,"1,333","420,724,000","6,480,646,317","48,708","770,046",481,"1,033","370,920,100","6,851,566,417","43,293","813,339",464,994,"110,809,900","6,962,376,317","14,284","827,623",408,"1,192","81,366,700","7,043,743,017","10,820","838,443",415,980,"1,576,695,000","191,273"
6,컨저링 2,2016-06-09,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),제임스 완,"베라 파미가,패트릭 윌슨,프란카 포텐테,프란시스 오코너,스털링 제린스","71,360,500","15,155,846,029","9,160","1,855,828",192,346,"54,124,200","15,209,970,229","6,965","1,862,793",168,293,"85,599,500","15,295,569,729","10,059","1,872,852",176,316,"130,783,100","15,426,352,829","15,286","1,888,138",175,283,"106,822,600","15,533,175,429","12,363","1,900,501",176,282,"44,329,700","15,577,505,129","5,623","1,906,124",178,328,"43,639,500","15,621,144,629","5,721","1,911,845",177,292,"536,659,100","65,177"
7,인디펜던스 데이 : 리써전스,2016-06-22,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,SF",롤랜드 에머리히,"빌 풀만,리암 헴스워스,제프 골드블럼,비비카 A. 폭스,제시 어셔","65,402,600","12,333,735,940","8,724","1,446,215",286,611,"61,916,400","12,395,652,340","8,272","1,454,487",265,521,"82,319,500","12,477,971,840","9,989","1,464,476",262,498,"111,268,300","12,589,240,140","13,161","1,477,637",229,361,"90,009,800","12,679,249,940","10,855","1,488,492",224,342,"35,162,700","12,714,412,640","4,667","1,493,159",244,467,"28,369,100","12,742,781,740","3,841","1,497,000",233,394,"474,448,400","59,509"
8,사냥,2016-06-29,한국,한국,(주)빅스톤픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,이우철,"안성기,조진웅,한예리,권율,손현주,박병은,예수정,차순배","80,368,200","4,618,817,715","10,613","609,141",383,"1,042","46,688,100","4,665,505,815","6,284","615,425",344,868,"56,641,500","4,722,147,315","6,847","622,272",348,833,"67,428,400","4,789,575,715","8,049","630,321",317,591,"57,560,000","4,847,135,715","6,760","637,081",310,550,"29,351,300","4,876,487,015","3,909","640,990",292,657,"24,715,000","4,901,202,015","3,377","644,367",298,545,"362,752,500","45,839"
9,500일의 썸머,2010-01-21,미국,미국,스네이크 프리뷰,"(주)팝엔터테인먼트,이십세기폭스코리아(주)",15세이상관람가,"드라마,멜로/로맨스",마크 웹,"조셉 고든 레빗,주이 데샤넬,제프리 아렌드,클로이 모레츠","46,544,500","1,743,111,700","5,831","223,780",125,285,"46,468,800","1,789,580,500","5,781","229,561",126,270,"59,711,800","1,849,292,300","6,634","236,195",127,274,"80,111,000","1,929,403,300","8,808","245,003",121,237,"69,900,400","1,999,303,700","7,717","252,720",118,225,"36,171,900","2,035,475,600","4,498","257,218",124,266,"33,531,700","2,069,007,300","4,296","261,514",125,250,"372,440,100","43,565"
