기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-08-24 ~ 2016-08-30 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-08-24,,,,,,2016-08-25,,,,,,2016-08-26,,,,,,2016-08-27,,,,,,2016-08-28,,,,,,2016-08-29,,,,,,2016-08-30,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
10,올레,2016-08-25,한국,한국,(주)어바웃필름,"(주)대명문화공장,(주)리틀빅픽쳐스",15세이상관람가,"드라마,코미디",채두병,"신하균,박희순,오만석,유다인,이형섭,변준석,양희선,장성범","2,500,000","21,044,000",500,"2,822",4,6,"90,324,800","111,368,800","12,249","15,071",338,899,"87,244,200","198,613,000","10,609","25,680",330,853,"110,642,900","309,255,900","13,195","38,875",336,691,"95,968,500","405,224,400","11,483","50,358",337,653,"36,081,700","441,306,100","4,975","55,333",309,668,"40,979,700","482,285,800","5,778","61,111",312,660,"463,741,800","58,789"
11,최악의 하루,2016-08-25,한국,한국,㈜인디스토리,CGV아트하우스,15세이상관람가,멜로/로맨스,김종관,"한예리,이와세 료,권율,이희준,이승연,강 숙",0,"24,163,600",0,"2,649",0,0,"47,486,400","71,650,000","6,309","8,958",196,500,"48,390,800","120,040,800","5,749","14,707",199,484,"67,901,200","187,942,000","7,814","22,521",189,411,"64,400,200","252,342,200","7,443","29,964",187,395,"33,140,900","285,483,100","4,399","34,363",184,456,"34,038,000","319,521,100","4,527","38,890",193,459,"295,357,500","36,241"
12,국가대표 2,2016-08-10,한국,한국,케이엠컬쳐㈜,메가박스중앙(주)플러스엠,12세이상관람가,드라마,김종현,"수애,오달수,오연서,하재숙,김슬기,김예원,진지희,임진영,박진하,전송이,방추성,백상훈,서은정,조규영,안승호,조수지,조희윤,이경선,이민지,이선미,이영화","46,819,900","5,220,395,142","6,624","672,629",214,428,"27,924,100","5,248,319,242","4,155","676,784",138,275,"29,502,200","5,277,821,442","4,095","680,879",123,251,"52,771,200","5,330,592,642","7,173","688,052",123,234,"46,472,800","5,377,065,442","6,236","694,288",115,224,"14,993,500","5,392,058,942","2,269","696,557",113,223,"17,027,000","5,409,085,942","2,594","699,151",126,228,"235,510,700","33,146"
13,범죄의 여왕,2016-08-25,한국,한국,광화문시네마,"(주)콘텐츠판다,TCO(주)더콘텐츠온",15세이상관람가,"스릴러,코미디","이요섭,김태곤","박지영,조복래,김대현,허정도,이학수,부은주,손영신,전고운,우문기,우문기,우상기,이윤호,진동훈,최고야,홍윤희,김태곤,이솜,안재홍,황승언","83,000","26,238,000",14,"3,273",1,1,"38,322,500","64,560,500","5,290","8,563",266,637,"51,083,000","115,643,500","6,218","14,781",270,630,"60,673,900","176,317,400","7,306","22,087",255,461,"57,152,700","233,470,100","6,805","28,892",244,439,"24,919,500","258,389,600","3,439","32,331",237,470,"23,590,000","281,979,600","3,355","35,686",240,468,"255,824,600","32,427"
14,죽은 시인의 사회,1990-05-19,미국,미국,터치스톤 픽처스,"(주)드림팩트엔터테인먼트,브에나비스타픽쳐스","12세이상관람가,연소자관람가",드라마,피터 위어,"로빈 윌리엄스,로버트 숀 레오나드,에단 호크","19,468,100","269,957,500","2,574","35,017",80,114,"13,459,000","283,416,500","1,771","36,788",73,95,"16,278,600","299,695,100","2,007","38,795",69,91,"26,261,900","325,957,000","3,073","41,868",71,89,"24,501,500","350,458,500","2,860","44,728",70,90,"9,084,600","359,543,100","1,195","45,923",68,89,"10,383,600","369,926,700","1,375","47,298",71,95,"119,437,300","14,855"
15,트루스,2016-08-24,미국,미국,,(주)라이크 콘텐츠,15세이상관람가,드라마,제임스 밴더빌트,"케이트 블란쳇,로버트 레드포드,토퍼 그레이스,엘리자베스 모스,데니스 퀘이드,브루스 그린우드,존 벤자민 히키","17,116,000","23,666,500","2,296","3,116",123,288,"16,780,500","40,447,000","2,260","5,376",119,264,"15,387,000","55,834,000","1,828","7,204",120,249,"22,165,500","77,999,500","2,637","9,841",114,230,"20,020,500","98,020,000","2,335","12,176",122,226,"9,431,000","107,451,000","1,294","13,470",111,220,"9,297,000","116,748,000","1,277","14,747",115,216,"110,197,500","13,927"
16,마이 리틀 자이언트,2016-08-10,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"어드벤처,가족,판타지",스티븐 스필버그,"마크 라이런스,레베카 홀,빌 헤이더,제메인 클레멘트,매트 프류어,라프 스팰,아담 가들리,헤이그 수더랜드,마이클 아담스웨이트","12,342,800","851,375,900","1,702","108,288",84,104,"8,424,300","859,800,200","1,164","109,452",70,94,"8,665,600","868,465,800","1,077","110,529",67,91,"33,692,100","902,157,900","4,031","114,560",80,106,"34,353,300","936,511,200","4,072","118,632",74,99,"3,973,100","940,484,300",535,"119,167",54,66,"4,155,400","944,639,700",602,"119,769",55,68,"105,606,600","13,183"
17,굿 윌 헌팅,1998-03-21,미국,미국,미라맥스 필름즈,(주)영화사오원,"15세 미만인 자는 관람할 수 없는 등급 ,15세이상관람가",드라마,구스 반 산트,"맷 데이먼,로빈 윌리엄스","16,089,900","227,749,800","2,086","28,577",68,99,"11,805,900","239,555,700","1,570","30,147",64,84,"14,004,500","253,560,200","1,659","31,806",61,79,"21,857,000","275,417,200","2,548","34,354",61,78,"21,732,900","297,150,100","2,519","36,873",61,78,"9,913,000","307,063,100","1,331","38,204",64,84,"9,530,500","316,593,600","1,253","39,457",62,82,"104,933,700","12,966"
18,서울역,2016-08-17,한국,한국,"주식회사 다다쇼,(주)화인컷",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,애니메이션,연상호,"류승룡,심은경,이준,연상호,연상호,연상호,연상호,오윤석,이건우,이동하,이상희,이상희,최길수","22,740,400","1,089,792,200","3,013","137,930",177,389,"7,919,500","1,097,711,700","1,040","138,970",68,130,"9,715,962","1,107,427,662","1,163","140,133",72,128,"19,642,000","1,127,069,662","2,348","142,481",71,128,"17,325,500","1,144,395,162","2,080","144,561",67,120,"3,763,500","1,148,158,662",504,"145,065",59,86,"3,399,000","1,151,557,662",469,"145,534",58,87,"84,505,862","10,617"
19,킹 오브 프리즘,2016-08-11,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다 마사카즈,,"5,949,000","76,211,500",722,"9,348",12,13,"11,657,000","87,868,500","1,413","10,761",11,13,"11,278,000","99,146,500","1,213","11,974",10,14,"25,205,000","124,351,500","2,768","14,742",13,23,"17,308,000","141,659,500","1,923","16,665",10,18,"10,525,000","152,184,500","1,280","17,945",10,17,"8,962,000","161,146,500","1,087","19,032",10,18,"90,884,000","10,406"
