기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-02-03 ~ 2016-02-09 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-02-03,,,,,,2016-02-04,,,,,,2016-02-05,,,,,,2016-02-06,,,,,,2016-02-07,,,,,,2016-02-08,,,,,,2016-02-09,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,검사외전,2016-02-03,한국,한국,"(주)영화사 월광,(주)사나이픽처스",(주)쇼박스,15세이상관람가,"범죄,코미디",이일형,"황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승민,이승우,이승준,이승훈,이승훈,최현준,김영","3,954,268,800","4,060,796,800","526,680","539,688","1,268","6,782","3,496,097,100","7,556,893,900","466,676","1,006,364","1,418","7,359","4,894,823,408","12,451,717,308","610,145","1,616,509","1,459","7,809","7,653,425,043","20,105,142,351","944,998","2,561,507","1,637","8,632","6,389,238,700","26,494,381,051","775,005","3,336,512","1,707","8,804","7,954,107,900","34,448,488,951","952,387","4,288,899","1,779","9,253","9,611,023,600","44,059,512,551","1,180,484","5,469,383","1,812","9,451","43,952,984,551","5,456,375"
2,쿵푸팬더3,2016-01-28,미국,미국,드림웍스 애니메이션,씨제이이앤엠(주),전체관람가,"애니메이션,액션,어드벤처","여인영,알레산드로 칼로니","잭 블랙,안젤리나 졸리,더스틴 호프만,성룡,세스 로건,루시 리우,데이빗 크로스,J.K. 시몬스","480,880,300","14,642,778,220","63,791","1,863,589",886,"4,282","466,487,400","15,109,265,620","61,941","1,925,530",853,"4,005","765,300,492","15,874,566,112","94,504","2,020,034",836,"4,117","2,061,457,657","17,936,023,769","257,454","2,277,488",958,"4,424","1,631,765,600","19,567,789,369","200,185","2,477,673",952,"4,234","1,636,317,300","21,204,106,669","196,421","2,674,094",909,"3,870","2,526,158,500","23,730,265,169","312,671","2,986,765",941,"3,963","9,568,367,249","1,186,967"
3,앨빈과 슈퍼밴드: 악동 어드벤처,2016-02-04,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처,코미디",월트 벡커,"저스틴 롱,제이슨 리,매튜 그레이 구블러,제시 맥카트니","24,000","24,760,000",4,"2,854",1,1,"58,011,900","82,771,900","8,575","11,429",350,679,"69,341,000","152,112,900","9,771","21,200",350,681,"264,835,000","416,947,900","36,443","57,643",380,840,"180,885,800","597,833,700","24,435","82,078",376,797,"164,270,900","762,104,600","21,498","103,576",364,739,"327,699,700","1,089,804,300","44,269","147,845",379,800,"1,065,068,300","144,995"
4,캐롤,2016-02-04,미국,"미국,영국",,CGV아트하우스,청소년관람불가,드라마,토드 헤인즈,"케이트 블란쳇,루니 마라,카일 챈들러,제이크 레이시,사라 폴슨","2,296,000","39,873,000",256,"4,342",1,1,"100,429,300","140,302,300","13,134","17,476",153,391,"128,184,600","268,486,900","15,242","32,718",172,440,"156,204,500","424,691,400","18,179","50,897",217,490,"134,563,000","559,254,400","15,506","66,403",221,507,"133,413,400","692,667,800","15,345","81,748",213,495,"192,979,100","885,646,900","22,463","104,211",221,498,"848,069,900","100,125"
5,"로봇, 소리",2016-01-27,한국,한국,"(주)영화사 좋은날,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,이호재,"이성민,이희준,이하늬,김원해,채수빈,심은경,곽시양,이영진,이무생,남연우,전국환,류준열,박영수,이현석,박정민,박지훈,안광복,유민상,이상우,이승준,노소영,차순배","43,569,400","2,500,527,845","7,058","342,118",316,784,"45,623,400","2,546,151,245","7,318","349,436",277,704,"57,427,864","2,603,579,109","8,555","357,991",295,762,"77,435,811","2,681,014,920","10,000","367,991",268,699,"79,228,300","2,760,243,220","9,919","377,910",250,664,"148,457,500","2,908,700,720","18,553","396,463",263,674,"205,540,800","3,114,241,520","26,127","422,590",261,668,"657,283,075","87,530"
6,오빠생각,2016-01-21,한국,한국,(주)조이래빗,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,전쟁",이한,"김현빈,임시완,고아성,이희준,이준혁,정준원,이레,김영재,임윤경,정대웅,정병두,정세훈,이건하,이성욱,이승빈,이승준,이연화,홍동영,홍솔,강현구,정준용,탕준상,김대현","39,171,600","7,171,122,066","5,495","952,918",369,791,"38,871,400","7,209,993,466","5,893","958,811",343,625,"42,847,828","7,252,841,294","5,600","964,411",336,642,"72,168,146","7,325,009,440","9,231","973,642",317,531,"80,360,400","7,405,369,840","10,062","983,704",317,517,"137,937,900","7,543,307,740","17,121","1,000,825",324,520,"164,018,700","7,707,326,440","21,077","1,021,902",329,525,"575,375,974","74,479"
7,최강전사 미니특공대: 영웅의 탄생,2016-02-04,한국,한국,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,이영준,"엄상현,양정화,전태열","21,000","18,293,000",4,"2,288",3,3,"21,184,500","39,477,500","2,955","5,243",262,359,"24,616,900","64,094,400","3,308","8,551",280,387,"136,495,700","200,590,100","18,216","26,767",348,515,"82,655,400","283,245,500","10,850","37,617",343,498,"49,798,700","333,044,200","6,410","44,027",285,408,"137,975,000","471,019,200","18,090","62,117",349,489,"452,747,200","59,833"
8,레버넌트: 죽음에서 돌아온 자,2016-01-14,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"어드벤처,드라마",알레한드로 곤잘레스 이냐리투,"레오나르도 디카프리오,톰 하디","43,103,800","15,388,963,530","5,720","1,919,960",327,675,"29,801,000","15,418,764,530","3,924","1,923,884",229,401,"50,856,800","15,469,621,330","6,106","1,929,990",235,421,"75,743,500","15,545,364,830","8,906","1,938,896",214,325,"68,611,900","15,613,976,730","8,085","1,946,981",211,304,"98,453,500","15,712,430,230","11,624","1,958,605",201,289,"107,525,100","15,819,955,330","12,987","1,971,592",196,286,"474,095,600","57,352"
9,빅쇼트,2016-01-21,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,드라마,아담 맥케이,"크리스찬 베일,스티브 카렐,라이언 고슬링,브래드 피트","34,458,800","3,059,353,807","4,424","379,951",184,363,"23,930,600","3,083,284,407","3,040","382,991",111,208,"40,380,300","3,123,664,707","4,678","387,669",113,216,"59,107,500","3,182,772,207","6,798","394,467",102,174,"45,706,100","3,228,478,307","5,272","399,739",104,173,"52,712,000","3,281,190,307","6,034","405,773",93,158,"62,196,900","3,343,387,207","7,246","413,019",100,162,"318,492,200","37,492"
