기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-03-30 ~ 2016-04-05 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-03-30,,,,,,2016-03-31,,,,,,2016-04-01,,,,,,2016-04-02,,,,,,2016-04-03,,,,,,2016-04-04,,,,,,2016-04-05,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지",잭 스나이더,"헨리 카빌,벤 애플렉,에이미 아담스,로렌스 피쉬번,제시 아이젠버그,제레미 아이언스,홀리 헌터,갤 가돗","465,421,800","13,432,544,537","74,021","1,599,862","1,219","4,978","368,346,800","13,800,891,337","47,078","1,646,940","1,131","4,827","526,298,117","14,327,189,454","62,556","1,709,496","1,160","4,896","1,261,404,117","15,588,593,571","147,448","1,856,944","1,135","4,994","1,133,757,300","16,722,350,871","134,463","1,991,407","1,110","4,786","213,347,900","16,935,698,771","27,342","2,018,749","1,027","4,067","172,874,100","17,108,572,871","21,937","2,040,686",998,"3,853","4,141,450,134","514,845"
2,주토피아,2016-02-17,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,어드벤처","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라","263,984,300","25,472,978,982","45,498","3,277,459",457,"1,465","224,477,000","25,697,455,982","29,308","3,306,767",430,"1,542","374,619,461","26,072,075,443","45,039","3,351,806",485,"1,663","997,343,267","27,069,418,710","119,384","3,471,190",689,"2,639","1,068,591,500","28,138,010,210","127,939","3,599,129",698,"2,637","194,175,400","28,332,185,610","24,795","3,623,924",502,"1,986","175,902,500","28,508,088,110","22,334","3,646,258",511,"1,994","3,299,093,428","414,297"
3,대배우,2016-03-30,한국,한국,주식회사 영화사다,"(주)대명문화공장,(주)리틀빅픽쳐스",12세이상관람가,코미디,석민우,"오달수,윤제문,이경영,진경,강신일,유지태,김명민,김새론,이준익,최병모,최희진,권용덕,박지환,임태훈,임호,정성호,신동필,이영미,한대룡,김문학,김윤주,박호산,고준","158,499,600","190,464,600","26,847","30,904",466,"1,993","140,267,000","330,731,600","19,465","50,369",462,"2,092","144,804,361","475,535,961","18,851","69,220",469,"1,992","227,082,967","702,618,928","28,327","97,547",474,"2,082","253,900,300","956,519,228","31,146","128,693",472,"1,961","71,411,800","1,027,931,028","10,064","138,757",422,"1,663","68,776,300","1,096,707,328","9,999","148,756",433,"1,614","1,064,742,328","144,699"
4,미스컨덕트,2016-03-30,미국,미국,,"(주)박수엔터테인먼트,㈜코리아스크린",15세이상관람가,"범죄,스릴러",시모사와 신타로,"알 파치노,안소니 홉킨스,조쉬 더하멜,이병헌","143,579,900","147,065,900","23,224","23,633",395,"1,082","125,430,900","272,496,800","17,664","41,297",407,"1,215","126,182,722","398,679,522","15,632","56,929",438,"1,252","230,298,116","628,977,638","27,694","84,623",470,"1,543","234,493,800","863,471,438","27,799","112,422",466,"1,471","68,333,000","931,804,438","9,155","121,577",416,"1,333","56,908,800","988,713,238","7,702","129,279",411,"1,256","985,227,238","128,870"
5,글로리데이,2016-03-24,한국,한국,(주)보리픽쳐스,(주)엣나인필름,15세이상관람가,드라마,최정열,"지수,김준면,류준열,김희찬,김동완,김종수,문희경,유하복,이주실,이춘우,장시원,박성인,정다연,배연수,정지상,안병래,여기한,조제웅,유승완,윤기현,윤민영,이상희,이성훈,최승민,한보람,김용","45,159,500","1,077,397,468","7,728","138,126",318,587,"26,186,100","1,103,583,568","3,534","141,660",251,501,"40,251,100","1,143,834,668","5,271","146,931",258,517,"110,322,800","1,254,157,468","13,206","160,137",292,551,"106,211,900","1,360,369,368","12,668","172,805",287,533,"18,240,100","1,378,609,468","2,431","175,236",251,469,"17,079,500","1,395,688,968","2,265","177,501",251,454,"363,451,000","47,103"
6,포레스트: 죽음의 숲,2016-03-30,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,공포(호러),제이슨 자다,"나탈리 도메르,테일러 키니,이오인 맥큰","34,463,100","35,886,100","5,536","5,786",282,537,"32,940,400","68,826,500","4,321","10,107",287,552,"52,814,578","121,641,078","6,583","16,690",312,579,"102,205,684","223,846,762","12,677","29,367",293,593,"87,274,100","311,120,862","10,769","40,136",296,567,"25,510,000","336,630,862","3,299","43,435",254,498,"17,851,100","354,481,962","2,328","45,763",248,463,"353,058,962","45,513"
7,부활,2016-03-17,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,케빈 레이놀즈,"조셉 파인즈,톰 펠튼","26,950,000","759,438,600","4,475","108,041",99,238,"31,595,000","791,033,600","4,794","112,835",100,243,"34,945,700","825,979,300","4,829","117,664",101,258,"61,860,500","887,839,800","8,463","126,127",112,314,"64,005,500","951,845,300","8,718","134,845",109,303,"21,230,000","973,075,300","3,068","137,913",108,280,"19,046,000","992,121,300","2,757","140,670",102,266,"259,632,700","37,104"
8,나의 그리스식 웨딩 2,2016-03-30,미국,미국,,(주)이수C&E,15세이상관람가,코미디,커크 존스,"니아 발다로스,존 코베트,엘레나 캠푸리스","34,145,900","48,424,900","5,692","7,632",323,738,"34,315,000","82,739,900","4,749","12,381",327,808,"36,167,300","118,907,200","4,595","16,976",313,757,"52,507,600","171,414,800","6,329","23,305",309,623,"55,042,500","226,457,300","6,617","29,922",305,580,"18,737,200","245,194,500","2,589","32,511",280,583,"19,362,200","264,556,700","2,626","35,137",286,597,"250,277,700","33,197"
9,마음이 외치고 싶어해,2016-03-30,일본,일본,,스튜디오 프로그레시브 인큐베이터,12세이상관람가,애니메이션,나가이 타츠유키,미나세 이노리,"28,552,400","74,964,100","4,949","10,265",115,325,"21,726,500","96,690,600","2,859","13,124",112,332,"28,493,400","125,184,000","3,312","16,436",117,314,"69,915,200","195,099,200","8,172","24,608",120,326,"69,456,800","264,556,000","8,027","32,635",122,311,"15,597,400","280,153,400","1,994","34,629",112,307,"13,425,200","293,578,600","1,708","36,337",113,296,"247,166,900","31,021"
