기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-04-20 ~ 2016-04-26 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-04-20,,,,,,2016-04-21,,,,,,2016-04-22,,,,,,2016-04-23,,,,,,2016-04-24,,,,,,2016-04-25,,,,,,2016-04-26,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,시간이탈자,2016-04-13,한국,한국,"씨제이이앤엠(주),상상필름(주)",씨제이이앤엠(주),15세이상관람가,스릴러,곽재용,"임수정,조정석,이진욱,정진영,이기우,온주완,전신환,이민호,김보라,임예진,정웅인,박준규,남태부,차은재,박지원,박소영,백준혁,조민영,신지수,이동희,이성준,이영민,김수영,이봄","289,813,500","5,420,336,035","38,723","663,977",627,"2,905","304,661,800","5,724,997,835","41,070","705,047",577,"2,718","432,108,661","6,157,106,496","52,957","758,004",603,"2,850","846,583,364","7,003,689,860","100,883","858,887",663,"3,222","721,944,900","7,725,634,760","85,570","944,457",651,"3,145","216,444,100","7,942,078,860","28,297","972,754",575,"2,763","225,850,900","8,167,929,760","29,701","1,002,455",591,"2,784","3,037,407,225","377,201"
2,위대한 소원,2016-04-21,한국,한국,주식회사 브레인샤워,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",남대중,"류덕환,김동영,안재홍,전노민,전미선,장원식,양정인,조우진,우지원,유정래,윤도영,이상민,이소정,이소정,이원희,한기업,한민석,황슬빛나,황용","133,837,800","203,865,800","17,032","25,610",445,"1,384","246,363,000","450,228,800","32,598","58,208",521,"2,767","288,503,967","738,732,767","35,538","93,746",524,"2,798","486,871,781","1,225,604,548","58,643","152,389",524,"2,833","421,088,600","1,646,693,148","50,584","202,973",511,"2,691","140,671,100","1,787,364,248","18,454","221,427",472,"2,396","141,094,600","1,928,458,848","18,518","239,945",478,"2,404","1,858,430,848","231,367"
3,주토피아,2016-02-17,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,어드벤처","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라","87,049,200","33,564,265,467","11,513","4,265,679",396,"1,192","89,494,600","33,653,760,067","11,491","4,277,170",357,"1,081","154,562,139","33,808,322,206","18,215","4,295,385",372,"1,146","558,248,236","34,366,570,442","67,249","4,362,634",545,"1,820","524,022,900","34,890,593,342","63,216","4,425,850",553,"1,828","87,712,100","34,978,305,442","11,366","4,437,216",368,"1,161","91,306,600","35,069,612,042","11,912","4,449,128",382,"1,152","1,592,395,775","194,962"
4,"날, 보러와요",2016-04-07,한국,한국,"(주)오에이엘,(주)발렌타인필름",메가박스중앙(주)플러스엠,청소년관람불가,"미스터리,스릴러",이철하,"강예원,이상윤,최진호,지대한,김종수,이학주,장태성,유건,길해연,조재윤,이형석,박송해,정경일,안용우,안지혜,안지혜,최낙영,이규호,이상백,이승진,김호원","140,035,400","7,219,553,830","18,146","865,322",451,"2,031","154,773,800","7,374,327,630","20,119","885,441",405,"1,904","213,174,461","7,587,502,091","25,453","910,894",431,"1,977","378,286,664","7,965,788,755","44,275","955,169",438,"2,016","321,801,600","8,287,590,355","37,298","992,467",439,"1,966","107,993,900","8,395,584,255","13,975","1,006,442",408,"1,797","118,233,500","8,513,817,755","15,318","1,021,760",411,"1,810","1,434,299,325","174,584"
5,해어화,2016-04-13,한국,한국,더램프(주),롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"사극,드라마",박흥식,"한효주,유연석,천우희,박성웅,장영남,이한위,류혜영,김수안,차지연,장인섭,박찬미,장희선,박효빈,송동규,송승환,양재준,천영암,이규정,이민준,이서연,이성우,이은주,최혁준,오하늬,김고은","128,327,900","2,361,184,607","17,810","303,873",496,"1,864","134,709,700","2,495,894,307","18,627","322,500",420,"1,575","160,763,433","2,656,657,740","19,917","342,417",431,"1,654","266,800,019","2,923,457,759","32,149","374,566",439,"1,652","236,039,100","3,159,496,859","28,413","402,979",442,"1,609","86,650,100","3,246,146,959","11,811","414,790",412,"1,531","94,003,800","3,340,150,759","12,852","427,642",420,"1,561","1,107,294,052","141,579"
6,헌츠맨: 윈터스 워,2016-04-13,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처",세딕 니콜라스 트로얀,"크리스 헴스워스,샤를리즈 테론,에밀리 블런트,제시카 차스테인","82,655,900","2,767,162,558","11,317","346,027",440,"1,605","76,678,400","2,843,840,958","10,311","356,338",372,"1,323","123,622,367","2,967,463,325","15,182","371,520",400,"1,372","235,187,081","3,202,650,406","28,738","400,258",405,"1,435","211,950,600","3,414,601,006","26,045","426,303",408,"1,372","50,552,300","3,465,153,306","6,727","433,030",374,"1,189","46,529,900","3,511,683,206","6,327","439,357",377,"1,161","827,176,548","104,647"
7,파라노말 액티비티: 더 고스트 디멘션,2016-04-21,미국,미국,,(주)박수엔터테인먼트,15세이상관람가,"미스터리,공포(호러)",그레고리 플로킨,"크리스 J. 머레이,브릿 쇼,아이비 조지","41,563,600","44,646,600","5,248","5,604",307,791,"52,563,100","97,209,700","6,854","12,458",330,858,"78,769,800","175,979,500","9,266","21,724",326,875,"113,014,900","288,994,400","13,147","34,871",353,848,"87,904,400","376,898,800","10,220","45,091",352,792,"32,298,200","409,197,000","4,114","49,205",305,675,"30,494,400","439,691,400","3,864","53,069",316,650,"436,608,400","52,713"
8,인생은 아름다워,1999-03-06,이탈리아,이탈리아,"체키고리그룹 타이거키네마토그라피카,멜람포 시네마토그라피카",씨네그루(주)키다리이엔티,"모든 관람객이 관람할 수 있는 등급,전체관람가","드라마,전쟁,코미디",로베르토 베니니,"로베르토 베니니,니콜레타 브라스치","22,050,400","378,189,900","3,020","46,989",133,286,"26,562,200","404,752,100","4,594","51,583",136,352,"35,761,000","440,513,100","6,053","57,636",145,377,"70,639,600","511,152,700","11,859","69,495",144,381,"61,896,000","573,048,700","10,476","79,971",147,387,"26,025,700","599,074,400","4,683","84,654",140,373,"25,378,500","624,452,900","4,321","88,975",143,385,"268,313,400","45,006"
9,트리플 9,2016-04-20,미국,미국,,(주)리틀빅픽쳐스,청소년관람불가,"범죄,스릴러",존 힐코트,"치웨텔 에지오포,케이트 윈슬렛,안소니 마키,우디 해럴슨,케이시 애플렉,노먼 리더스,아론 폴","53,997,600","65,291,600","7,384","8,731",329,940,"51,622,400","116,914,000","7,096","15,827",301,885,"53,485,100","170,399,100","6,735","22,562",311,870,"76,124,200","246,523,300","9,333","31,895",325,792,"63,150,000","309,673,300","7,718","39,613",309,737,"25,102,700","334,776,000","3,433","43,046",293,753,"24,345,300","359,121,300","3,306","46,352",285,727,"347,827,300","45,005"
