기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-07-20 ~ 2016-07-26 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-07-20,,,,,,2016-07-21,,,,,,2016-07-22,,,,,,2016-07-23,,,,,,2016-07-24,,,,,,2016-07-25,,,,,,2016-07-26,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,부산행,2016-07-20,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,스릴러",연상호,"공유,김정희,정유미,김율호,마동석,최우식,안소희,김의성,김수안,박민우,박민혁,임종훈,박종관,장문성,박혜진,손지훈,손지훈,연상호,조춘호,지동현,윤미중,이동하,이윤상,최창수,편준의,허성우,황유경,최용훈,김근영,이주실,예수정,김대현","6,562,420,000","11,477,315,100","872,673","1,437,959","1,571","8,831","5,006,286,500","16,483,601,600","663,365","2,101,324","1,613","9,092","6,263,817,426","22,747,419,026","738,823","2,840,147","1,667","9,501","10,904,532,450","33,651,951,476","1,282,013","4,122,160","1,788","10,300","10,187,889,700","43,839,841,176","1,195,273","5,317,433","1,775","10,057","3,800,105,300","47,639,946,476","499,070","5,816,503","1,622","9,288","3,180,574,500","50,820,520,976","419,947","6,236,450","1,641","9,216","45,905,625,876","5,671,164"
2,나우 유 씨 미 2,2016-07-13,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"범죄,액션",존 추,"제시 아이젠버그,마크 러팔로,우디 해럴슨,데이브 프랑코,다니엘 래드클리프,리지 캐플란,주걸륜,마이클 케인,모건 프리먼","775,662,200","17,630,331,509","102,874","2,166,045",634,"2,638","712,538,000","18,342,869,509","94,499","2,260,544",631,"2,638","945,667,574","19,288,537,083","112,697","2,373,241",648,"2,665","1,500,729,230","20,789,266,313","178,378","2,551,619",649,"2,446","1,389,958,900","22,179,225,213","165,431","2,717,050",627,"2,387","577,084,200","22,756,309,413","75,854","2,792,904",623,"2,534","548,032,400","23,304,341,813","72,088","2,864,992",631,"2,488","6,449,672,504","801,821"
3,아이스 에이지: 지구 대충돌,2016-07-20,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처,코미디",마이크 트메이어,"존 레귀자모,레이 로마노,제니퍼 로페즈,아담 드바인,제시 타일러 퍼거슨,사이먼 페그,멜리사 로치","103,244,000","137,196,000","14,207","18,031",480,"1,210","130,448,700","267,644,700","18,462","36,493",502,"1,200","210,880,300","478,525,000","27,558","64,051",520,"1,247","685,679,800","1,164,204,800","87,393","151,444",580,"1,497","723,959,400","1,888,164,200","91,581","243,025",562,"1,403","237,151,800","2,125,316,000","33,909","276,934",502,"1,160","261,788,300","2,387,104,300","38,020","314,954",522,"1,164","2,353,152,300","311,130"
4,도리를 찾아서,2016-07-06,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,어드벤처,코미디",앤드류 스탠튼,"엘렌 드제너스,알버트 브룩스,다이안 키튼","124,187,300","15,029,766,577","17,855","1,850,801",359,632,"124,916,000","15,154,682,577","17,698","1,868,499",355,599,"185,775,526","15,340,458,103","23,881","1,892,380",384,641,"539,508,130","15,879,966,233","67,911","1,960,291",455,873,"582,667,200","16,462,633,433","72,445","2,032,736",460,885,"264,901,400","16,727,534,833","36,806","2,069,542",400,768,"297,790,200","17,025,325,033","41,675","2,111,217",429,800,"2,119,745,756","278,271"
5,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016-07-20,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,타카하시 시게하루,"토마츠 하루카,유키 아오이,세키 토모카즈,코자쿠라 에츠코","67,322,600","73,102,600","9,210","9,875",304,455,"66,394,500","139,497,100","9,208","19,083",317,480,"96,617,600","236,114,700","12,161","31,244",336,517,"407,366,400","643,481,100","53,054","84,298",390,705,"422,578,820","1,066,059,920","54,331","138,629",403,738,"122,810,200","1,188,870,120","17,515","156,144",345,608,"140,036,300","1,328,906,420","20,081","176,225",343,609,"1,323,126,420","175,560"
6,봉이 김선달,2016-07-06,한국,한국,"(주)엠픽처스,(주)에스엔케이픽처스",씨제이이앤엠(주),12세이상관람가,사극,박대민,"유승호,조재현,고창석,라미란,시우민,연우진,전석호,서예지,주영호,박예슬,박상현,박진성,유일한,이선희","134,217,200","15,222,551,242","18,615","1,918,216",410,"1,039","127,250,100","15,349,801,342","18,126","1,936,342",398,962,"157,105,400","15,506,906,742","19,934","1,956,276",399,919,"205,950,900","15,712,857,642","25,602","1,981,878",343,649,"197,353,200","15,910,210,842","24,484","2,006,362",340,651,"114,754,600","16,024,965,442","15,786","2,022,148",378,841,"128,783,000","16,153,748,442","17,757","2,039,905",378,826,"1,065,414,400","140,304"
7,언더 워터,2016-07-13,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",자움 콜렛 세라,"블레이크 라이블리,오스카 제나다","58,551,800","2,347,573,791","7,790","289,501",266,544,"54,821,700","2,402,395,491","7,299","296,800",268,513,"94,887,200","2,497,282,691","11,393","308,193",268,509,"158,756,400","2,656,039,091","18,881","327,074",252,417,"158,950,300","2,814,989,391","18,622","345,696",241,413,"110,934,900","2,925,924,291","14,430","360,126",269,525,"109,381,000","3,035,305,291","14,204","374,330",265,536,"746,283,300","92,619"
8,BIFAN2016 판타스틱 단편 걸작선 1,,기타,기타,,,,기타,"캘빈 리 리더,앤드류 로리치,김기범,데이비드 샌드버그,닉 덴보어,데이비 포스",,0,0,0,0,0,0,"30,000,000","30,000,000","5,000","5,000",5,27,"30,000,000","60,000,000","5,000","10,000",4,24,"39,000,000","99,000,000","6,500","16,500",4,31,"30,000,000","129,000,000","5,000","21,500",3,23,"39,000,000","168,000,000","6,500","28,000",5,32,"30,000,000","198,000,000","5,000","33,000",4,24,"198,000,000","33,000"
9,나의 산티아고,2016-07-14,독일,독일,,(주)영화사 진진,12세이상관람가,코미디,줄리아 폰 하인츠,"데비드 스트리에소브,마르티나 게덱,카타리나 탈바흐","15,865,800","178,026,600","2,171","23,080",57,96,"21,217,100","199,243,700","2,890","25,970",54,96,"20,636,700","219,880,400","2,461","28,431",52,96,"34,147,500","254,027,900","4,221","32,652",52,91,"34,189,800","288,217,700","4,134","36,786",48,86,"17,863,100","306,080,800","2,522","39,308",51,103,"20,164,500","326,245,300","2,857","42,165",57,116,"164,084,500","21,256"
