기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-01-10 ~ 2018-01-16 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-01-10,,,,,,2018-01-11,,,,,,2018-01-12,,,,,,2018-01-13,,,,,,2018-01-14,,,,,,2018-01-15,,,,,,2018-01-16,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,1987,2017-12-27,한국,한국,(주)우정필름,씨제이이앤엠(주),15세이상관람가,드라마,장준환,"김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤","1,264,934,200","36,814,820,232","166,737","4,611,900","1,080","4,666","1,097,894,600","37,912,714,832","143,893","4,755,793",957,"3,840","1,589,846,454","39,502,561,286","186,221","4,942,014",995,"4,045","3,681,165,059","43,183,726,345","434,063","5,376,077","1,103","4,584","3,462,113,600","46,645,839,945","410,882","5,786,959","1,122","4,516","978,581,700","47,624,421,645","128,997","5,915,956","1,015","4,222","877,919,500","48,502,341,145","116,339","6,032,295","1,042","4,239","12,952,455,113","1,587,132"
2,신과함께-죄와 벌,2017-12-20,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈","1,061,504,000","96,106,833,437","141,830","11,974,922","1,170","5,039","926,874,200","97,033,707,637","123,573","12,098,495",891,"3,514","1,231,178,700","98,264,886,337","146,496","12,244,991",920,"3,623","2,606,141,100","100,871,027,437","310,307","12,555,298",984,"3,720","2,416,524,300","103,287,551,737","288,913","12,844,211",985,"3,641","747,381,200","104,034,932,937","100,000","12,944,211",910,"3,501","700,064,700","104,734,997,637","95,401","13,039,612",948,"3,493","9,689,668,200","1,206,520"
3,코코,2018-01-11,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫","22,528,700","111,234,700","1,973","10,730",17,17,"801,853,900","913,088,600","106,921","117,651",937,"3,329","955,617,405","1,868,706,005","114,582","232,233",978,"3,456","2,552,045,991","4,420,751,996","306,184","538,417","1,163","4,065","2,585,996,700","7,006,748,696","311,566","849,983","1,177","4,030","796,652,800","7,803,401,496","105,194","955,177","1,000","3,563","850,404,700","8,653,806,196","114,778","1,069,955","1,009","3,557","8,565,100,196","1,061,198"
4,쥬만지: 새로운 세계,2018-01-03,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처",제이크 캐스단,"드웨인 존슨,잭 블랙,케빈 하트,카렌 길런","569,717,000","9,188,689,150","73,997","1,135,465",715,"3,032","423,587,900","9,612,277,050","55,686","1,191,151",586,"1,963","555,698,541","10,167,975,591","65,832","1,256,983",622,"1,991","1,113,103,350","11,281,078,941","133,384","1,390,367",662,"2,044","1,071,986,200","12,353,065,141","128,642","1,519,009",677,"2,032","327,245,750","12,680,310,891","42,915","1,561,924",618,"1,995","304,740,700","12,985,051,591","40,362","1,602,286",632,"1,975","4,366,079,441","540,818"
5,다운사이징,2018-01-11,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,코미디",알렉산더 페인,"맷 데이먼,크리스틴 위그,크리스토프 왈츠,제이슨 서디키스",0,"6,618,500",0,759,0,0,"247,341,600","253,960,100","32,562","33,321",511,"1,657","215,765,695","469,725,795","25,172","58,493",506,"1,542","324,070,909","793,796,704","37,645","96,138",480,"1,244","253,603,500","1,047,400,204","29,295","125,433",456,"1,110","81,037,900","1,128,438,104","10,623","136,056",451,"1,132","65,347,500","1,193,785,604","8,635","144,691",442,"1,052","1,187,167,104","143,932"
6,위대한 쇼맨,2017-12-20,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,뮤지컬",마이클 그레이시,"휴 잭맨,잭 에프런,미쉘 윌리엄스,레베카 퍼거슨,젠다야 콜맨","176,585,700","9,295,330,900","22,621","1,136,925",377,832,"91,539,000","9,386,869,900","11,648","1,148,573",203,362,"131,578,400","9,518,448,300","15,055","1,163,628",224,408,"215,064,700","9,733,513,000","24,602","1,188,230",222,411,"201,040,900","9,934,553,900","23,253","1,211,483",232,420,"106,900,300","10,041,454,200","13,580","1,225,063",237,454,"114,508,300","10,155,962,500","14,645","1,239,708",234,459,"1,037,217,300","125,404"
7,페르디난드,2018-01-03,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처,코미디",카를로스 살다나,"존 시나,케이트 맥키넌,데이빗 테넌트,바비 카나베일,미구엘 앙겔 실베스트르,지나 로드리게즈","156,668,300","3,137,453,500","23,334","431,614",534,"1,161","69,261,600","3,206,715,100","10,633","442,247",325,466,"74,082,100","3,280,797,200","10,533","452,780",332,462,"161,611,700","3,442,408,900","21,373","474,153",343,487,"166,718,000","3,609,126,900","21,862","496,015",341,481,"34,215,800","3,643,342,700","5,214","501,229",299,412,"48,112,200","3,691,454,900","7,477","508,706",318,434,"710,669,700","100,426"
8,강철비,2017-12-14,한국,한국,"(주)와이웍스엔터테인먼트,(주)모팩앤알프레드",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,드라마",양우석,"정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희","114,744,300","35,074,554,766","15,391","4,399,990",451,938,"40,684,000","35,115,238,766","5,400","4,405,390",186,292,"58,631,900","35,173,870,666","7,118","4,412,508",198,299,"107,703,300","35,281,573,966","12,962","4,425,470",174,267,"89,073,700","35,370,647,666","10,776","4,436,246",170,259,"36,320,100","35,406,967,766","4,808","4,441,054",181,290,"32,225,100","35,439,192,866","4,348","4,445,402",180,289,"479,382,400","60,803"
9,원더,2017-12-27,미국,미국,,CGV아트하우스,전체관람가,드라마,스티븐 크보스키,"줄리아 로버츠,오웬 윌슨,제이콥 트렘블레이","34,303,300","1,265,810,545","4,525","161,342",149,280,"26,324,000","1,292,134,545","3,476","164,818",94,176,"29,332,100","1,321,466,645","3,457","168,275",94,177,"52,706,200","1,374,172,845","6,175","174,450",93,168,"46,197,200","1,420,370,045","5,378","179,828",88,164,"20,793,800","1,441,163,845","2,777","182,605",95,190,"21,651,400","1,462,815,245","2,862","185,467",89,182,"231,308,000","28,650"
