기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-02-21 ~ 2018-02-27 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-02-21,,,,,,2018-02-22,,,,,,2018-02-23,,,,,,2018-02-24,,,,,,2018-02-25,,,,,,2018-02-26,,,,,,2018-02-27,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,블랙 팬서,2018-02-14,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,드라마,SF",라이언 쿠글러,"채드윅 보스만,마이클 B. 조던,루피타 뇽오,다네이 거라이라,마틴 프리먼,안젤라 바셋,포레스트 휘테커,앤디 서키스,레티티아 라이트,다니엘 칼루야,윈스턴 듀크","1,192,046,500","31,460,509,418","150,599","3,660,109","1,283","6,190","1,005,111,400","32,465,620,818","127,342","3,787,451","1,165","5,486","1,293,984,846","33,759,605,664","148,541","3,935,992","1,203","5,692","2,679,264,238","36,438,869,902","307,400","4,243,392","1,242","6,046","2,202,867,200","38,641,737,102","253,217","4,496,609","1,230","5,847","713,499,400","39,355,236,502","91,512","4,588,121","1,153","5,368","673,110,600","40,028,347,102","87,081","4,675,202","1,153","5,316","9,759,884,184","1,165,692"
2,월요일이 사라졌다,2018-02-22,영국,"영국,미국,프랑스,벨기에",,(주)스마일이엔티,15세이상관람가,"액션,어드벤처,범죄",토미 위르콜라,"누미 라파스,글렌 클로즈,윌렘 데포",0,"19,170,800",0,"2,674",0,0,"210,779,900","229,950,700","26,575","29,249",245,"1,099","386,180,300","616,131,000","44,364","73,613",267,"1,157","790,327,400","1,406,458,400","91,326","164,939",309,"1,273","895,594,600","2,302,053,000","102,956","267,895",355,"1,379","497,535,200","2,799,588,200","62,049","329,944",339,"1,438","466,918,200","3,266,506,400","58,433","388,377",353,"1,484","3,247,335,600","385,703"
3,골든슬럼버,2018-02-14,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",노동석,"강동원,김의성,한효주,김성균,김대명,윤계상,이준혁,정소민,최우식,유재명,차순배,김시은","324,272,900","9,393,544,782","42,786","1,135,880",689,"2,941","252,970,300","9,646,515,082","33,505","1,169,385",624,"2,594","296,606,354","9,943,121,436","35,745","1,205,130",635,"2,575","552,197,762","10,495,319,198","65,523","1,270,653",684,"2,489","482,566,400","10,977,885,598","56,939","1,327,592",670,"2,369","161,209,400","11,139,094,998","21,702","1,349,294",592,"2,213","149,869,900","11,288,964,898","20,252","1,369,546",597,"2,194","2,219,693,016","276,452"
4,조선명탐정: 흡혈괴마의 비밀,2018-02-08,한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,어드벤처,코미디",김석윤,"김명민,오달수,김지원,김범,이민기,지웅배","269,321,800","17,979,878,903","36,522","2,209,353",719,"2,706","224,082,400","18,203,961,303","30,547","2,239,900",645,"2,369","259,659,481","18,463,620,784","32,121","2,272,021",636,"2,363","505,632,880","18,969,253,664","61,788","2,333,809",635,"2,286","438,188,900","19,407,442,564","52,916","2,386,725",625,"2,160","147,018,300","19,554,460,864","20,042","2,406,767",559,"2,034","148,108,200","19,702,569,064","20,566","2,427,333",573,"2,002","1,992,011,961","254,502"
5,셰이프 오브 워터: 사랑의 모양,2018-02-22,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"어드벤처,판타지",기예르모 델 토로,"샐리 호킨스,마이클 섀넌,리차드 젠킨스,더그 존스,마이클 스털버그,옥타비아 스펜서","1,666,000","66,212,800",187,"7,286",1,1,"176,081,700","242,294,500","22,660","29,946",252,904,"242,700,873","484,995,373","27,688","57,634",275,973,"488,232,582","973,227,955","55,749","113,383",404,"1,312","432,032,300","1,405,260,255","49,177","162,560",397,"1,298","197,541,000","1,602,801,255","25,254","187,814",351,"1,337","191,388,200","1,794,189,455","24,650","212,464",350,"1,320","1,729,642,655","205,365"
6,50가지 그림자: 해방,2018-02-21,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,멜로/로맨스,스릴러",제임스 폴리,"다코타 존슨,제이미 도넌","167,851,300","170,238,300","21,009","21,350",162,816,"143,729,100","313,967,400","17,929","39,279",175,819,"183,212,600","497,180,000","20,004","59,283",189,879,"283,768,400","780,948,400","30,982","90,265",213,973,"245,189,900","1,026,138,300","26,327","116,592",212,952,"109,711,100","1,135,849,400","13,680","130,272",198,905,"105,010,600","1,240,860,000","13,136","143,408",200,909,"1,238,473,000","143,067"
7,패딩턴 2,2018-02-08,프랑스,"프랑스,영국",,(주)이수C&E,전체관람가,"코미디,드라마",폴 킹,"벤 위쇼,휴 그랜트,브렌단 글리슨,샐리 호킨스","49,845,200","1,896,691,300","7,405","249,499",249,352,"41,992,500","1,938,683,800","6,333","255,832",184,232,"52,655,700","1,991,339,500","7,099","262,931",197,259,"96,199,700","2,087,539,200","12,545","275,476",258,364,"96,243,400","2,183,782,600","12,400","287,876",252,363,"45,566,700","2,229,349,300","6,724","294,600",204,301,"56,922,000","2,286,271,300","8,513","303,113",205,303,"439,425,200","61,019"
8,명탐정 코난:감벽의 관,2018-02-14,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,야마모토 야스이치로,"김선혜,강수진,이현진,이용신,이정구,여민정,정선혜,우정신,황원,타카야마 미나미,야마구치 캇페이,야마자키 와카나,카미야 아키라","61,408,800","1,419,919,000","8,954","190,391",364,581,"42,510,700","1,462,429,700","6,280","196,671",268,350,"43,403,800","1,505,833,500","5,799","202,470",278,365,"89,622,700","1,595,456,200","11,812","214,282",312,432,"92,745,700","1,688,201,900","12,005","226,287",304,422,"29,323,500","1,717,525,400","4,309","230,596",281,371,"37,194,500","1,754,719,900","5,439","236,035",291,388,"396,209,700","54,598"
9,코코,2018-01-11,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫","53,741,000","27,275,338,540","7,397","3,455,212",305,471,"42,737,800","27,318,076,340","5,957","3,461,169",231,324,"47,641,300","27,365,717,640","5,964","3,467,133",233,326,"87,615,900","27,453,333,540","10,825","3,477,958",265,374,"90,254,800","27,543,588,340","11,025","3,488,983",272,384,"38,810,600","27,582,398,940","5,478","3,494,461",234,341,"51,034,800","27,633,433,740","7,290","3,501,751",239,344,"411,836,200","53,936"
10,흥부: 글로 세상을 바꾼 자,2018-02-14,한국,한국,"(주)영화사 궁,(주)발렌타인필름",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,사극,조근현,"김규백,정우,김주혁,정진영,김원해,정상훈,정해인,곽동연,천우희,진구,지웅배","85,728,400","3,041,094,800","11,916","371,269",491,"1,354","55,390,300","3,096,485,100","7,630","378,899",394,870,"62,295,300","3,158,780,400","8,045","386,944",391,868,"78,189,600","3,236,970,000","9,775","396,719",376,724,"63,783,200","3,300,753,200","7,930","404,649",339,650,"27,258,800","3,328,012,000","3,871","408,520",327,627,"29,079,900","3,357,091,900","4,175","412,695",327,615,"401,725,500","53,342"
11,그것만이 내 세상,2018-01-17,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,"이병헌,윤여정,박정민,한지민,김성령,이주영","37,822,800","27,242,407,882","5,558","3,388,251",321,521,"22,978,200","27,265,386,082","3,508","3,391,759",236,366,"25,966,700","27,291,352,782","3,652","3,395,411",232,366,"48,629,400","27,339,982,182","6,930","3,402,341",211,339,"41,876,100","27,381,858,282","5,821","3,408,162",199,317,"20,583,700","27,402,441,982","3,098","3,411,260",211,339,"23,125,900","27,425,567,882","3,527","3,414,787",206,326,"220,982,800","32,094"
12,반딧불이 딘딘,2018-02-22,중국,중국,,(주)박수엔터테인먼트,전체관람가,애니메이션,등위봉,,0,0,0,0,0,0,"22,291,300","22,291,300","3,450","3,450",263,301,"29,290,900","51,582,200","4,200","7,650",271,313,"43,728,500","95,310,700","5,910","13,560",303,393,"42,997,900","138,308,600","5,644","19,204",302,383,"31,195,400","169,504,000","4,716","23,920",270,329,"36,414,800","205,918,800","5,494","29,414",274,336,"205,918,800","29,414"
13,지구: 놀라운 하루,2018-02-22,영국,영국,,(주)리틀빅픽쳐스,전체관람가,"다큐멘터리,가족","범립흔,피터 웨버","이제훈,로버트 레드포드,성룡","284,200","6,840,400",55,"1,018",3,4,"17,825,300","24,665,700","2,531","3,549",215,279,"21,823,600","46,489,300","2,827","6,376",220,275,"40,312,500","86,801,800","4,982","11,358",231,290,"47,011,200","133,813,000","5,811","17,169",228,286,"20,238,000","154,051,000","2,906","20,075",219,273,"24,066,800","178,117,800","3,485","23,560",220,274,"171,561,600","22,597"
