기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-03-14 ~ 2018-03-20 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-03-14,,,,,,2018-03-15,,,,,,2018-03-16,,,,,,2018-03-17,,,,,,2018-03-18,,,,,,2018-03-19,,,,,,2018-03-20,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
10,블랙 팬서,2018-02-14,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,드라마,SF",라이언 쿠글러,"채드윅 보스만,마이클 B. 조던,루피타 뇽오,다네이 거라이라,마틴 프리먼,안젤라 바셋,포레스트 휘테커,앤디 서키스,레티티아 라이트,다니엘 칼루야,윈스턴 듀크","17,219,000","45,551,375,657","2,311","5,357,312",147,234,"16,582,700","45,567,958,357","2,184","5,359,496",138,205,"24,852,700","45,592,811,057","2,910","5,362,406",142,218,"61,636,500","45,654,447,557","7,371","5,369,777",137,219,"55,781,100","45,710,228,657","6,683","5,376,460",142,217,"16,951,400","45,727,180,057","2,223","5,378,683",134,209,"17,642,100","45,744,822,157","2,314","5,380,997",139,209,"210,665,500","25,996"
11,로건 럭키,2018-03-14,미국,미국,,(주)스톰픽쳐스코리아,12세이상관람가,"코미디,범죄,드라마,액션",스티븐 소더버그,"채닝 테이텀,다니엘 크레이그,아담 드라이버,라일리 코프,힐러리 스웽크,케이티 홈즈,세스 맥팔레인,세바스찬 스탠","23,103,800","29,797,300","3,238","4,090",249,531,"20,872,300","50,669,600","2,856","6,946",256,503,"27,095,600","77,765,200","3,301","10,247",242,479,"32,800,500","110,565,700","3,996","14,243",252,416,"31,760,500","142,326,200","3,855","18,098",257,405,"11,482,400","153,808,600","1,600","19,698",219,361,"12,111,700","165,920,300","1,684","21,382",224,365,"159,226,800","20,530"
12,월요일이 사라졌다,2018-02-22,영국,"영국,미국,프랑스,벨기에",,(주)스마일이엔티,15세이상관람가,"액션,어드벤처,범죄",토미 위르콜라,"누미 라파스,글렌 클로즈,윌렘 데포","19,117,600","7,333,355,600","2,387","884,388",112,248,"16,816,200","7,350,171,800","2,133","886,521",112,229,"23,212,500","7,373,384,300","2,643","889,164",116,235,"43,157,800","7,416,542,100","4,975","894,139",123,226,"36,457,200","7,452,999,300","4,249","898,388",117,206,"12,977,800","7,465,977,100","1,707","900,095",106,211,"9,812,500","7,475,789,600","1,277","901,372",110,205,"161,551,600","19,371"
13,플로리다 프로젝트,2018-03-07,미국,미국,,오드,15세이상관람가,드라마,션 베이커,윌렘 데포,"20,137,400","424,664,000","2,532","50,720",76,147,"16,126,400","440,790,400","2,066","52,786",68,124,"20,934,300","461,724,700","2,436","55,222",75,132,"33,304,900","495,029,600","3,812","59,034",74,129,"33,306,000","528,335,600","3,845","62,879",77,137,"11,963,200","540,298,800","1,526","64,405",66,132,"13,919,100","554,217,900","1,762","66,167",65,128,"149,691,300","17,979"
14,판타스틱 부니베어,2018-03-15,중국,중국,,(주)박수엔터테인먼트,전체관람가,"애니메이션,어드벤처",정량,"조연우,신정훈,박상우,오은수,송영인,방지원","72,000","9,646,000",13,"1,604",6,6,"2,740,300","12,386,300",466,"2,070",91,96,"2,519,600","14,905,900",334,"2,404",91,99,"41,531,800","56,437,700","5,644","8,048",302,413,"41,744,800","98,182,500","5,566","13,614",300,405,"1,710,500","99,893,000",252,"13,866",69,78,"2,535,100","102,428,100",416,"14,282",83,86,"92,854,100","12,691"
15,더 포스트,2018-02-28,미국,미국,,CGV아트하우스,12세이상관람가,"드라마,스릴러",스티븐 스필버그,"톰 행크스,메릴 스트립,알리슨 브리,사라 폴슨,브루스 그린우드","11,131,200","927,216,900","1,491","117,422",61,104,"10,442,100","937,659,000","1,392","118,814",68,90,"11,505,100","949,164,100","1,376","120,190",63,85,"23,326,500","972,490,600","2,730","122,920",61,83,"20,586,100","993,076,700","2,451","125,371",62,82,"6,781,400","999,858,100",924,"126,295",58,76,"7,601,600","1,007,459,700","1,032","127,327",63,77,"91,374,000","11,396"
16,곤지암,2018-03-28,한국,한국,(주)하이브미디어코프,(주)쇼박스,15세이상관람가,"공포(호러),스릴러",정범식,"위하준,박지현,오아연,문예원,박성훈,이승욱,유제윤","8,925,000","8,925,000","1,111","1,111",5,5,"7,639,000","16,564,000",907,"2,018",4,4,"23,770,000","40,334,000","2,716","4,734",15,15,"14,964,000","55,298,000","1,726","6,460",10,10,"900,000","56,198,000",100,"6,560",1,1,"11,374,000","67,572,000","1,346","7,906",5,5,"19,011,000","86,583,000","2,259","10,165",10,10,"86,583,000","10,165"
17,토이 가디언즈,2018-03-15,중국,"중국,프랑스",,(주)팝엔터테인먼트,전체관람가,애니메이션,"신우,황연","박소라,장경희",0,"8,698,000",0,"1,060",0,0,"969,200","9,667,200",136,"1,196",51,53,"1,839,400","11,506,600",252,"1,448",48,54,"29,206,500","40,713,100","3,734","5,182",136,217,"28,287,900","69,001,000","3,565","8,747",133,215,"1,029,500","70,030,500",143,"8,890",50,51,"1,135,300","71,165,800",159,"9,049",50,51,"62,467,800","7,989"
18,팬텀 스레드,2018-03-08,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,드라마,폴 토마스 앤더슨,"다니엘 데이 루이스,빅키 크리엡스,레슬리 맨빌","6,258,000","108,687,900",825,"12,892",26,44,"5,016,000","113,703,900",645,"13,537",27,46,"6,638,000","120,341,900",766,"14,303",25,43,"12,626,600","132,968,500","1,466","15,769",29,39,"10,553,600","143,522,100","1,197","16,966",26,42,"4,593,500","148,115,600",610,"17,576",28,34,"3,546,500","151,662,100",460,"18,036",26,30,"49,232,200","5,969"
19,극장판 마법소녀 마도카 마기카(신편): 반역의 이야기,2018-03-15,일본,일본,,(주)애니플러스,12세이상관람가,"애니메이션,판타지,액션,드라마",신보 아키유키,"유키 아오이,사이토 치와",0,0,0,0,0,0,"5,954,000","5,954,000",800,800,61,98,"5,235,500","11,189,500",611,"1,411",61,89,"9,959,000","21,148,500","1,189","2,600",62,78,"8,260,000","29,408,500","1,037","3,637",61,73,"1,611,000","31,019,500",214,"3,851",40,53,"1,516,500","32,536,000",203,"4,054",48,58,"32,536,000","4,054"
20,콜 미 바이 유어 네임,2018-03-22,이탈리아,"이탈리아,프랑스,브라질,미국",,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,"드라마,멜로/로맨스",루카 구아다니노,"티모시 샬라멧,아미 해머,마이클 스털버그,아미라 캐사,에스더 가렐",0,"32,307,000",0,"3,501",0,0,0,"32,307,000",0,"3,501",0,0,"1,821,500","34,128,500",202,"3,703",3,3,0,"34,128,500",0,"3,703",0,0,"2,800,000","36,928,500",300,"4,003",4,4,0,"36,928,500",0,"4,003",0,0,"18,304,500","55,233,000","2,955","6,958",22,22,"22,926,000","3,457"
21,50가지 그림자: 해방,2018-02-21,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,멜로/로맨스,스릴러",제임스 폴리,"다코타 존슨,제이미 도넌","3,678,700","1,819,788,900",453,"212,109",26,44,"2,702,600","1,822,491,500",332,"212,441",23,37,"5,161,400","1,827,652,900",563,"213,004",23,42,"8,444,500","1,836,097,400",907,"213,911",21,43,"5,324,000","1,841,421,400",590,"214,501",22,39,"2,178,400","1,843,599,800",277,"214,778",20,36,"2,279,400","1,845,879,200",289,"215,067",20,36,"29,769,000","3,411"
22,엄마의 공책,2018-03-15,한국,한국,(주)영화사조아,아이 엠,전체관람가,"드라마,가족",김성호,"이주실,이종혁,김성은,김선화,이영아,이준혁,김근영",0,"17,573,000",0,"2,101",0,0,"3,840,200","21,413,200",600,"2,701",75,130,"3,219,100","24,632,300",441,"3,142",67,126,"5,525,600","30,157,900",723,"3,865",75,125,"6,161,300","36,319,200",766,"4,631",68,112,"2,984,500","39,303,700",441,"5,072",69,102,"2,670,500","41,974,200",404,"5,476",67,106,"24,401,200","3,375"
23,온리 더 브레이브,2018-03-07,미국,미국,,㈜코리아스크린,12세이상관람가,드라마,조셉 코신스키,"조슈 브롤린,마일즈 텔러,제프 브리지스,제임스 뱃지 데일,테일러 키취,제니퍼 코넬리","4,691,700","363,588,800",636,"46,104",50,67,"2,677,900","366,266,700",342,"46,446",36,44,"3,294,000","369,560,700",393,"46,839",36,43,"3,743,900","373,304,600",464,"47,303",29,35,"3,534,700","376,839,300",429,"47,732",27,34,"1,141,000","377,980,300",157,"47,889",27,35,"1,455,600","379,435,900",197,"48,086",30,35,"20,538,800","2,618"
24,나미야 잡화점의 기적,2018-02-28,일본,일본,,(주)이수C&E,전체관람가,"판타지,드라마",히로키 류이치,"니시다 토시유키,야마다 료스케","1,986,800","1,433,321,285",288,"188,846",28,35,"1,955,800","1,435,277,085",289,"189,135",25,30,"2,569,500","1,437,846,585",349,"189,484",25,29,"5,518,000","1,443,364,585",695,"190,179",27,31,"4,892,000","1,448,256,585",614,"190,793",26,31,"783,000","1,449,039,585",108,"190,901",15,17,"1,448,100","1,450,487,685",211,"191,112",19,22,"19,153,200","2,554"
25,레이디 버드,2018-04-04,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,드라마",그레타 거윅,"시얼샤 로넌,로리 멧칼프,트레이시 렛츠",0,0,0,0,0,0,0,0,0,0,0,0,"2,358,000","2,358,000",262,262,1,1,"12,692,000","15,050,000","1,456","1,718",22,22,"3,249,000","18,299,000",392,"2,110",3,3,"1,082,000","19,381,000",138,"2,248",3,3,"2,525,000","21,906,000",298,"2,546",3,3,"21,906,000","2,546"
26,나라타주,2018-03-08,일본,일본,,(주)팝엔터테인먼트,15세이상관람가,"멜로/로맨스,드라마",유키사다 이사오,"마츠모토 준,아리무라 카스미,사카구치 켄타로","3,421,600","134,147,300",448,"15,763",66,82,"1,495,600","135,642,900",195,"15,958",26,34,"2,473,400","138,116,300",274,"16,232",27,34,"4,310,700","142,427,000",479,"16,711",24,34,"4,329,100","146,756,100",474,"17,185",25,36,"1,912,700","148,668,800",213,"17,398",24,32,"1,705,400","150,374,200",215,"17,613",28,36,"19,648,500","2,298"
27,120 BPM,2018-03-15,프랑스,프랑스,,(주)엣나인필름,청소년관람불가,드라마,로빈 캄필로,"나우엘 페레즈 비스카야트,아르노 발로아,아델 하에넬,이브 헤크",0,"10,516,000",0,"1,312",0,0,"3,185,300","13,701,300",383,"1,695",33,49,"3,659,000","17,360,300",408,"2,103",31,41,"4,219,300","21,579,600",461,"2,564",33,44,"3,203,400","24,783,000",379,"2,943",32,44,"1,150,500","25,933,500",155,"3,098",24,30,"1,418,800","27,352,300",198,"3,296",24,35,"16,836,300","1,984"
28,덕구,2018-04-05,한국,한국,"(주)영화사두둥,(주)곰픽쳐스",메가박스중앙(주)플러스엠,전체관람가,드라마,방수인,"이순재,정지훈,장광,성병숙,차순배,박지윤","5,396,000","21,596,000",852,"2,877",1,3,0,"21,596,000",0,"2,877",0,0,0,"21,596,000",0,"2,877",0,0,0,"21,596,000",0,"2,877",0,0,0,"21,596,000",0,"2,877",0,0,0,"21,596,000",0,"2,877",0,0,"4,260,000","25,856,000","1,065","3,942",7,7,"9,656,000","1,917"
