기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-08-01 ~ 2018-08-07 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-08-01,,,,,,2018-08-02,,,,,,2018-08-03,,,,,,2018-08-04,,,,,,2018-08-05,,,,,,2018-08-06,,,,,,2018-08-07,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,신과함께-인과 연,2018-08-01,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재","9,685,060,000","9,874,438,100","1,246,643","1,268,392","1,967","9,825","8,458,822,450","18,333,260,550","1,078,015","2,346,407","2,054","10,079","9,384,854,499","27,718,115,049","1,078,492","3,424,899","2,126","10,543","12,780,021,288","40,498,136,337","1,466,245","4,891,144","2,235","11,159","11,362,101,100","51,860,237,437","1,302,701","6,193,845","2,217","10,992","4,990,981,600","56,851,219,037","629,794","6,823,639","2,087","10,551","4,056,513,200","60,907,732,237","515,945","7,339,584","2,097","10,456","60,718,354,137","7,317,835"
2,미션 임파서블: 폴아웃,2018-07-25,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,스릴러",크리스토퍼 맥쿼리,"톰 크루즈,레베카 퍼거슨,바네사 커비,미셸 모나한,헨리 카빌,안젤라 바셋,사이먼 페그,알렉 볼드윈","2,090,822,500","36,906,167,254","258,469","4,394,398",998,"3,826","2,029,890,300","38,936,057,554","249,828","4,644,226",975,"3,600","2,327,450,553","41,263,508,107","258,508","4,902,734",916,"3,408","2,790,392,250","44,053,900,357","312,699","5,215,433",888,"3,108","2,496,143,400","46,550,043,757","279,678","5,495,111",916,"3,124","1,269,592,300","47,819,636,057","156,811","5,651,922",884,"3,377","1,109,846,400","48,929,482,457","137,585","5,789,507",908,"3,389","14,114,137,703","1,653,578"
3,극장판 헬로카봇 : 백악기 시대,2018-08-01,한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,김진철","이지현,김용준,양정화,홍범기,엄상현,사문영,위훈,민응식,신용우,안소이,한신,이현,김상백,임정길,김두용","1,145,177,500","1,192,090,500","162,242","166,724",721,"1,740","900,793,500","2,092,884,000","127,108","293,832",758,"1,825","809,988,600","2,902,872,600","103,203","397,035",745,"1,837","926,253,700","3,829,126,300","117,326","514,361",725,"1,771","856,096,300","4,685,222,600","107,433","621,794",690,"1,681","284,186,900","4,969,409,500","39,842","661,636",597,"1,387","260,053,100","5,229,462,600","36,922","698,558",601,"1,354","5,182,549,600","694,076"
4,인크레더블 2,2018-07-18,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,액션,어드벤처,코미디,가족",브래드 버드,"크레이그 T. 넬슨,사무엘 L. 잭슨,홀리 헌터","560,773,300","21,327,866,058","76,952","2,616,278",583,"1,284","539,236,200","21,867,102,258","74,011","2,690,289",579,"1,256","559,650,774","22,426,753,032","69,511","2,759,800",601,"1,235","535,833,356","22,962,586,388","66,556","2,826,356",544,"1,015","510,346,300","23,472,932,688","63,091","2,889,447",547,"1,005","264,057,200","23,736,989,888","35,772","2,925,219",545,"1,130","274,753,400","24,011,743,288","37,942","2,963,161",565,"1,138","3,244,650,530","423,835"
5,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,한국,한국,"씨제이이앤엠(주),(주)칵테일 미디어",씨제이이앤엠(주),전체관람가,"애니메이션,판타지,어드벤처",김병갑,"조현정,김영은,김채하,신용우,여민정,심규혁","273,460,900","3,571,336,300","39,482","484,958",490,752,"258,846,100","3,830,182,400","37,195","522,153",477,734,"242,379,000","4,072,561,400","31,721","553,874",467,690,"265,663,200","4,338,224,600","34,386","588,260",460,655,"262,000,800","4,600,225,400","33,693","621,953",469,657,"103,712,900","4,703,938,300","14,897","636,850",443,609,"112,101,900","4,816,040,200","16,225","653,075",452,622,"1,518,164,800","207,599"
6,맘마미아!2,2018-08-08,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,올 파커,"아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인,콜린 퍼스,휴 스키너,스텔란 스카스가드,조쉬 딜란,줄리 월터스,알렉사 데이비스,크리스틴 바란스키,제시카 키나 윈,도미닉 쿠퍼,셰어,앤디 가르시아","4,460,000","79,375,000",499,"9,192",6,6,"23,256,000","102,631,000","2,584","11,776",11,11,0,"102,631,000",0,"11,776",0,0,"289,176,900","391,807,900","32,146","43,922",259,419,"281,510,900","673,318,800","31,292","75,214",264,412,"3,064,300","676,383,100",362,"75,576",1,1,"9,598,500","685,981,600","1,077","76,653",4,5,"611,066,600","67,960"
7,어느 가족,2018-07-26,일본,일본,,(주)티캐스트,15세이상관람가,드라마,고레에다 히로카즈,"릴리 프랭키,안도 사쿠라,마츠오카 마유,키키 키린,죠 카이리,사사키 미유,이케마츠 소스케","48,266,200","513,721,500","6,192","61,909",75,175,"48,965,400","562,686,900","6,239","68,148",63,167,"61,026,600","623,713,500","6,924","75,072",69,178,"82,392,200","706,105,700","9,143","84,215",61,167,"72,588,700","778,694,400","8,080","92,295",59,164,"39,428,200","818,122,600","4,935","97,230",58,175,"50,900,800","869,023,400","6,744","103,974",82,205,"403,568,100","48,257"
8,인랑,2018-07-25,한국,한국,(주)루이스 픽쳐스,워너브러더스 코리아(주),15세이상관람가,"SF,액션",김지운,"강동원,한효주,정우성,김무열,최민호,한예리,신은수,허준호,문예원,김현준,이가경,박형수","47,501,700","6,759,761,106","6,072","869,176",274,393,"38,337,600","6,798,098,706","4,966","874,142",232,332,"34,799,373","6,832,898,079","4,267","878,409",207,288,"56,441,494","6,889,339,573","6,217","884,626",152,198,"63,640,000","6,952,979,573","6,701","891,327",151,192,"13,919,500","6,966,899,073","1,857","893,184",147,204,"13,031,100","6,979,930,173","1,796","894,980",152,205,"267,670,767","31,876"
9,공작,2018-08-08,한국,한국,"(주)영화사 월광,(주)사나이픽처스",씨제이이앤엠(주),12세이상관람가,드라마,윤종빈,"황정민,이성민,조진웅,주지훈,김대현","3,339,000","32,660,000",371,"3,626",1,2,"40,394,000","73,054,000","4,348","7,974",6,8,"4,575,000","77,629,000",429,"8,403",1,1,0,"77,629,000",0,"8,403",0,0,0,"77,629,000",0,"8,403",0,0,"50,519,900","128,148,900","4,538","12,941",27,27,"19,252,000","147,400,900","2,160","15,101",10,10,"118,079,900","11,846"
10,목격자,2018-08-15,한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,조규장,"이성민,김상호,진경,곽시양",0,"1,729,000",0,247,0,0,0,"1,729,000",0,247,0,0,0,"1,729,000",0,247,0,0,0,"1,729,000",0,247,0,0,0,"1,729,000",0,247,0,0,"23,112,000","24,841,000","2,568","2,815",11,12,"59,448,000","84,289,000","6,485","9,300",30,30,"82,560,000","9,053"
11,너의 결혼식,2018-08-22,한국,한국,"(주)필름케이,(주)외유내강",메가박스중앙(주)플러스엠,12세이상관람가,멜로/로맨스,이석근,"박보영,김영광,강기영,장성범,고규필,서은수,차엽,안길강",0,"5,640,000",0,940,0,0,"28,190,000","33,830,000","2,819","3,759",13,13,0,"33,830,000",0,"3,759",0,0,0,"33,830,000",0,"3,759",0,0,0,"33,830,000",0,"3,759",0,0,"11,949,000","45,779,000","1,328","5,087",8,8,"38,664,000","84,443,000","4,215","9,302",18,19,"78,803,000","8,362"
12,앤트맨과 와스프,2018-07-04,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,SF",페이튼 리드,"폴 러드,에반젤린 릴리,마이클 더글라스,미쉘 파이퍼,로렌스 피쉬번,해나 존-케이먼,마이클 페나,월튼 고긴스","11,181,200","47,397,446,085","1,475","5,439,560",37,44,"10,814,300","47,408,260,385","1,402","5,440,962",40,43,"13,215,400","47,421,475,785","1,513","5,442,475",33,40,"11,732,700","47,433,208,485","1,350","5,443,825",29,36,"8,216,500","47,441,424,985",982,"5,444,807",34,38,"6,048,800","47,447,473,785",780,"5,445,587",31,41,"6,639,200","47,454,112,985",832,"5,446,419",29,44,"67,848,100","8,334"
13,더 스퀘어,2018-08-02,스웨덴,"스웨덴,독일,프랑스,덴마크",,아이 엠,15세이상관람가,코미디,루벤 외스틀룬드,"클라에스 방,엘리자베스 모스,도미닉 웨스트",0,"10,660,500",0,"1,044",0,0,"9,638,700","20,299,200","1,292","2,336",43,53,"11,278,700","31,577,900","1,328","3,664",42,50,"12,891,900","44,469,800","1,525","5,189",36,42,"10,963,700","55,433,500","1,288","6,477",34,41,"6,457,300","61,890,800",840,"7,317",35,47,"6,070,300","67,961,100",820,"8,137",38,49,"57,300,600","7,093"
14,아이 엠 러브,2011-01-20,이탈리아,이탈리아,,"(주)영화사 진진,(주)영화사 조제",청소년관람불가,"드라마,멜로/로맨스",루카 구아다그니노,"플라비오 파렌티,틸다 스윈튼,에도아르도 가브리엘리니,알바 로흐와쳐","5,024,300","336,951,661",705,"42,806",22,33,"7,234,800","344,186,461","1,008","43,814",28,39,"7,622,100","351,808,561",939,"44,753",25,37,"9,251,600","361,060,161","1,082","45,835",27,39,"8,145,500","369,205,661",938,"46,773",27,36,"4,488,500","373,694,161",584,"47,357",16,27,"5,500,500","379,194,661",718,"48,075",25,37,"47,267,300","5,974"
