기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-06-13 ~ 2018-06-19 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-06-13,,,,,,2018-06-14,,,,,,2018-06-15,,,,,,2018-06-16,,,,,,2018-06-17,,,,,,2018-06-18,,,,,,2018-06-19,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,쥬라기 월드: 폴른 킹덤,2018-06-06,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",후안 안토니오 바요나,"크리스 프랫,브라이스 달라스 하워드,제프 골드블럼,저스티스 스미스,토비 존스,B.D. 웡,테드 레빈,제임스 크롬웰,라프 스팰,제랄딘 채플린,마이클 파파존,카밀 레미에쉐브스키,다니엘라 피네다,로버트 엠스","3,908,149,350","35,322,947,350","446,878","3,999,886","1,255","6,369","719,750,900","36,042,698,250","85,201","4,085,087","1,170","5,682","1,038,016,210","37,080,714,460","112,623","4,197,710","1,159","5,832","2,716,880,179","39,797,594,639","298,353","4,496,063","1,231","6,255","2,320,975,600","42,118,570,239","257,100","4,753,163","1,202","5,969","370,333,400","42,488,903,639","44,981","4,798,144","1,087","4,880","410,466,500","42,899,370,139","49,101","4,847,245","1,077","4,968","11,484,572,139","1,294,237"
2,탐정: 리턴즈,2018-06-13,한국,한국,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",이언희,"권상우,성동일,이광수,서영희,이일화,남명렬,손담비,최성원,김동욱,박성일","2,043,182,700","2,190,415,000","235,184","251,131",971,"4,887","740,120,400","2,930,535,400","92,253","343,384",968,"4,810","1,119,554,026","4,050,089,426","127,030","470,414",947,"4,880","2,578,455,044","6,628,544,470","288,726","759,140","1,033","5,044","2,424,757,900","9,053,302,370","271,181","1,030,321","1,041","5,023","592,291,300","9,645,593,670","73,793","1,104,114",993,"4,828","767,553,100","10,413,146,770","95,060","1,199,174","1,017","5,036","10,265,914,470","1,183,227"
3,오션스8,2018-06-13,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,범죄",게리 로스,"산드라 블록,케이트 블란쳇,앤 해서웨이,민디 캘링,사라 폴슨,아콰피나,리한나,헬레나 본햄 카터","1,751,397,800","1,793,669,800","195,523","200,254",837,"3,800","540,533,300","2,334,203,100","65,614","265,868",799,"3,685","773,574,290","3,107,777,390","84,362","350,230",822,"3,884","1,384,203,021","4,491,980,411","150,590","500,820",788,"3,784","1,102,196,400","5,594,176,811","120,240","621,060",778,"3,638","311,694,000","5,905,870,811","38,237","659,297",777,"3,432","382,995,100","6,288,865,911","46,821","706,118",775,"3,534","6,246,593,911","701,387"
4,독전,2018-05-22,한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션",이해영,"조진웅,류준열,김주혁,김성령,박해준,차승원,이주영","513,883,000","40,136,840,372","58,713","4,678,392",434,"1,239","177,359,300","40,314,199,672","21,751","4,700,143",431,"1,365","235,473,664","40,549,673,336","26,266","4,726,409",459,"1,430","490,609,377","41,040,282,713","53,825","4,780,234",549,"1,562","425,741,100","41,466,023,813","46,614","4,826,848",567,"1,571","125,393,700","41,591,417,513","15,514","4,842,362",514,"1,555","142,861,200","41,734,278,713","17,970","4,860,332",527,"1,585","2,111,321,341","240,653"
5,아이 필 프리티,2018-06-06,미국,미국,,(주)홈초이스,15세이상관람가,코미디,아비 콘,"에이미 슈머,미쉘 윌리엄스","134,118,600","1,304,481,800","14,597","147,109",170,500,"42,305,400","1,346,787,200","5,203","152,312",166,523,"59,574,000","1,406,361,200","6,521","158,833",168,527,"104,308,700","1,510,669,900","11,211","170,044",158,473,"87,620,600","1,598,290,500","9,457","179,501",159,447,"30,798,700","1,629,089,200","3,826","183,327",162,458,"36,707,900","1,665,797,100","4,520","187,847",165,471,"495,433,900","55,335"
6,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,2018-06-06,일본,일본,,(주)이수C&E,전체관람가,애니메이션,유야마 쿠니히코,"마츠모토 리카,오오타니 이쿠에,임채헌,이선호,정미숙,변영희,김영선,우정신,오인성,신용우,정혜옥,양석정,유상우,전태열,윤승희,이영란,문남숙","143,474,500","1,172,246,200","19,091","155,048",333,480,"2,651,900","1,174,898,100",393,"155,441",86,91,"4,086,200","1,178,984,300",547,"155,988",101,110,"61,242,700","1,240,227,000","8,056","164,044",327,446,"72,033,300","1,312,260,300","9,324","173,368",326,452,"3,166,400","1,315,426,700",479,"173,847",91,97,"2,719,900","1,318,146,600",414,"174,261",84,86,"289,374,900","38,304"
7,유전,2018-06-07,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,공포(호러),아리 애스터,"토니 콜렛,가브리엘 번,알렉스 울프,밀리 샤피로","68,699,500","1,114,344,025","7,803","126,967",154,215,"29,084,100","1,143,428,125","3,389","130,356",133,216,"44,121,200","1,187,549,325","4,766","135,122",135,224,"69,450,500","1,256,999,825","7,548","142,670",127,213,"52,346,600","1,309,346,425","5,642","148,312",127,212,"25,394,000","1,334,740,425","2,879","151,191",132,234,"23,961,300","1,358,701,725","2,842","154,033",137,245,"313,057,200","34,869"
8,토니스토리2: 고철왕국의 친구들,2018-06-13,독일,독일,,(주)박수엔터테인먼트,전체관람가,"애니메이션,코미디,어드벤처","토마스 보덴스타인,마커스 하먼","신정훈,이민형,오은수,송영인","49,774,000","49,774,000","6,441","6,441",268,330,"2,412,200","52,186,200",373,"6,814",75,76,"4,898,200","57,084,400",704,"7,518",97,101,"18,158,700","75,243,100","2,340","9,858",227,260,"19,929,100","95,172,200","2,557","12,415",220,257,"1,844,800","97,017,000",284,"12,699",70,72,"1,953,900","98,970,900",299,"12,998",63,64,"98,970,900","12,998"
9,데드풀 2,2018-05-16,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,어드벤처,코미디,SF",데이빗 레이치,"라이언 레놀즈,조슈 브롤린,재지 비츠,모레나 바카린,브리아나 힐데브란드","24,437,700","34,063,310,139","2,637","3,770,874",53,89,"10,327,400","34,073,637,539","1,246","3,772,120",57,101,"15,045,800","34,088,683,339","1,668","3,773,788",63,107,"20,164,000","34,108,847,339","2,136","3,775,924",52,83,"16,478,400","34,125,325,739","1,772","3,777,696",50,81,"6,198,300","34,131,524,039",760,"3,778,456",52,94,"7,922,300","34,139,446,339",968,"3,779,424",55,96,"100,573,900","11,187"
