기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-01-31 ~ 2018-02-06 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-01-31,,,,,,2018-02-01,,,,,,2018-02-02,,,,,,2018-02-03,,,,,,2018-02-04,,,,,,2018-02-05,,,,,,2018-02-06,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,염력,2018-01-31,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,코미디",연상호,"류승룡,심은경,박정민,김민재,정유미,이승용,예수정","1,617,251,600","1,677,551,600","264,713","273,294","1,099","6,347","763,126,000","2,440,677,600","101,926","375,220","1,053","6,001","862,511,977","3,303,189,577","103,337","478,557","1,051","5,721","1,716,634,380","5,019,823,957","204,077","682,634",946,"5,174","1,373,258,900","6,393,082,857","164,349","846,983",917,"4,736","265,175,200","6,658,258,057","35,465","882,448",839,"4,080","224,531,800","6,882,789,857","30,414","912,862",839,"3,812","6,822,489,857","904,281"
2,그것만이 내 세상,2018-01-17,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,"이병헌,윤여정,박정민,한지민,김성령,이주영","721,935,500","18,329,340,652","123,036","2,286,496",706,"2,774","486,700,800","18,816,041,452","64,567","2,351,063",668,"2,666","653,966,837","19,470,008,289","78,476","2,429,539",746,"2,872","1,565,487,648","21,035,495,937","186,731","2,616,270",855,"3,358","1,477,505,600","22,513,001,537","175,811","2,792,081",863,"3,371","407,497,000","22,920,498,537","53,838","2,845,919",793,"3,161","414,881,500","23,335,380,037","55,685","2,901,604",840,"3,264","5,727,974,885","738,144"
3,코코,2018-01-11,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫","411,756,400","21,507,202,716","69,621","2,735,668",665,"1,785","257,535,200","21,764,737,916","34,536","2,770,204",602,"1,657","324,029,500","22,088,767,416","39,372","2,809,576",649,"1,705","1,002,101,600","23,090,869,016","122,757","2,932,333",805,"2,146","942,566,100","24,033,435,116","115,294","3,047,627",805,"2,177","197,730,100","24,231,165,216","26,150","3,073,777",629,"1,739","188,034,900","24,419,200,116","25,451","3,099,228",681,"1,750","3,323,753,800","433,181"
4,인시디어스4: 라스트 키,2018-01-31,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"공포(호러),미스터리,스릴러",애덤 로비텔,"스펜서 로크,린 샤예,조시 스튜어트,하비에르 보텟","628,848,500","632,062,500","102,994","103,372",601,"2,017","365,393,000","997,455,500","47,745","151,117",632,"2,110","431,416,480","1,428,871,980","51,261","202,378",674,"2,328","747,871,384","2,176,743,364","89,017","291,395",769,"2,602","609,603,100","2,786,346,464","71,834","363,229",733,"2,438","211,492,900","2,997,839,364","27,340","390,569",624,"2,159","187,165,700","3,185,005,064","24,381","414,950",610,"2,053","3,181,791,064","414,572"
5,신과함께-죄와 벌,2017-12-20,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈","209,579,100","112,766,573,837","34,634","14,051,734",504,"1,095","145,546,100","112,912,119,937","19,625","14,071,359",471,"1,006","195,021,900","113,107,141,837","23,286","14,094,645",492,"1,050","442,316,400","113,549,458,237","52,378","14,147,023",534,"1,150","418,652,200","113,968,110,437","49,347","14,196,370",533,"1,131","143,441,200","114,111,551,637","19,098","14,215,468",487,"1,139","127,790,100","114,239,341,737","17,177","14,232,645",501,"1,142","1,682,347,000","215,545"
6,메이즈 러너: 데스 큐어,2018-01-17,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍","238,325,100","17,134,709,125","40,704","2,080,985",502,"1,138","149,036,500","17,283,745,625","19,624","2,100,609",464,"1,003","195,694,743","17,479,440,368","23,569","2,124,178",472,"1,031","364,251,536","17,843,691,904","43,638","2,167,816",508,978,"319,486,200","18,163,178,104","38,545","2,206,361",499,969,"111,307,500","18,274,485,604","14,653","2,221,014",471,"1,015","101,555,200","18,376,040,804","13,318","2,234,332",477,"1,014","1,479,656,779","194,051"
7,12 솔져스,2018-01-31,미국,미국,,(주)제이앤씨미디어그룹,15세이상관람가,"액션,드라마,전쟁",니콜라이 퓰시,"크리스 헴스워스,마이클 섀넌,마이클 페나,트레반트 로즈","159,644,500","190,916,600","25,712","29,132",184,871,"115,750,400","306,667,000","14,591","43,723",183,824,"148,977,700","455,644,700","17,024","60,747",181,799,"313,153,200","768,797,900","35,409","96,156",198,777,"295,627,000","1,064,424,900","33,582","129,738",206,780,"103,593,000","1,168,017,900","12,991","142,729",200,778,"91,873,900","1,259,891,800","11,378","154,107",211,762,"1,228,619,700","150,687"
8,1987,2017-12-27,한국,한국,(주)우정필름,씨제이이앤엠(주),15세이상관람가,드라마,장준환,"김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤","133,409,100","57,134,536,345","22,463","7,101,124",404,759,"88,140,400","57,222,676,745","11,916","7,113,040",384,668,"114,417,200","57,337,093,945","13,966","7,127,006",401,685,"209,234,700","57,546,328,645","24,901","7,151,907",387,636,"199,378,100","57,745,706,745","23,629","7,175,536",397,641,"62,977,700","57,808,684,445","8,412","7,183,948",413,706,"58,442,600","57,867,127,045","7,861","7,191,809",417,707,"865,999,800","113,148"
9,마야2,2018-02-01,독일,독일,,(주)영화사 빅,전체관람가,애니메이션,"노엘 클리어리,세르지오 델피노","김서영,김명준,김소희,임채헌,윤세웅,오인실,이소은,석승훈,이규창","4,159,500","25,025,500",522,"2,810",5,5,"43,195,300","68,220,800","6,242","9,052",314,359,"31,825,700","100,046,500","4,557","13,609",296,353,"156,388,400","256,434,900","20,592","34,201",407,599,"162,088,600","418,523,500","21,016","55,217",429,625,"16,071,800","434,595,300","2,370","57,587",246,294,"19,297,500","453,892,800","3,165","60,752",253,289,"433,026,800","58,464"
