기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-01-24 ~ 2018-01-30 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-01-24,,,,,,2018-01-25,,,,,,2018-01-26,,,,,,2018-01-27,,,,,,2018-01-28,,,,,,2018-01-29,,,,,,2018-01-30,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,그것만이 내 세상,2018-01-17,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,"이병헌,윤여정,박정민,한지민,김성령,이주영","711,562,900","9,749,686,290","92,672","1,206,927",754,"3,020","756,445,000","10,506,131,290","98,165","1,305,092",791,"3,115","992,149,124","11,498,280,414","117,046","1,422,138",839,"3,349","2,368,328,238","13,866,608,652","279,710","1,701,848",951,"3,844","2,334,250,100","16,200,858,752","275,942","1,977,790",956,"3,803","718,225,600","16,919,084,352","94,155","2,071,945",866,"3,574","688,320,800","17,607,405,152","91,515","2,163,460",884,"3,574","8,569,281,762","1,049,205"
2,코코,2018-01-11,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫","455,252,200","15,881,498,333","62,595","2,006,916",723,"2,144","478,703,400","16,360,201,733","65,984","2,072,900",751,"2,139","611,183,147","16,971,384,880","76,138","2,149,038",812,"2,315","1,692,409,536","18,663,794,416","207,865","2,356,903","1,025","3,032","1,622,452,000","20,286,246,416","199,350","2,556,253","1,021","3,007","406,936,600","20,693,183,016","54,634","2,610,887",796,"2,467","402,263,300","21,095,446,316","55,160","2,666,047",814,"2,475","5,669,200,183","721,726"
3,메이즈 러너: 데스 큐어,2018-01-17,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍","545,297,200","12,650,646,463","70,060","1,530,651",765,"2,902","483,345,600","13,133,992,063","61,865","1,592,516",728,"2,761","612,339,524","13,746,331,587","71,143","1,663,659",729,"2,815","1,319,709,738","15,066,041,325","153,963","1,817,622",771,"2,880","1,162,606,400","16,228,647,725","136,109","1,953,731",756,"2,769","351,186,900","16,579,834,625","45,377","1,999,108",695,"2,612","316,549,400","16,896,384,025","41,173","2,040,281",693,"2,583","4,791,034,762","579,690"
4,신과함께-죄와 벌,2017-12-20,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈","289,826,900","109,831,577,137","39,238","13,681,284",550,"1,525","274,306,900","110,105,884,037","36,902","13,718,186",553,"1,473","354,185,700","110,460,069,737","42,076","13,760,262",590,"1,577","797,295,300","111,257,365,037","94,386","13,854,648",698,"1,820","791,371,400","112,048,736,437","93,734","13,948,382",704,"1,810","257,512,500","112,306,248,937","34,521","13,982,903",616,"1,705","250,745,800","112,556,994,737","34,197","14,017,100",626,"1,712","3,015,244,500","375,054"
5,1987,2017-12-27,한국,한국,(주)우정필름,씨제이이앤엠(주),15세이상관람가,드라마,장준환,"김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤","272,188,300","54,778,178,745","35,857","6,805,996",547,"1,816","249,946,400","55,028,125,145","33,264","6,839,260",562,"1,706","313,169,100","55,341,294,245","36,987","6,876,247",578,"1,733","656,925,300","55,998,219,545","77,436","6,953,683",604,"1,666","610,028,100","56,608,247,645","72,382","7,026,065",610,"1,615","201,175,800","56,809,423,445","26,748","7,052,813",577,"1,621","191,703,800","57,001,127,245","25,848","7,078,661",586,"1,611","2,495,136,800","308,522"
6,커뮤터,2018-01-24,영국,"영국,미국",,메가박스중앙(주)플러스엠,15세이상관람가,액션,자움 콜렛 세라,"리암 니슨,베라 파미가,패트릭 윌슨,샘 닐","265,166,800","298,896,900","35,006","39,676",553,"2,593","248,825,700","547,722,600","32,942","72,618",543,"2,389","283,711,829","831,434,429","33,446","106,064",548,"2,157","526,717,526","1,358,151,955","62,288","168,352",575,"1,763","461,268,800","1,819,420,755","54,826","223,178",559,"1,637","146,160,100","1,965,580,855","19,287","242,465",521,"1,693","125,089,000","2,090,669,855","16,663","259,128",521,"1,633","2,056,939,755","254,458"
7,1급기밀,2018-01-24,한국,한국,"(주)미인픽쳐스,(주)미디어모굴",(주)리틀빅픽쳐스,12세이상관람가,드라마,홍기선,"김상경,김옥빈,최무성,최귀화,김병철,최고,이지원","181,680,800","254,414,300","24,259","33,298",440,"1,531","164,758,500","419,172,800","21,911","55,209",461,"1,465","192,769,600","611,942,400","22,959","78,168",474,"1,417","379,919,500","991,861,900","45,379","123,547",511,"1,267","341,523,600","1,333,385,500","40,843","164,390",512,"1,219","119,574,100","1,452,959,600","15,994","180,384",479,"1,275","113,258,300","1,566,217,900","15,394","195,778",482,"1,262","1,493,484,400","186,739"
8,비밥바룰라,2018-01-24,한국,한국,영화사김치(주),씨네그루(주)키다리이엔티,12세이상관람가,코미디,이성재,"박인환,신구,임현식,윤덕용,김인권,이채은,이은우,최선자,성병숙","64,972,100","81,858,100","8,922","10,898",347,647,"38,644,300","120,502,400","6,087","16,985",347,648,"35,665,100","156,167,500","5,399","22,384",325,560,"45,797,300","201,964,800","5,986","28,370",310,475,"43,196,100","245,160,900","6,100","34,470",302,459,"22,214,800","267,375,700","3,800","38,270",291,468,"19,212,500","286,588,200","2,936","41,206",304,470,"269,702,200","39,230"
9,위대한 쇼맨,2017-12-20,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,뮤지컬",마이클 그레이시,"휴 잭맨,잭 에프런,미쉘 윌리엄스,레베카 퍼거슨,젠다야 콜맨","32,218,600","10,622,242,200","4,131","1,296,317",106,165,"29,050,600","10,651,292,800","3,722","1,300,039",104,141,"40,341,100","10,691,633,900","4,590","1,304,629",111,163,"66,695,200","10,758,329,100","7,589","1,312,218",103,166,"62,031,500","10,820,360,600","7,070","1,319,288",101,172,"31,852,800","10,852,213,400","4,118","1,323,406",113,184,"32,930,500","10,885,143,900","4,286","1,327,692",110,188,"295,120,300","35,506"
