기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2017-05-24 ~ 2017-05-30 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2017-05-24,,,,,,2017-05-25,,,,,,2017-05-26,,,,,,2017-05-27,,,,,,2017-05-28,,,,,,2017-05-29,,,,,,2017-05-30,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,코미디","요아킴 뢰닝,에스펜 샌버그","조니 뎁,카야 스코델라리오,올랜도 블룸,하비에르 바르뎀,브렌튼 스웨이츠,제프리 러쉬,데이빗 웬햄,골시프테 파라하니,스티븐 그레이엄,케빈 맥널리,폴 매카트니,마틴 클레바,로드니 아피프","1,614,550,800","1,633,845,800","206,541","208,400","1,357","6,955","1,270,927,600","2,904,773,400","162,826","371,226","1,309","6,665","1,908,727,515","4,813,500,915","220,949","592,175","1,329","6,798","4,239,776,605","9,053,277,520","488,214","1,080,389","1,324","7,040","3,849,478,200","12,902,755,720","446,266","1,526,655","1,314","6,820","897,045,000","13,799,800,720","116,006","1,642,661","1,204","6,138","766,646,100","14,566,446,820","100,048","1,742,709","1,212","6,086","14,547,151,820","1,740,850"
2,노무현입니다,2017-05-25,한국,한국,영화사 풀,"CGV아트하우스,영화사 풀",12세이상관람가,다큐멘터리,이창재,"노무현,이상호","5,094,000","67,167,900",685,"7,328",5,8,"586,213,900","653,381,800","78,816","86,144",580,"2,743","792,506,705","1,445,888,505","94,985","181,129",659,"3,017","1,721,566,407","3,167,454,912","205,704","386,833",775,"3,578","1,736,580,900","4,904,035,812","209,858","596,691",763,"3,503","572,126,700","5,476,162,512","77,835","674,526",685,"3,356","511,103,600","5,987,266,112","70,693","745,219",710,"3,380","5,925,192,212","738,576"
3,겟 아웃,2017-05-17,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),미스터리,스릴러,드라마",조던 필레,"다니엘 칼루야,앨리슨 윌리암스,브래들리 휘트포드,캐서린 키너","548,389,600","10,329,561,855","71,894","1,261,443",636,"2,985","450,006,400","10,779,568,255","58,759","1,320,202",567,"2,595","711,486,315","11,491,054,570","84,409","1,404,611",596,"2,631","1,433,857,305","12,924,911,875","170,299","1,574,910",602,"2,724","1,251,707,800","14,176,619,675","147,898","1,722,808",616,"2,696","314,880,700","14,491,500,375","41,046","1,763,854",563,"2,565","270,834,500","14,762,334,875","35,637","1,799,491",580,"2,581","4,981,162,620","609,942"
4,불한당: 나쁜 놈들의 세상,2017-05-17,한국,한국,"씨제이이앤엠(주),(주)바른손",씨제이이앤엠(주),청소년관람불가,"범죄,액션,드라마",변성현,"설경구,임시완,김희원,전혜진,이경영,김성오,허준호,박정주,박지호,박형우,임효은,정기욱,주현수,윤준희,최형욱,이미소,이시훈,이영호,이은비,이인규,이정우,이정호,김말구,문지윤","217,414,200","5,760,328,845","29,212","712,525",497,"1,931","170,543,500","5,930,872,345","22,610","735,135",461,"1,368","222,835,285","6,153,707,630","26,798","761,933",471,"1,374","360,448,295","6,514,155,925","42,571","804,504",485,"1,142","355,677,600","6,869,833,525","41,762","846,266",462,"1,106","144,208,700","7,014,042,225","19,379","865,645",474,"1,345","142,523,300","7,156,565,525","19,233","884,878",486,"1,347","1,613,650,880","201,565"
5,보스 베이비,2017-05-03,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,코미디,가족",톰 맥그라스,"알렉 볼드윈,리사 쿠드로,스티브 부세미,토비 맥과이어,지미 키멜","46,004,000","17,313,974,604","6,424","2,236,518",309,544,"30,931,400","17,344,906,004","4,303","2,240,821",260,368,"44,484,000","17,389,390,004","5,589","2,246,410",265,371,"337,786,900","17,727,176,904","43,734","2,290,144",493,968,"392,090,200","18,119,267,104","50,392","2,340,536",500,997,"29,680,300","18,148,947,404","4,278","2,344,814",259,366,"28,380,100","18,177,327,504","3,937","2,348,751",262,387,"909,356,900","118,657"
6,보안관,2017-05-03,한국,한국,"(주)영화사 월광,(주)사나이픽처스",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,코미디",김형주,"이성민,조진웅,김성균,김종수,조우진,임현성,배정남,염진환,박윤호,박지훈,신지훈,이규섭,이동현,최형욱,이윤희,이정은,손여은","59,466,000","20,552,649,609","8,478","2,549,414",334,789,"36,578,300","20,589,227,909","5,386","2,554,800",250,437,"44,058,400","20,633,286,309","5,611","2,560,411",239,419,"67,881,700","20,701,168,009","8,253","2,568,664",222,335,"57,974,500","20,759,142,509","6,906","2,575,570",212,321,"21,935,500","20,781,078,009","3,030","2,578,600",230,390,"23,777,500","20,804,855,509","3,407","2,582,007",223,375,"311,671,900","41,071"
7,킹 아서: 제왕의 검,2017-05-17,영국,"영국,호주,미국",,워너브러더스 코리아(주),12세이상관람가,"판타지,액션,어드벤처",가이 리치,"찰리 허냄,주드 로,에릭 바나,에이단 길렌,디몬 하운수,아스트리드 베흐제-프리스베,애나벨 월리스,케이티 맥그라스","59,956,700","3,131,662,655","8,216","383,668",397,937,"31,813,400","3,163,476,055","4,495","388,163",323,543,"39,756,600","3,203,232,655","5,014","393,177",313,529,"63,070,200","3,266,302,855","7,988","401,165",280,396,"55,205,600","3,321,508,455","7,033","408,198",270,373,"21,551,700","3,343,060,155","3,075","411,273",289,456,"22,022,500","3,365,082,655","3,160","414,433",288,445,"293,376,700","38,981"
8,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼","43,074,000","23,133,451,086","5,708","2,696,205",242,464,"28,566,800","23,162,017,886","3,854","2,700,059",167,255,"43,176,800","23,205,194,686","5,146","2,705,205",168,259,"75,066,800","23,280,261,486","8,768","2,713,973",145,209,"70,700,800","23,350,962,286","8,350","2,722,323",139,204,"23,900,700","23,374,862,986","3,177","2,725,500",159,259,"23,634,900","23,398,497,886","3,192","2,728,692",155,258,"308,120,800","38,195"
9,너와 100번째 사랑,2017-05-25,일본,일본,,(주)디스테이션,12세이상관람가,"드라마,멜로/로맨스",츠키카와 쇼,"사카구치 켄타로,미와,류세이 료",0,"13,139,300",0,"1,651",0,0,"36,050,500","49,189,800","4,851","6,502",114,300,"50,398,000","99,587,800","6,105","12,607",119,309,"73,313,500","172,901,300","8,805","21,412",135,300,"71,973,500","244,874,800","8,720","30,132",140,297,"25,695,500","270,570,300","3,433","33,565",121,307,"25,679,500","296,249,800","3,457","37,022",122,311,"283,110,500","35,371"
