기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2017-02-15 ~ 2017-02-21 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2017-02-15,,,,,,2017-02-16,,,,,,2017-02-17,,,,,,2017-02-18,,,,,,2017-02-19,,,,,,2017-02-20,,,,,,2017-02-21,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,재심,2017-02-15,한국,한국,(주)이디오플랜,"오퍼스픽쳐스,CGV아트하우스",15세이상관람가,드라마,김태윤,"정우,강하늘,김해숙,이동휘,한재영,이경영,박희정,우상기,조해진,유지현,이다은,이동희,이동준,이승훈,한하늘,이정수,이정은,이종재,김진욱,김소진,김하나,최정헌","916,887,400","1,014,371,400","121,122","134,255",727,"3,577","1,005,300,000","2,019,671,400","133,292","267,547",789,"3,664","1,325,871,259","3,345,542,659","158,861","426,408",831,"3,920","2,609,252,599","5,954,795,258","309,045","735,453",935,"4,454","2,430,864,550","8,385,659,808","287,337","1,022,790",924,"4,358","855,173,500","9,240,833,308","113,754","1,136,544",847,"4,090","794,784,200","10,035,617,508","106,084","1,242,628",865,"4,099","9,938,133,508","1,229,495"
2,조작된 도시,2017-02-09,한국,한국,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",씨제이이앤엠(주),15세이상관람가,"범죄,액션",박광현,"지창욱,심은경,안재홍,오정세,김상호,김민교,김기천,이하늬,박재민,박정환,박주현,박준규,박지홍,장민준,전영욱,정근수,정상문,신동호,신민철,정이삭,오준표,오지홍,조진규,윤성민,최경미,최경식,최창국,이민호,이민호,이상진,이석,이석,이수빈,한성관,이유진,이정훈,이정훈,이종혁,노남석,백승철","655,763,900","11,541,976,644","88,129","1,435,368",686,"2,878","566,544,100","12,108,520,744","75,708","1,511,076",729,"2,923","763,363,690","12,871,884,434","91,801","1,602,877",773,"3,218","1,620,878,074","14,492,762,508","192,248","1,795,125",829,"3,516","1,509,223,700","16,001,986,208","179,139","1,974,264",821,"3,406","473,420,400","16,475,406,608","63,134","2,037,398",738,"3,130","441,554,300","16,916,960,908","59,236","2,096,634",747,"3,145","6,030,748,164","749,395"
3,그레이트 월,2017-02-15,미국,"미국,중국",,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"판타지,액션",장예모,"맷 데이먼,페드로 파스칼,윌렘 데포,유덕화,루한,경첨,너맨 아카,펑위옌,장한위","377,515,500","405,105,500","46,451","48,549",593,"3,088","407,649,200","812,754,700","49,801","98,350",598,"2,860","531,290,259","1,344,044,959","58,707","157,057",569,"2,666","1,035,449,099","2,379,494,058","112,413","269,470",583,"2,420","925,858,300","3,305,352,358","101,656","371,126",585,"2,364","258,180,100","3,563,532,458","31,741","402,867",547,"2,351","210,389,600","3,773,922,058","26,100","428,967",545,"2,298","3,746,332,058","426,869"
4,공조,2017-01-18,한국,한국,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",씨제이이앤엠(주),15세이상관람가,액션,김성훈,"현빈,유해진,김주혁,장영남,이해영,윤아,이동휘,박형수,서은지,신유철,이재남,공정환,김준한","303,371,300","60,730,938,448","40,953","7,437,836",511,"1,657","264,392,400","60,995,330,848","36,022","7,473,858",557,"1,549","347,836,051","61,343,166,899","41,352","7,515,210",536,"1,606","687,210,327","62,030,377,226","80,982","7,596,192",539,"1,614","604,653,800","62,635,031,026","71,218","7,667,410",521,"1,533","198,335,500","62,833,366,526","26,372","7,693,782",513,"1,490","187,502,300","63,020,868,826","25,227","7,719,009",510,"1,480","2,593,301,678","322,126"
5,트롤,2017-02-16,미국,미국,드림웍스 애니메이션,씨제이이앤엠(주),전체관람가,애니메이션,"마이크 미첼,월트 도른","안나 켄드릭,저스틴 팀버레이크,주이 디샤넬,크리스토퍼 민츠 플라세,크리스틴 바란스키,제프리 탬보,러셀 브랜드,쿠널 나이어,그웬 스테파니,제임스 코든,존 클리즈,쿠벤자네 왈리스,월트 도른,이성경,박형식,김하영,엄상현,전숙경,장광,이현,김명준,김도영,신용우",0,"15,824,000",0,"1,978",0,0,"194,536,300","210,360,300","29,500","31,478",507,985,"228,837,200","439,197,500","31,417","62,895",529,"1,032","597,592,900","1,036,790,400","76,759","139,654",592,"1,319","599,620,900","1,636,411,300","76,052","215,706",622,"1,382","169,652,100","1,806,063,400","25,368","241,074",518,"1,109","211,935,700","2,017,999,100","31,739","272,813",520,"1,096","2,002,175,100","270,835"
6,더 큐어,2017-02-15,미국,"미국,독일",,이십세기폭스코리아(주),청소년관람불가,"미스터리,스릴러",고어 버빈스키,"데인 드한,제이슨 아이삭스,미아 고스,셀리아 임리","202,013,400","215,624,400","25,961","27,657",405,"1,204","179,395,600","395,020,000","23,007","50,664",408,"1,172","194,924,400","589,944,400","22,178","72,842",419,"1,149","269,240,300","859,184,700","30,307","103,149",412,"1,005","207,478,600","1,066,663,300","23,307","126,456",400,951,"102,257,000","1,168,920,300","12,983","139,439",401,"1,020","86,839,900","1,255,760,200","11,077","150,516",399,977,"1,242,149,200","148,820"
7,마이펫 오지,2017-02-16,스페인,"스페인,캐나다",,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처",알베르토 로드리게즈,,"5,652,000","13,604,000",844,"1,838",7,7,"114,609,700","128,213,700","16,002","17,840",390,566,"62,687,400","190,901,100","8,423","26,263",357,534,"151,426,150","342,327,250","19,528","45,791",393,693,"141,799,200","484,126,450","17,912","63,703",392,680,"44,936,400","529,062,850","6,558","70,261",329,531,"59,465,300","588,528,150","8,716","78,977",344,531,"580,576,150","77,983"
8,발레리나,2017-02-09,프랑스,"프랑스,캐나다",,판씨네마(주),전체관람가,"애니메이션,어드벤처,가족,뮤지컬","에릭 섬머,에릭 와린","엘르 패닝,데인 드한","54,502,700","902,714,500","8,197","120,445",284,379,"34,130,400","936,844,900","5,092","125,537",167,196,"42,332,100","979,177,000","5,647","131,184",182,211,"101,880,700","1,081,057,700","12,964","144,148",235,305,"105,363,600","1,186,421,300","13,350","157,498",242,319,"31,002,100","1,217,423,400","4,511","162,009",181,226,"44,125,700","1,261,549,100","6,469","168,478",190,236,"413,337,300","56,230"
9,트리플 엑스 리턴즈,2017-02-08,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,스릴러",D.J. 카루소,"빈 디젤,사무엘 L. 잭슨,루비 로즈,니나 도브레브,토니 콜렛,디피카 파드콘,토니 자","51,332,000","3,633,651,195","6,815","434,853",311,640,"39,208,200","3,672,859,395","5,193","440,046",275,525,"51,954,100","3,724,813,495","6,054","446,100",285,552,"91,178,900","3,815,992,395","10,425","456,525",272,475,"76,093,200","3,892,085,595","8,748","465,273",275,448,"28,340,400","3,920,425,995","3,770","469,043",259,436,"25,856,600","3,946,282,595","3,432","472,475",250,429,"363,963,400","44,437"
