기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2017-02-08 ~ 2017-02-14 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2017-02-08,,,,,,2017-02-09,,,,,,2017-02-10,,,,,,2017-02-11,,,,,,2017-02-12,,,,,,2017-02-13,,,,,,2017-02-14,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,조작된 도시,2017-02-09,한국,한국,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",씨제이이앤엠(주),15세이상관람가,"범죄,액션",박광현,"지창욱,심은경,안재홍,오정세,김상호,김민교,김기천,이하늬,박재민,박정환,박주현,박준규,박지홍,장민준,전영욱,정근수,정상문,신동호,신민철,정이삭,오준표,오지홍,조진규,윤성민,최경미,최경식,최창국,이민호,이민호,이상진,이석,이석,이수빈,한성관,이유진,이정훈,이정훈,이종혁,노남석,백승철","31,882,000","148,567,200","3,909","18,203",20,29,"1,177,376,000","1,325,943,200","157,669","175,872",771,"3,503","1,551,046,539","2,876,989,739","186,738","362,610",825,"3,784","2,960,746,805","5,837,736,544","353,192","715,802","1,006","4,495","2,985,432,400","8,823,168,944","356,648","1,072,450","1,019","4,471","978,097,300","9,801,266,244","130,484","1,202,934",886,"4,125","1,084,946,500","10,886,212,744","144,305","1,347,239",900,"4,173","10,769,527,544","1,332,945"
2,공조,2017-01-18,한국,한국,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",씨제이이앤엠(주),15세이상관람가,액션,김성훈,"현빈,유해진,김주혁,장영남,이해영,윤아,이동휘,박형수,서은지,신유철,이재남,공정환,김준한","847,015,900","54,110,747,587","113,012","6,627,878",942,"4,564","681,229,400","54,791,976,987","90,606","6,718,484",742,"3,271","880,984,312","55,672,961,299","104,469","6,822,953",748,"3,345","1,929,374,549","57,602,335,848","225,583","7,048,536",803,"3,552","1,817,148,100","59,419,483,948","213,339","7,261,875",811,"3,468","490,600,900","59,910,084,848","65,398","7,327,273",729,"3,198","517,482,300","60,427,567,148","69,610","7,396,883",753,"3,220","7,163,835,461","882,017"
3,트리플 엑스 리턴즈,2017-02-08,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,스릴러",D.J. 카루소,"빈 디젤,사무엘 L. 잭슨,루비 로즈,니나 도브레브,토니 콜렛,디피카 파드콘,토니 자","536,597,600","547,915,600","68,598","69,608",581,"2,943","343,727,300","891,642,900","43,816","113,424",541,"2,469","432,633,449","1,324,276,349","49,555","162,979",554,"2,492","910,730,146","2,235,006,495","104,170","267,149",590,"2,420","882,426,100","3,117,432,595","101,190","368,339",580,"2,305","227,658,100","3,345,090,695","29,366","397,705",542,"2,227","237,228,500","3,582,319,195","30,333","428,038",546,"2,200","3,571,001,195","427,028"
4,더 킹,2017-01-18,한국,한국,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",한재림,"조인성,정우성,배성우,김아중,류준열,김의성,김민재,정성모,정은채,김소진,황승언,이주연,정준용,박시영,임승묵,박정민,박지홍,박진영,장승연,손영진,안용우,유현종,이나경,이석호,한미진,이승민,이윤희,김원진,김규선,남명렬,이가경,차지원,차엽","310,697,000","42,002,012,835","41,728","5,132,099",663,"2,612","189,208,600","42,191,221,435","25,352","5,157,451",466,"1,359","223,421,800","42,414,643,235","26,656","5,184,107",479,"1,371","387,276,800","42,801,920,035","45,802","5,229,909",477,"1,211","350,755,700","43,152,675,735","41,732","5,271,641",482,"1,172","118,303,900","43,270,979,635","15,844","5,287,485",477,"1,196","125,666,200","43,396,645,835","16,886","5,304,371",477,"1,196","1,705,330,000","214,000"
5,컨택트,2017-02-02,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"SF,드라마,스릴러",드니 빌뇌브,"에이미 아담스,제레미 레너,포레스트 휘테커","216,025,600","3,739,953,582","28,406","457,862",483,"1,910","123,797,000","3,863,750,582","16,178","474,040",399,949,"168,501,288","4,032,251,870","19,578","493,618",416,965,"332,495,751","4,364,747,621","37,935","531,553",422,868,"282,061,100","4,646,808,721","32,438","563,991",417,829,"89,915,300","4,736,724,021","11,734","575,725",390,855,"99,784,700","4,836,508,721","12,914","588,639",395,841,"1,312,580,739","159,183"
6,50가지 그림자: 심연,2017-02-09,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,멜로/로맨스",제임스 폴리,"제이미 도넌,다코타 존슨","1,101,000","1,101,000",159,159,3,6,"192,090,500","193,191,500","24,738","24,897",419,"1,304","222,566,700","415,758,200","25,446","50,343",424,"1,310","282,042,300","697,800,500","31,958","82,301",435,"1,085","240,771,500","938,572,000","27,065","109,366",430,"1,055","132,942,900","1,071,514,900","16,981","126,347",405,"1,166","153,785,900","1,225,300,800","19,711","146,058",417,"1,173","1,225,300,800","146,058"
7,발레리나,2017-02-09,프랑스,"프랑스,캐나다",,판씨네마(주),전체관람가,"애니메이션,어드벤처,가족,뮤지컬","에릭 섬머,에릭 와린","엘르 패닝,데인 드한","75,000","46,822,500",10,"5,826",1,1,"44,750,700","91,573,200","6,787","12,613",317,406,"62,239,100","153,812,300","8,319","20,932",325,430,"267,826,700","421,639,000","34,405","55,337",416,645,"309,297,100","730,936,100","39,352","94,689",434,686,"50,887,900","781,824,000","7,562","102,251",351,485,"66,387,800","848,211,800","9,997","112,248",353,506,"801,464,300","106,432"
8,모아나,2017-01-12,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,"론 클레멘츠,존 머스커","드웨인 존슨,아우이 크라발호,알란 터딕,제메인 클레멘트,테무에라 모리슨","80,621,500","17,064,241,707","11,805","2,182,746",389,780,"51,672,800","17,115,914,507","7,596","2,190,342",281,364,"59,218,700","17,175,133,207","7,735","2,198,077",285,362,"251,662,500","17,426,795,707","31,321","2,229,398",390,597,"283,285,800","17,710,081,507","34,967","2,264,365",401,599,"40,267,200","17,750,348,707","5,571","2,269,936",278,381,"47,993,900","17,798,342,607","6,731","2,276,667",283,380,"814,722,400","105,726"
9,명탐정 코난: 에피소드 원-작아진 명탐정,2017-02-08,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,야마모토 야스이치로,,"115,078,400","121,282,400","15,453","16,353",166,428,"62,127,500","183,409,900","8,337","24,690",172,364,"69,642,400","253,052,300","8,488","33,178",180,377,"201,436,600","454,488,900","25,197","58,375",214,430,"187,325,700","641,814,600","23,332","81,707",215,432,"35,937,900","677,752,500","4,895","86,602",174,350,"37,905,800","715,658,300","5,211","91,813",175,342,"709,454,300","90,913"
