기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2017-12-27 ~ 2018-01-02 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2017-12-27,,,,,,2017-12-28,,,,,,2017-12-29,,,,,,2017-12-30,,,,,,2017-12-31,,,,,,2018-01-01,,,,,,2018-01-02,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,신과함께-죄와 벌,2017-12-20,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈","3,021,329,100","45,007,553,919","495,106","5,696,686","1,428","5,998","2,803,729,600","47,811,283,519","377,807","6,074,493","1,505","6,547","4,414,381,670","52,225,665,189","532,755","6,607,248","1,565","7,190","7,556,661,043","59,782,326,232","908,290","7,515,538","1,666","8,257","8,568,170,200","68,350,496,432","1,023,957","8,539,495","1,663","8,332","7,715,346,100","76,065,842,532","916,689","9,456,184","1,644","7,957","2,205,552,800","78,271,395,332","294,360","9,750,544","1,446","7,019","36,285,170,513","4,548,964"
2,1987,2017-12-27,한국,한국,(주)우정필름,씨제이이앤엠(주),15세이상관람가,드라마,장준환,"김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤","1,973,650,400","2,277,747,900","331,736","367,067","1,299","6,074","1,655,660,700","3,933,408,600","221,304","588,371","1,233","5,645","2,560,147,830","6,493,556,430","306,562","894,933","1,170","5,519","4,075,364,307","10,568,920,737","487,098","1,382,031","1,079","5,122","4,685,083,300","15,254,004,037","560,046","1,942,077","1,082","5,089","4,460,740,100","19,714,744,137","531,520","2,473,597","1,097","4,982","1,643,446,600","21,358,190,737","217,249","2,690,846","1,063","5,044","21,054,093,237","2,655,515"
3,강철비,2017-12-14,한국,한국,"(주)와이웍스엔터테인먼트,(주)모팩앤알프레드",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,드라마",양우석,"정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희","457,801,400","29,181,759,422","76,078","3,665,938",610,"1,599","420,062,500","29,601,821,922","56,930","3,722,868",579,"1,512","579,655,990","30,181,477,912","70,645","3,793,513",599,"1,532","820,374,754","31,001,852,666","99,934","3,893,447",569,"1,446","993,044,900","31,994,897,566","120,846","4,014,293",585,"1,484","944,300,600","32,939,198,166","114,310","4,128,603",602,"1,451","358,155,600","33,297,353,766","48,123","4,176,726",580,"1,541","4,573,395,744","586,866"
4,위대한 쇼맨,2017-12-20,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,뮤지컬",마이클 그레이시,"휴 잭맨,잭 에프런,미쉘 윌리엄스,레베카 퍼거슨,젠다야 콜맨","229,170,200","5,193,850,331","36,053","637,730",424,821,"222,725,700","5,416,576,031","29,448","667,178",409,787,"331,952,780","5,748,528,811","39,483","706,661",411,787,"423,910,789","6,172,439,600","50,258","756,919",407,756,"484,599,600","6,657,039,200","57,668","814,587",412,792,"509,959,700","7,166,998,900","60,072","874,659",432,843,"269,267,500","7,436,266,400","35,182","909,841",444,949,"2,471,586,269","308,164"
5,극장판 포켓몬스터 너로 정했다!,2017-12-21,일본,일본,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,가족",유야마 쿠니히코,,"75,487,000","2,363,023,600","11,385","315,053",347,433,"87,471,200","2,450,494,800","12,749","327,802",320,394,"129,194,400","2,579,689,200","16,870","344,672",334,415,"267,578,600","2,847,267,800","35,443","380,115",434,633,"270,261,900","3,117,529,700","35,140","415,255",443,635,"262,886,500","3,380,416,200","34,103","449,358",417,605,"123,797,500","3,504,213,700","17,929","467,287",371,510,"1,216,677,100","163,619"
6,몬스터 패밀리,2017-12-21,독일,독일,,씨네그루(주)키다리이엔티,전체관람가,애니메이션,호거 태프,"에밀리 왓슨,닉 프로스트","68,166,600","1,972,389,700","10,677","266,068",320,389,"64,861,500","2,037,251,200","9,860","275,928",266,322,"101,124,800","2,138,376,000","13,629","289,557",294,351,"191,602,300","2,329,978,300","25,664","315,221",355,486,"201,204,400","2,531,182,700","26,393","341,614",350,479,"205,793,300","2,736,976,000","26,521","368,135",342,463,"86,870,000","2,823,846,000","12,678","380,813",298,386,"919,622,900","125,422"
7,원더,2017-12-27,미국,미국,,CGV아트하우스,전체관람가,드라마,스티븐 크보스키,"줄리아 로버츠,오웬 윌슨,제이콥 트렘블레이","79,340,700","112,922,100","12,864","17,319",161,666,"77,928,900","190,851,000","10,489","27,808",160,664,"123,133,800","313,984,800","14,882","42,690",162,614,"147,343,600","461,328,400","18,056","60,746",178,433,"171,061,300","632,389,700","20,934","81,680",178,415,"158,549,600","790,939,300","19,322","101,002",183,378,"85,593,600","876,532,900","11,397","112,399",173,512,"842,951,500","107,944"
8,뽀로로 극장판 공룡섬 대모험,2017-12-07,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"김현호,윤제완","이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현","55,435,700","5,500,262,800","8,384","728,124",142,170,"60,654,500","5,560,917,300","8,886","737,010",119,150,"76,546,900","5,637,464,200","9,891","746,901",145,195,"102,277,200","5,739,741,400","13,089","759,990",197,273,"109,147,200","5,848,888,600","13,753","773,743",208,288,"109,207,600","5,958,096,200","13,750","787,493",195,270,"50,359,500","6,008,455,700","7,200","794,693",156,217,"563,628,600","74,953"
9,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,일본,일본,,(주)박수엔터테인먼트,전체관람가,애니메이션,모리와키 마코토,,"279,000","54,154,300",39,"7,040",3,4,"57,539,500","111,693,800","8,122","15,162",150,234,"50,065,500","161,759,300","6,296","21,458",155,233,"65,238,500","226,997,800","8,359","29,817",191,308,"52,851,100","279,848,900","6,633","36,450",183,291,"47,882,900","327,731,800","5,940","42,390",166,246,"23,536,500","351,268,300","3,305","45,695",148,225,"297,393,000","38,694"
