기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2017-07-19 ~ 2017-07-25 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2017-07-19,,,,,,2017-07-20,,,,,,2017-07-21,,,,,,2017-07-22,,,,,,2017-07-23,,,,,,2017-07-24,,,,,,2017-07-25,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,덩케르크,2017-07-20,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,"액션,드라마,스릴러,전쟁",크리스토퍼 놀란,"톰 하디,마크 라이런스,케네스 브래너,킬리언 머피,제임스 다시,케빈 구스리","26,957,800","64,227,200","2,981","6,021",20,20,"1,776,036,300","1,840,263,500","224,242","230,263","1,252","7,554","2,173,063,468","4,013,326,968","248,042","478,305","1,245","7,569","4,031,277,775","8,044,604,743","460,182","938,487","1,207","7,330","3,602,600,500","11,647,205,243","411,132","1,349,619","1,181","7,026","1,229,508,100","12,876,713,343","154,426","1,504,045","1,135","6,783","1,130,024,850","14,006,738,193","141,556","1,645,601","1,153","6,680","13,969,468,793","1,642,561"
2,스파이더맨: 홈 커밍,2017-07-05,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처,SF",존 와츠,"제이콥 배덜런,톰 홀랜드,로버트 다우니 주니어,마이클 키튼,마리사 토메이,젠다야 콜맨,존 파브로,마틴 스타,로건 마샬-그린,가르셀라 보베,스탠 리,보킴 우드바인,케네스 최,토니 레볼로리,타인 달리","791,554,400","51,014,059,373","103,671","6,241,925","1,472","7,229","595,059,400","51,609,118,773","79,499","6,321,424",895,"3,744","941,842,632","52,550,961,405","113,462","6,434,886",897,"3,834","1,880,483,025","54,431,444,430","225,365","6,660,251",918,"3,841","1,628,030,050","56,059,474,480","195,009","6,855,260",914,"3,753","471,231,900","56,530,706,380","62,945","6,918,205",876,"3,606","468,059,800","56,998,766,180","62,825","6,981,030",879,"3,611","6,776,261,207","842,776"
3,47 미터,2017-07-19,영국,영국,,씨네그루(주)키다리이엔티,15세이상관람가,"스릴러,공포(호러)",조하네스 로버츠,"맨디 무어,클레어 홀트,매튜 모딘","535,406,300","564,592,300","72,116","75,603",542,"1,914","470,758,900","1,035,351,200","62,644","138,247",605,"1,894","633,263,832","1,668,615,032","77,370","215,617",701,"2,299","979,835,825","2,648,450,857","116,795","332,412",733,"2,699","908,432,100","3,556,882,957","107,567","439,979",711,"2,617","333,140,000","3,890,022,957","43,729","483,708",622,"2,597","299,187,400","4,189,210,357","39,636","523,344",633,"2,581","4,160,024,357","519,857"
4,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,하시모토 마사카즈,"박영남,양정화,김환진,강희선,여민정,정유미,정혜옥,이장원",0,"10,357,000",0,"1,058",0,0,"59,775,600","70,132,600","8,423","9,481",304,376,"78,042,800","148,175,400","10,089","19,570",325,414,"406,629,400","554,804,800","54,480","74,050",430,737,"486,617,500","1,041,422,300","63,909","137,959",547,943,"100,340,900","1,141,763,200","14,407","152,366",403,709,"112,622,300","1,254,385,500","16,356","168,722",414,710,"1,244,028,500","167,664"
5,카3: 새로운 도전,2017-07-13,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,어드벤처,코미디,가족",브라이언 피,"아미 해머,나단 필리온,오웬 윌슨","63,700,100","2,359,512,101","9,795","318,581",441,837,"42,962,500","2,402,474,601","6,815","325,396",312,463,"65,248,900","2,467,723,501","9,187","334,583",354,530,"360,646,600","2,828,370,101","47,606","382,189",538,"1,086","385,921,100","3,214,291,201","50,155","432,344",525,"1,025","74,175,700","3,288,466,901","10,893","443,237",381,641,"80,221,800","3,368,688,701","11,929","455,166",394,643,"1,072,876,700","146,380"
6,플립,2017-07-12,미국,미국,,(주)팝엔터테인먼트,12세이상관람가,"드라마,멜로/로맨스",롭 라이너,"매들린 캐롤,캘런 맥오리피","133,653,900","1,520,830,500","18,094","191,288",215,962,"96,692,400","1,617,522,900","13,054","204,342",179,670,"143,176,700","1,760,699,600","17,354","221,696",194,702,"204,210,600","1,964,910,200","24,055","245,751",211,722,"188,593,300","2,153,503,500","22,165","267,916",209,705,"100,357,800","2,253,861,300","13,401","281,317",181,722,"99,658,900","2,353,520,200","13,407","294,724",185,724,"966,343,600","121,530"
7,박열,2017-06-28,한국,한국,(유)박열문화전문회사,메가박스중앙(주)플러스엠,12세이상관람가,드라마,이준익,"이제훈,최희서,김인우,권율,민진웅,이형석,박진성,배정환,서동기,정무진,정승채,조박,윤재국,이경수,이동욱,이병훈,이성규,이승환,이신우,이영상,이재성,이정현,이종민,홍준석,달시 파켓,김준한,최정헌","165,207,000","17,582,041,695","23,249","2,289,636",557,"1,847","76,589,300","17,658,630,995","11,184","2,300,820",389,832,"88,706,400","17,747,337,395","11,516","2,312,336",385,793,"116,492,300","17,863,829,695","14,396","2,326,732",334,611,"98,425,800","17,962,255,495","12,139","2,338,871",325,575,"48,480,200","18,010,735,695","6,788","2,345,659",351,695,"47,371,100","18,058,106,795","6,838","2,352,497",341,689,"641,272,100","86,110"
8,내 사랑,2017-07-12,아일랜드,"아일랜드,캐나다",,오드,12세이상관람가,"드라마,멜로/로맨스",에이슬링 월쉬,"샐리 호킨스,에단 호크","93,991,600","978,449,800","12,746","126,020",212,652,"64,140,100","1,042,589,900","8,560","134,580",180,422,"80,664,100","1,123,254,000","9,638","144,218",187,426,"113,516,800","1,236,770,800","13,353","157,571",173,376,"100,573,500","1,337,344,300","11,616","169,187",172,364,"58,663,800","1,396,008,100","7,744","176,931",174,412,"63,923,100","1,459,931,200","8,491","185,422",169,411,"575,473,000","72,148"
9,오즈: 신기한 마법가루,2017-07-20,러시아,러시아,,(주)스마일이엔티,전체관람가,"애니메이션,어드벤처,가족",블라디미르 토로프킨,"이장원,김하영,송하림,김연우,안효민,서원석,이현,황창영","13,000","44,720,000",2,"6,070",1,1,"30,272,200","74,992,200","4,666","10,736",249,276,"29,438,500","104,430,700","4,206","14,942",238,268,"149,925,700","254,356,400","19,926","34,868",335,473,"155,033,100","409,389,500","20,130","54,998",343,487,"40,035,600","449,425,100","5,935","60,933",268,364,"47,300,700","496,725,800","7,164","68,097",282,382,"452,018,800","62,029"
