기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2015-09-30 ~ 2015-10-06 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2015-09-30,,,,,,2015-10-01,,,,,,2015-10-02,,,,,,2015-10-03,,,,,,2015-10-04,,,,,,2015-10-05,,,,,,2015-10-06,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,사도,2015-09-16,한국,한국,(주)타이거픽쳐스,(주)쇼박스,12세이상관람가,사극,이준익,"송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,안태훈,조승연,차순배","1,139,431,100","39,229,997,166","175,627","4,965,409",778,"3,789","675,674,000","39,905,671,166","113,073","5,078,482",778,"3,729","867,308,221","40,772,979,387","111,232","5,189,714",767,"3,768","1,716,961,414","42,489,940,801","214,853","5,404,567",752,"3,815","1,326,648,300","43,816,589,101","166,432","5,570,999",750,"3,634","382,457,300","44,199,046,401","51,977","5,622,976",703,"3,398","373,174,500","44,572,220,901","51,347","5,674,323",732,"3,356","6,481,654,835","884,541"
2,인턴,2015-09-24,미국,미국,,워너브러더스 코리아(주),12세이상관람가,코미디,낸시 마이어스,"앤 해서웨이,로버트 드니로,르네 루소,냇 울프,아담 드바인,앤드류 라넬스","694,721,300","6,744,793,365","105,309","839,500",445,"1,829","572,555,500","7,317,348,865","91,215","930,715",455,"1,907","906,409,097","8,223,757,962","110,777","1,041,492",526,"2,123","1,840,394,698","10,064,152,660","222,463","1,263,955",630,"2,653","1,657,667,500","11,721,820,160","199,229","1,463,184",659,"2,687","564,062,300","12,285,882,460","74,177","1,537,361",583,"2,548","597,787,600","12,883,670,060","78,903","1,616,264",598,"2,567","6,833,597,995","882,073"
3,탐정 : 더 비기닝,2015-09-24,한국,한국,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",김정훈,"권상우,성동일,박해준,이승준,조복래,오정세,박준면,이일화,서영희,강민지,홍서현,천유나,차승연,정종훈,정승연,이현기,이찬희,김승배,김은지,김태훈,김하늘,김희영,모일영,박민철,박성일,박시영,박지혜,최성원,홍은택,이해영,지대한,진용욱","880,864,800","11,391,192,913","133,381","1,439,262",596,"2,562","578,582,500","11,969,775,413","92,953","1,532,215",608,"2,727","796,294,776","12,766,070,189","100,182","1,632,397",624,"2,800","1,648,543,584","14,414,613,773","204,348","1,836,745",666,"3,064","1,365,077,300","15,779,691,073","167,999","2,004,744",663,"2,972","389,223,900","16,168,914,973","51,535","2,056,279",617,"2,787","381,966,300","16,550,881,273","51,573","2,107,852",625,"2,766","6,040,553,160","801,971"
4,메이즈 러너: 스코치 트라이얼,2015-09-16,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍","414,658,600","18,857,382,349","63,799","2,384,265",457,"1,929","201,188,000","19,058,570,349","32,270","2,416,535",388,"1,608","319,711,900","19,378,282,249","40,600","2,457,135",400,"1,633","682,837,300","20,061,119,549","85,948","2,543,083",414,"1,583","519,296,200","20,580,415,749","64,971","2,608,054",414,"1,537","128,211,600","20,708,627,349","16,875","2,624,929",372,"1,427","130,192,300","20,838,819,649","17,355","2,642,284",381,"1,389","2,396,095,900","321,818"
5,베테랑,2015-08-05,한국,한국,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,"황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류선영,정재헌,안길강,마동석,김응수,고규필","206,451,300","103,838,768,650","29,799","13,240,065",272,576,"113,595,500","103,952,364,150","18,426","13,258,491",243,527,"135,335,100","104,087,699,250","16,941","13,275,432",255,567,"293,779,600","104,381,478,850","36,165","13,311,597",294,690,"239,978,300","104,621,457,150","29,470","13,341,067",292,670,"77,031,900","104,698,489,050","10,342","13,351,409",272,636,"71,387,500","104,769,876,550","9,616","13,361,025",263,610,"1,137,559,200","150,759"
6,서부전선,2015-09-24,한국,한국,(주)하리마오픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"전쟁,드라마",천성일,"설경구,여진구,이경영,정성화,정인기,김원해,김태훈,정석원,한민수,조상원,이찬유,김선영,이은형,이소명,유순철,김동규,오성택,김명환,김민지,김종석,김지영,김태훈,박시연,박아형,박지연,박지원,최호중,김시은,조희봉,정재훈","141,915,700","4,123,822,800","21,874","522,978",402,"1,273","76,342,500","4,200,165,300","12,818","535,796",350,924,"77,592,100","4,277,757,400","10,318","546,114",344,889,"140,104,600","4,417,862,000","17,959","564,073",339,761,"117,486,400","4,535,348,400","14,800","578,873",326,726,"42,071,000","4,577,419,400","5,867","584,740",306,700,"41,320,900","4,618,740,300","5,835","590,575",312,690,"636,833,200","89,471"
7,뮨: 달의 요정,2015-09-24,프랑스,프랑스,,씨네그루(주)다우기술,전체관람가,애니메이션,"알렉상드르 헤보얀,베노이트 필립폰","조슈아 J. 발라드,오마 사이","92,642,500","1,323,260,300","13,718","180,038",233,320,"21,626,500","1,344,886,800","3,902","183,940",120,157,"31,404,100","1,376,290,900","4,307","188,247",134,182,"209,474,300","1,585,765,200","28,818","217,065",281,474,"183,330,800","1,769,096,000","24,747","241,812",283,494,"6,275,000","1,775,371,000",897,"242,709",104,127,"7,953,100","1,783,324,100","1,183","243,892",120,148,"552,706,300","77,572"
8,에베레스트,2015-09-24,미국,"미국,영국",,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"어드벤처,드라마,스릴러",발타자르 코루마쿠르,"제이슨 클락,조슈 브롤린,키이라 나이틀리,샘 워싱턴,제이크 질렌할","128,580,900","2,557,992,848","16,719","276,347",272,705,"59,001,000","2,616,993,848","8,090","284,437",167,385,"70,477,400","2,687,471,248","7,591","292,028",171,382,"132,195,000","2,819,666,248","13,369","305,397",159,334,"100,337,500","2,920,003,748","10,426","315,823",150,308,"31,940,400","2,951,944,148","3,797","319,620",167,357,"35,050,700","2,986,994,848","4,084","323,704",163,355,"557,582,900","64,076"
9,주온: 더 파이널,2015-10-01,일본,일본,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,공포(호러),오치아이 마사유키,"타이라 아이리,키리야마 렌,사사키 노조미",0,"894,000",0,149,0,0,"65,389,000","66,283,000","10,473","10,622",318,909,"84,538,500","150,821,500","10,602","21,224",317,849,"117,184,700","268,006,200","14,810","36,034",309,706,"84,422,600","352,428,800","10,501","46,535",300,651,"28,992,100","381,420,900","3,789","50,324",283,549,"26,057,400","407,478,300","3,419","53,743",275,527,"406,584,300","53,594"
