기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2015-07-15 ~ 2015-07-21 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2015-07-15,,,,,,2015-07-16,,,,,,2015-07-17,,,,,,2015-07-18,,,,,,2015-07-19,,,,,,2015-07-20,,,,,,2015-07-21,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,인사이드 아웃,2015-07-09,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,코미디",피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더","768,460,300","7,982,621,705","100,470","1,022,890",594,"2,618","794,583,300","8,777,205,005","103,958","1,126,848",583,"2,591","1,291,292,567","10,068,497,572","159,334","1,286,182",634,"2,839","3,166,337,288","13,234,834,860","393,926","1,680,108",896,"4,036","3,086,994,900","16,321,829,760","385,894","2,066,002",931,"4,104","896,575,800","17,218,405,560","117,027","2,183,029",679,"3,268","940,579,200","18,158,984,760","124,286","2,307,315",705,"3,298","10,944,823,355","1,384,895"
2,연평해전,2015-06-24,한국,한국,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일,김희정","646,657,400","37,548,664,485","91,608","4,968,660",718,"3,237","601,979,400","38,150,643,885","85,145","5,053,805",706,"3,005","878,308,033","39,028,951,918","116,497","5,170,302",692,"3,117","1,699,761,212","40,728,713,130","218,267","5,388,569",730,"3,218","1,531,622,800","42,260,335,930","196,206","5,584,775",702,"3,063","471,468,200","42,731,804,130","65,575","5,650,350",666,"2,949","458,499,200","43,190,303,330","64,682","5,715,032",672,"2,934","6,288,296,245","837,980"
3,픽셀,2015-07-16,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처",크리스 콜럼버스,"아담 샌들러,케빈 제임스,미셸 모나한,피터 딘클리지,애슐리 벤슨","4,848,000","6,850,000",303,457,1,1,"538,752,600","545,602,600","68,692","69,149",530,"2,719","711,421,101","1,257,023,701","87,968","157,117",557,"2,785","1,332,611,808","2,589,635,509","164,116","321,233",556,"2,691","1,209,668,500","3,799,304,009","148,537","469,770",547,"2,609","324,525,800","4,123,829,809","41,641","511,411",496,"2,453","299,653,300","4,423,483,109","38,890","550,301",498,"2,433","4,421,481,109","550,147"
4,터미네이터 제니시스,2015-07-02,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,SF,스릴러",앨런 테일러,"아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크,제이 코트니,J.K. 시몬스,다요 오케니이,맷 스미스,코트니 B. 반스,이병헌,아론 V. 윌리엄슨","379,230,400","23,066,986,329","48,193","2,792,253",596,"2,657","274,017,300","23,341,003,629","36,538","2,828,791",457,"1,787","412,573,600","23,753,577,229","52,423","2,881,214",466,"1,874","864,795,200","24,618,372,429","108,937","2,990,151",498,"1,797","783,937,700","25,402,310,129","98,957","3,089,108",478,"1,736","223,245,400","25,625,555,529","29,674","3,118,782",437,"1,705","216,889,000","25,842,444,529","28,928","3,147,710",439,"1,683","3,154,688,600","403,650"
5,인시디어스 3,2015-07-09,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,공포(호러),리 워넬,"스테파니 스콧,더못 멀로니,린 샤예","346,289,200","2,931,052,120","45,294","379,594",360,"1,167","304,042,200","3,235,094,320","40,310","419,904",336,"1,043","488,156,000","3,723,250,320","63,545","483,449",365,"1,184","684,739,100","4,407,989,420","86,428","569,877",416,"1,427","601,852,300","5,009,841,720","75,308","645,185",408,"1,370","288,566,400","5,298,408,120","37,960","683,145",369,"1,396","252,859,200","5,551,267,320","33,582","716,727",365,"1,386","2,966,504,400","382,427"
6,손님,2015-07-09,한국,한국,(주)유비유필름,씨제이이앤엠(주),15세이상관람가,"판타지,공포(호러)",김광태,"류승룡,이성민,천우희,이준,정경호,김정영,박시연,이민지,백승호,유재현,이서연,이승준,전국환,정준원","230,901,600","5,397,349,680","31,139","700,598",427,"1,866","146,553,200","5,543,902,880","19,837","720,435",367,"1,201","183,981,900","5,727,884,780","23,462","743,897",368,"1,201","242,763,500","5,970,648,280","30,040","773,937",345,860,"196,044,400","6,166,692,680","24,250","798,187",338,824,"94,430,000","6,261,122,680","12,763","810,950",336,"1,002","84,248,100","6,345,370,780","11,520","822,470",331,976,"1,178,922,700","153,011"
7,쥬라기 월드,2015-06-11,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오","79,816,600","46,594,659,326","10,844","5,397,884",287,683,"57,678,600","46,652,337,926","7,656","5,405,540",220,508,"96,859,900","46,749,197,826","12,299","5,417,839",236,543,"356,224,200","47,105,422,026","43,279","5,461,118",288,790,"371,587,300","47,477,009,326","45,522","5,506,640",288,774,"52,526,800","47,529,536,126","7,032","5,513,672",228,521,"58,478,200","47,588,014,326","7,873","5,521,545",231,537,"1,073,171,600","134,505"
8,쓰리 썸머 나잇,2015-07-15,한국,한국,"더램프(주),㈜감독의집","(주)리틀빅픽쳐스,(주)인벤트스톤",청소년관람불가,코미디,김상진,"김동욱,임원희,손호준,윤제문,류현경,심은진,이채영,전은진,정승민,박현수,홍광석,김승필,이신범,연송하","93,747,800","121,395,800","12,378","15,621",297,945,"79,433,000","200,828,800","10,407","26,028",294,874,"92,253,666","293,082,466","11,365","37,393",295,835,"107,559,280","400,641,746","13,116","50,509",290,616,"96,634,600","497,276,346","11,653","62,162",287,573,"50,512,600","547,788,946","6,637","68,799",276,667,"44,603,400","592,392,346","5,818","74,617",268,641,"564,744,346","71,374"
9,다크 플레이스,2015-07-15,미국,"미국,영국,프랑스",,"(주)스톰픽쳐스코리아,주식회사 우리네트웍스",청소년관람불가,"드라마,미스터리,스릴러",질스 파겟-브레너,"샤를리즈 테론,니콜라스 홀트,클로이 모레츠","68,212,300","74,380,300","8,603","9,349",246,514,"69,215,200","143,595,500","9,164","18,513",264,684,"91,264,034","234,859,534","11,053","29,566",268,685,"102,629,920","337,489,454","12,360","41,926",243,512,"77,010,900","414,500,354","9,266","51,192",235,472,"43,921,500","458,421,854","5,784","56,976",255,554,"44,584,800","503,006,654","5,824","62,800",248,546,"496,838,654","62,054"
10,우먼 인 골드,2015-07-09,미국,"미국,영국",,(주)팝엔터테인먼트,12세이상관람가,드라마,사이먼 커티스,"헬렌 미렌,라이언 레놀즈,다니엘 브륄","50,966,300","585,977,700","7,131","77,231",198,384,"27,003,700","612,981,400","3,693","80,924",80,142,"36,561,100","649,542,500","4,545","85,469",84,150,"49,229,000","698,771,500","6,009","91,478",66,120,"44,710,400","743,481,900","5,471","96,949",70,130,"28,970,000","772,451,900","3,953","100,902",90,172,"32,004,400","804,456,300","4,357","105,259",92,183,"269,444,900","35,159"
11,극비수사,2015-06-18,한국,한국,"(주)제이콘컴퍼니,(주)영화사 신세계",(주)쇼박스,15세이상관람가,"드라마,범죄",곽경택,"김윤석,유해진,송영창,장영남,정호빈,이준혁,이종일,장성훈,정규용,정기용,백승호,이효제,최원,송승현,신유경,양중경,유주영,홍명기,이석현,이소영,이승준,이윤희,이인규,주영호,박효주,이재용,남문철","47,987,500","22,247,278,897","6,563","2,842,199",190,388,"15,741,000","22,263,019,897","2,175","2,844,374",74,138,"24,887,500","22,287,907,397","3,255","2,847,629",72,138,"35,282,400","22,323,189,797","4,389","2,852,018",58,111,"31,753,800","22,354,943,597","4,015","2,856,033",53,104,"13,490,000","22,368,433,597","1,825","2,857,858",65,126,"13,706,800","22,382,140,397","1,913","2,859,771",69,131,"182,849,000","24,135"
12,러덜리스,2015-07-09,미국,미국,,그린나래미디어(주),12세이상관람가,"코미디,드라마",윌리엄 H. 머시,"빌리 크루덥,안톤 옐친,셀레나 고메즈,로렌스 피쉬번,펠리시티 허프먼","24,371,100","289,763,920","3,266","36,915",101,215,"15,542,300","305,306,220","2,077","38,992",54,116,"20,425,600","325,731,820","2,526","41,518",55,118,"34,559,800","360,291,620","4,173","45,691",51,112,"31,379,700","391,671,320","3,776","49,467",50,112,"14,130,700","405,802,020","1,863","51,330",50,112,"18,306,400","424,108,420","2,443","53,773",57,124,"158,715,600","20,124"
13,암살,2015-07-22,한국,한국,(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,드라마",최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭,김태준,차지원",0,"20,505,000",0,"2,593",0,0,0,"20,505,000",0,"2,593",0,0,"5,142,000","25,647,000",857,"3,450",3,3,0,"25,647,000",0,"3,450",0,0,"68,274,000","93,921,000","6,838","10,288",37,37,"29,526,000","123,447,000","3,747","14,035",14,14,"3,060,000","126,507,000",340,"14,375",2,2,"106,002,000","11,782"
14,더 리치,2015-07-16,미국,미국,,(주)나이너스엔터테인먼트,15세이상관람가,"액션,스릴러",진-밥티스트 레오네티,"마이클 더글라스,제레미 어바인",0,"1,328,000",0,166,0,0,"13,480,500","14,808,500","1,778","1,944",72,149,"10,979,400","25,787,900","1,376","3,320",74,146,"11,655,800","37,443,700","1,447","4,767",69,113,"11,131,700","48,575,400","1,392","6,159",66,110,"6,364,500","54,939,900",888,"7,047",65,135,"5,883,500","60,823,400",816,"7,863",64,124,"59,495,400","7,697"
15,라이드 : 나에게로의 여행,2015-07-16,미국,미국,,(주)티캐스트,15세이상관람가,드라마,헬렌 헌트,"헬렌 헌트,루크 윌슨,브렌튼 스웨이츠",0,"1,208,000",0,151,0,0,"6,493,700","7,701,700",881,"1,032",29,67,"9,696,000","17,397,700","1,204","2,236",29,65,"12,746,300","30,144,000","1,489","3,725",29,63,"11,343,200","41,487,200","1,310","5,035",27,57,"6,380,900","47,868,100",838,"5,873",28,61,"8,172,300","56,040,400","1,100","6,973",29,61,"54,832,400","6,822"
16,소수의견,2015-06-24,한국,한국,(주)하리마오픽쳐스,(주)시네마서비스,15세이상관람가,드라마,김성제,"윤계상,유해진,김옥빈,이경영,장광,권해효,손아람,박주형,이은미,이은우,김의성,조복래,김종수,박충선,박해수,장리우,김태준","5,233,200","2,830,434,305",729,"375,446",41,61,"8,832,000","2,839,266,305","1,151","376,597",40,50,"7,254,000","2,846,520,305",938,"377,535",36,45,"9,464,400","2,855,984,705","1,157","378,692",33,43,"8,713,000","2,864,697,705","1,056","379,748",33,42,"4,324,500","2,869,022,205",591,"380,339",35,47,"4,667,000","2,873,689,205",681,"381,020",37,47,"48,488,100","6,303"
17,심야식당,2015-06-18,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,마츠오카 조지,"코바야시 카오루,오다기리 조,타카오카 사키","5,885,500","996,814,574",780,"126,131",36,59,"3,508,000","1,000,322,574",457,"126,588",30,37,"5,072,000","1,005,394,574",598,"127,186",30,33,"9,520,000","1,014,914,574","1,152","128,338",36,41,"8,931,500","1,023,846,074","1,052","129,390",35,39,"2,421,300","1,026,267,374",316,"129,706",21,25,"2,843,000","1,029,110,374",369,"130,075",25,29,"38,181,300","4,724"
18,숀더쉽,2015-08-13,영국,"영국,프랑스",,(주)박수엔터테인먼트,전체관람가,"애니메이션,어드벤처,코미디","마크 버튼,리처드 스타잭",,"2,538,000","19,154,000",282,"2,359",1,1,"9,446,000","28,600,000","1,095","3,454",7,7,0,"28,600,000",0,"3,454",0,0,0,"28,600,000",0,"3,454",0,0,0,"28,600,000",0,"3,454",0,0,0,"28,600,000",0,"3,454",0,0,"16,444,000","45,044,000","2,087","5,541",16,16,"28,428,000","3,464"
19,더 디너,2015-07-16,이탈리아,이탈리아,,(주)판다미디어,청소년관람불가,드라마,이바노 데 마테오,"지오바나 메조기오르노,알레산드로 가스만,루이지 로 카시오,바보라 보불로바","747,000","3,013,000",75,426,1,1,"2,134,000","5,147,000",298,724,17,21,"3,076,500","8,223,500",404,"1,128",19,23,"4,368,000","12,591,500",542,"1,670",17,20,"4,709,000","17,300,500",631,"2,301",17,20,"2,287,400","19,587,900",338,"2,639",13,16,"2,304,500","21,892,400",321,"2,960",16,20,"19,626,400","2,609"
20,BiFan2015 판타스틱 단편 걸작선 1,,기타,기타,,,,기타,"나탈리아 람프로폴로우,우경민,아냐 줄루에타,양재준,이승엽",,"15,486,000","31,038,000","2,581","5,173",17,17,0,"31,038,000",0,"5,173",0,0,0,"31,038,000",0,"5,173",0,0,0,"31,038,000",0,"5,173",0,0,0,"31,038,000",0,"5,173",0,0,0,"31,038,000",0,"5,173",0,0,0,"31,038,000",0,"5,173",0,0,"15,486,000","2,581"
21,베테랑,2015-08-05,한국,한국,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,"황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류선영,정재헌,안길강,마동석,김응수,고규필",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,904,000","1,904,000",238,238,1,1,0,"1,904,000",0,238,0,0,0,"1,904,000",0,238,0,0,"16,292,000","18,196,000","2,037","2,275",6,9,"18,196,000","2,275"
22,인 올드 시카고,,미국,미국,,,,"뮤지컬,드라마,액션",헨리 킹,"타이론 파워,앨리스 파예",0,0,0,0,0,0,0,0,0,0,0,0,"934,000","934,000",467,467,1,5,"1,040,000","1,974,000",520,987,1,5,"841,000","2,815,000",418,"1,405",1,5,"732,000","3,547,000",366,"1,771",1,5,0,"3,547,000",0,"1,771",0,0,"3,547,000","1,771"
23,BiFan2015 판타스틱 단편 걸작선 2,,기타,기타,,,,기타,"토피그 아마니,배준현,이채민,루카스 사,심범식",,"10,620,000","26,748,000","1,770","4,458",10,11,0,"26,748,000",0,"4,458",0,0,0,"26,748,000",0,"4,458",0,0,0,"26,748,000",0,"4,458",0,0,0,"26,748,000",0,"4,458",0,0,0,"26,748,000",0,"4,458",0,0,0,"26,748,000",0,"4,458",0,0,"10,620,000","1,770"
24,한여름의 판타지아,2015-06-11,한국,"한국,일본",모쿠슈라,㈜인디스토리,전체관람가,드라마,장건재,"김새벽,이와세 료,임형국","1,638,500","236,064,500",225,"30,326",20,29,"1,463,000","237,527,500",195,"30,521",14,21,"1,517,000","239,044,500",191,"30,712",14,21,"3,475,500","242,520,000",436,"31,148",14,20,"2,852,500","245,372,500",343,"31,491",15,20,"1,398,000","246,770,500",184,"31,675",12,20,"1,207,000","247,977,500",163,"31,838",14,19,"13,551,500","1,737"
25,러브 앤 머시,2015-07-30,미국,미국,,판씨네마(주),15세이상관람가,드라마,빌 포래드,"존 쿠삭,폴 다노,엘리자베스 뱅크스,폴 지아마티",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,712,000","1,712,000",214,214,1,1,"10,268,000","11,980,000","1,368","1,582",7,7,"11,980,000","1,582"
26,리틀드래곤 코코넛,2015-07-02,독일,독일,,(주)영화사 빅,전체관람가,애니메이션,"허버트 베일란드,니나 웰스",,"1,717,000","246,772,100",338,"33,354",8,9,"977,000","247,749,100",162,"33,516",4,5,"3,409,000","251,158,100",623,"34,139",8,8,"667,000","251,825,100",82,"34,221",4,4,"752,300","252,577,400",101,"34,322",5,5,"371,000","252,948,400",60,"34,382",4,4,"684,000","253,632,400",114,"34,496",2,2,"8,577,300","1,480"
27,호비와 엄마나무섬의 비밀,2015-07-02,일본,일본,,(주)머스트씨무비릴리징컴퍼니,전체관람가,애니메이션,히라바야시 이사무,,"149,000","87,288,500",23,"12,729",4,5,"222,000","87,510,500",36,"12,765",3,7,"270,000","87,780,500",38,"12,803",3,8,"3,412,000","91,192,500",490,"13,293",14,25,"4,130,000","95,322,500",576,"13,869",14,22,"326,000","95,648,500",53,"13,922",3,7,"360,000","96,008,500",57,"13,979",3,7,"8,869,000","1,273"
