기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2015-07-22 ~ 2015-07-28 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2015-07-22,,,,,,2015-07-23,,,,,,2015-07-24,,,,,,2015-07-25,,,,,,2015-07-26,,,,,,2015-07-27,,,,,,2015-07-28,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,암살,2015-07-22,한국,한국,(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,드라마",최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭,김태준,차지원","3,593,111,500","3,719,618,500","477,541","491,916","1,264","6,245","3,280,771,000","7,000,389,500","435,039","926,955","1,330","6,497","4,365,539,973","11,365,929,473","543,245","1,470,200","1,370","6,813","7,661,827,113","19,027,756,586","949,186","2,419,386","1,504","7,377","7,664,950,100","26,692,706,686","950,620","3,370,006","1,519","7,338","3,216,126,200","29,908,832,886","424,718","3,794,724","1,397","6,930","3,022,343,000","32,931,175,886","401,083","4,195,807","1,413","6,953","32,804,668,886","4,181,432"
2,인사이드 아웃,2015-07-09,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,코미디",피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더","724,860,300","18,883,845,060","96,547","2,403,862",561,"2,503","726,161,200","19,610,006,260","98,368","2,502,230",607,"2,605","1,048,388,421","20,658,394,681","133,744","2,635,974",624,"2,711","2,220,060,817","22,878,455,498","282,200","2,918,174",731,"3,024","2,203,590,200","25,082,045,698","280,848","3,199,022",778,"3,077","1,019,112,500","26,101,158,198","140,084","3,339,106",681,"2,931","1,008,968,600","27,110,126,798","139,941","3,479,047",713,"2,982","8,951,142,038","1,171,732"
3,극장판 요괴워치: 탄생의 비밀이다냥!,2015-07-22,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,"타카하시 시게하루,우시로 신지",,"246,330,600","250,120,600","35,073","35,506",411,"1,012","167,879,200","417,999,800","24,504","60,010",415,"1,045","203,490,700","621,490,500","28,802","88,812",432,"1,106","710,632,400","1,332,122,900","98,995","187,807",509,"1,397","645,092,700","1,977,215,600","89,154","276,961",500,"1,330","250,887,900","2,228,103,500","36,645","313,606",408,"1,093","249,737,700","2,477,841,200","36,851","350,457",410,"1,089","2,474,051,200","350,024"
4,연평해전,2015-06-24,한국,한국,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일,김희정","245,406,300","43,435,709,630","35,487","5,750,519",463,"1,597","216,527,800","43,652,237,430","30,983","5,781,502",454,"1,508","264,408,500","43,916,645,930","35,141","5,816,643",448,"1,543","457,072,000","44,373,717,930","59,259","5,875,902",437,"1,347","425,284,400","44,799,002,330","54,996","5,930,898",423,"1,252","169,539,100","44,968,541,430","23,823","5,954,721",444,"1,349","173,016,000","45,141,557,430","24,321","5,979,042",431,"1,306","1,951,254,100","264,010"
5,픽셀,2015-07-16,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처",크리스 콜럼버스,"아담 샌들러,케빈 제임스,미셸 모나한,피터 딘클리지,애슐리 벤슨","111,430,000","4,534,913,109","15,224","565,525",356,905,"95,017,600","4,629,930,709","13,211","578,736",348,794,"132,603,521","4,762,534,230","17,271","596,007",340,783,"194,652,017","4,957,186,247","25,871","621,878",322,618,"178,051,900","5,135,238,147","23,649","645,527",316,606,"91,189,100","5,226,427,247","12,715","658,242",323,692,"94,256,900","5,320,684,147","13,114","671,356",335,695,"897,201,038","121,055"
6,인시디어스 3,2015-07-09,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,공포(호러),리 워넬,"스테파니 스콧,더못 멀로니,린 샤예","119,106,000","5,670,373,320","15,714","732,441",294,766,"95,177,300","5,765,550,620","12,577","745,018",288,735,"123,829,300","5,889,379,920","15,574","760,592",297,756,"165,178,200","6,054,558,120","20,523","781,115",272,611,"138,729,400","6,193,287,520","17,263","798,378",262,560,"70,916,200","6,264,203,720","9,310","807,688",263,611,"67,907,100","6,332,110,820","8,920","816,608",261,603,"780,843,500","99,881"
7,터미네이터 제니시스,2015-07-02,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,SF,스릴러",앨런 테일러,"아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크,제이 코트니,J.K. 시몬스,다요 오케니이,맷 스미스,코트니 B. 반스,이병헌,아론 V. 윌리엄슨","64,711,300","25,907,155,829","8,618","3,156,328",283,627,"60,616,400","25,967,772,229","8,157","3,164,485",284,602,"83,590,000","26,051,362,229","10,365","3,174,850",275,594,"145,809,500","26,197,171,729","18,101","3,192,951",278,479,"123,882,700","26,321,054,429","15,605","3,208,556",266,468,"57,908,400","26,378,962,829","7,713","3,216,269",266,543,"55,612,500","26,434,575,329","7,456","3,223,725",266,525,"592,130,800","76,015"
8,포켓몬 레인저와 바다의 왕자 마나피,2006-07-20,일본,일본,,"(주)이수C&E,(주)쇼박스",전체관람가,"애니메이션,어드벤처",유야마 쿠니히코,"오오타니 이쿠에,쉬라토리 유리","16,196,300","757,813,300","2,377","136,881",216,319,"18,182,500","775,995,800","2,675","139,556",218,327,"22,434,900","798,430,700","3,194","142,750",236,346,"61,577,800","860,008,500","8,536","151,286",257,371,"61,054,700","921,063,200","8,546","159,832",251,352,"27,504,600","948,567,800","4,036","163,868",223,313,"32,593,400","981,161,200","4,842","168,710",227,318,"239,544,200","34,206"
9,쥬라기 월드,2015-06-11,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오","7,977,400","47,595,991,726","1,077","5,522,622",65,99,"8,596,900","47,604,588,626","1,143","5,523,765",62,88,"14,237,000","47,618,825,626","1,793","5,525,558",65,95,"66,396,000","47,685,221,626","7,308","5,532,866",96,172,"71,894,400","47,757,116,026","7,998","5,540,864",93,166,"17,388,700","47,774,504,726","2,342","5,543,206",72,107,"14,324,900","47,788,829,626","1,943","5,545,149",71,106,"200,815,300","23,604"
