기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2015-07-08 ~ 2015-07-14 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2015-07-08,,,,,,2015-07-09,,,,,,2015-07-10,,,,,,2015-07-11,,,,,,2015-07-12,,,,,,2015-07-13,,,,,,2015-07-14,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,연평해전,2015-06-24,한국,한국,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일,김희정","1,249,537,300","28,001,711,090","176,650","3,692,778",907,"4,142","925,584,800","28,927,295,890","130,468","3,823,246",755,"3,332","1,229,433,323","30,156,729,213","166,166","3,989,412",777,"3,421","2,774,843,872","32,931,573,085","361,917","4,351,329",776,"3,567","2,661,320,400","35,592,893,485","344,453","4,695,782",757,"3,508","688,125,700","36,281,019,185","94,383","4,790,165",722,"3,341","620,987,900","36,902,007,085","86,887","4,877,052",747,"3,349","10,149,833,295","1,360,924"
2,터미네이터 제니시스,2015-07-02,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,SF,스릴러",앨런 테일러,"아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크,제이 코트니,J.K. 시몬스,다요 오케니이,맷 스미스,코트니 B. 반스,이병헌,아론 V. 윌리엄슨","1,058,528,700","15,709,553,324","134,579","1,895,339","1,028","5,346","717,225,200","16,426,778,524","91,043","1,986,382",750,"3,513","999,495,177","17,426,273,701","121,746","2,108,128",745,"3,472","2,272,148,328","19,698,422,029","271,246","2,379,374",699,"3,296","2,114,399,200","21,812,821,229","254,683","2,634,057",676,"3,153","468,868,000","22,281,689,229","58,857","2,692,914",651,"3,079","406,066,700","22,687,755,929","51,146","2,744,060",650,"3,005","8,036,731,305","983,300"
3,인사이드 아웃,2015-07-09,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,코미디",피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더",0,"22,120,000",0,"2,534",0,0,"514,382,600","536,502,600","68,222","70,756",520,"2,332","763,451,977","1,299,954,577","95,559","166,315",531,"2,373","2,188,521,128","3,488,475,705","279,092","445,407",711,"3,030","2,399,971,700","5,888,447,405","304,608","750,015",777,"3,191","624,664,400","6,513,111,805","80,918","830,933",577,"2,606","701,049,600","7,214,161,405","91,487","922,420",591,"2,639","7,192,041,405","919,886"
4,손님,2015-07-09,한국,한국,(주)유비유필름,씨제이이앤엠(주),15세이상관람가,"판타지,공포(호러)",김광태,"류승룡,이성민,천우희,이준,정경호,김정영,박시연,이민지,백승호,유재현,이서연,이승준,전국환,정준원","27,663,200","69,904,200","2,869","7,612",18,18,"1,056,941,500","1,126,845,700","144,967","152,579",493,"2,296","863,345,021","1,990,190,721","112,763","265,342",608,"2,643","1,437,988,059","3,428,178,780","181,557","446,899",634,"2,842","1,140,226,200","4,568,404,980","142,884","589,783",574,"2,498","324,499,500","4,892,904,480","43,041","632,824",499,"2,370","273,543,600","5,166,448,080","36,635","669,459",490,"2,263","5,124,207,080","664,716"
5,인시디어스 3,2015-07-09,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,공포(호러),리 워넬,"스테파니 스콧,더못 멀로니,린 샤예",0,"1,211,000",0,173,0,0,"288,966,400","290,177,400","38,555","38,728",331,"1,036","385,807,879","675,985,279","49,709","88,437",368,"1,105","578,534,941","1,254,520,220","74,988","163,425",394,"1,056","576,426,000","1,830,946,220","73,213","236,638",409,"1,078","378,649,900","2,209,596,120","49,032","285,670",370,"1,193","375,166,800","2,584,762,920","48,630","334,300",379,"1,238","2,583,551,920","334,127"
6,쥬라기 월드,2015-06-11,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오","292,317,500","44,369,647,926","39,727","5,110,534",419,"1,442","154,090,900","44,523,738,826","20,886","5,131,420",310,812,"221,642,100","44,745,380,926","28,822","5,160,242",316,826,"781,522,700","45,526,903,626","100,137","5,260,379",398,"1,115","818,781,100","46,345,684,726","104,117","5,364,496",420,"1,156","87,606,400","46,433,291,126","11,611","5,376,107",301,778,"81,551,600","46,514,842,726","10,933","5,387,040",304,794,"2,437,512,300","316,233"
7,극비수사,2015-06-18,한국,한국,"(주)제이콘컴퍼니,(주)영화사 신세계",(주)쇼박스,15세이상관람가,"드라마,범죄",곽경택,"김윤석,유해진,송영창,장영남,정호빈,이준혁,이종일,장성훈,정규용,정기용,백승호,이효제,최원,송승현,신유경,양중경,유주영,홍명기,이석현,이소영,이승준,이윤희,이인규,주영호,박효주,이재용,남문철","310,117,100","21,469,677,497","42,469","2,740,341",417,"1,462","96,218,800","21,565,896,297","13,091","2,753,432",236,542,"122,486,500","21,688,382,797","16,051","2,769,483",243,526,"189,835,200","21,878,217,997","24,272","2,793,755",206,418,"179,050,500","22,057,268,497","22,774","2,816,529",207,410,"73,368,800","22,130,637,297","9,798","2,826,327",232,527,"68,654,100","22,199,291,397","9,309","2,835,636",244,536,"1,039,731,000","137,764"
8,우먼 인 골드,2015-07-09,미국,"미국,영국",,(주)팝엔터테인먼트,12세이상관람가,드라마,사이먼 커티스,"헬렌 미렌,라이언 레놀즈,다니엘 브륄","9,696,000","56,292,200","1,212","7,225",8,8,"90,355,600","146,647,800","12,067","19,292",252,609,"77,690,000","224,337,800","10,030","29,322",247,577,"103,616,700","327,954,500","13,069","42,391",225,436,"91,460,900","419,415,400","11,623","54,014",214,400,"57,612,400","477,027,800","7,963","61,977",235,528,"57,983,600","535,011,400","8,123","70,100",242,507,"488,415,200","64,087"
9,러덜리스,2015-07-09,미국,미국,,그린나래미디어(주),12세이상관람가,"코미디,드라마",윌리엄 H. 머시,"빌리 크루덥,안톤 옐친,셀레나 고메즈,로렌스 피쉬번,펠리시티 허프먼","1,212,000","26,362,800",202,"3,471",1,1,"32,527,300","58,890,100","4,315","7,786",117,257,"35,280,279","94,170,379","4,412","12,198",112,248,"61,436,941","155,607,320","7,477","19,675",109,228,"57,877,500","213,484,820","7,058","26,733",106,212,"26,384,800","239,869,620","3,507","30,240",110,239,"25,523,200","265,392,820","3,409","33,649",113,237,"240,242,020","30,380"
